gene,chr,start,end,splice_type,novel,HCT116_ENCFF400LRT_in_cov,HCT116_ENCFF400LRT_total_cov
ENSG00000169696.15,chr17,81977524,81977748,TSS,True,23,106
ENSG00000169696.15,chr17,82017308,82017609,PAS,True,14,106
ENSG00000034152.18,chr17,21284650,21284969,TSS,True,35,187
ENSG00000131467.10,chr17,42833140,42833673,TSS,True,41,236
ENSG00000172809.12,chr17,74203710,74203917,5AS,False,57,420
ENSG00000172809.12,chr17,74203674,74203710,TSS,False,400,457
ENSG00000172809.12,chr17,74203671,74203745,TSS,True,94,457
ENSG00000131747.14,chr17,40395445,40395539,PAS,True,248,299
ENSG00000131747.14,chr17,40396282,40396465,PAS,False,130,294
ENSG00000131747.14,chr17,40398771,40398937,PAS,True,259,294
ENSG00000131747.14,chr17,40417770,40417978,TSS,False,74,334
ENSG00000131469.14,chr17,42998395,42998471,TSS,False,360,606
ENSG00000131469.14,chr17,42998448,42998831,TSS,False,512,606
ENSG00000131469.14,chr17,43002754,43002783,TSS,True,371,600
ENSG00000179409.10,chr17,752132,752275,TSS,True,55,141
ENSG00000178999.12,chr17,8207840,8210529,ES,False,32,108
ENSG00000178999.12,chr17,8210529,8210637,TSS,True,24,137
ENSG00000089685.14,chr17,78214789,78216663,ES,False,443,520
ENSG00000089685.14,chr17,78214248,78214427,TSS,True,77,607
ENSG00000108528.13,chr17,4939815,4940068,TSS,True,35,178
ENSG00000108424.9,chr17,47649719,47650284,TSS,True,104,224
ENSG00000126581.12,chr17,42823879,42824154,5AS,False,136,231
ENSG00000126581.12,chr17,42824132,42824301,TSS,True,146,241
ENSG00000126581.12,chr17,42824154,42824315,TSS,True,105,241
ENSG00000109062.11,chr17,74748606,74749287,TSS,False,25,235
ENSG00000171298.12,chr17,80101141,80101625,TSS,True,266,366
ENSG00000171298.12,chr17,80112729,80113027,TSS,True,253,360
ENSG00000011295.15,chr17,15999280,16000032,TSS,True,28,153
ENSG00000121067.17,chr17,49622876,49677932,ES,False,115,149
ENSG00000121067.17,chr17,49677932,49678203,TSS,True,62,212
ENSG00000108395.13,chr17,58982632,58982921,PAS,True,85,100
ENSG00000108395.13,chr17,59106440,59106907,TSS,True,11,100
ENSG00000166685.11,chr17,73193384,73196506,3AS,False,110,129
ENSG00000166685.11,chr17,73192996,73193384,TSS,True,52,183
ENSG00000166685.11,chr17,73196486,73196751,TSS,True,160,182
ENSG00000141568.20,chr17,82519702,82520307,TSS,True,118,213
ENSG00000141568.20,chr17,82568050,82568201,TSS,True,180,212
ENSG00000141552.17,chr17,81891833,81894466,5AS,False,39,120
ENSG00000141552.17,chr17,81891657,81891833,TSS,True,111,184
ENSG00000141552.17,chr17,81891731,81891841,TSS,True,122,184
ENSG00000013306.15,chr17,44322528,44322807,3AS,False,448,555
ENSG00000013306.15,chr17,44322528,44323283,3AS,False,15,130
ENSG00000013306.15,chr17,44324710,44326602,TSS,False,190,695
ENSG00000013306.15,chr17,44323477,44325384,TSS,True,623,695
ENSG00000174238.14,chr17,1562540,1562813,TSS,True,44,105
ENSG00000132481.6,chr17,75877873,75878588,TSS,False,46,185
ENSG00000185298.12,chr17,81666348,81666900,TSS,False,71,206
ENSG00000185298.12,chr17,81672494,81673907,PAS,True,29,165
ENSG00000176974.19,chr17,18333288,18340042,ES,False,24,118
ENSG00000176974.19,chr17,18356000,18363371,ES,False,90,106
ENSG00000176974.19,chr17,18363371,18363561,TSS,True,17,126
ENSG00000132470.13,chr17,75752482,75752577,TSS,True,249,292
ENSG00000132470.13,chr17,75753518,75754815,TSS,True,252,291
ENSG00000136450.12,chr17,58004001,58004922,IR,False,64,257
ENSG00000136450.12,chr17,58005600,58005800,IR,False,225,266
ENSG00000136450.12,chr17,58000922,58004001,PAS,True,211,274
ENSG00000136450.12,chr17,58000923,58005600,PAS,True,84,271
ENSG00000136450.12,chr17,58006943,58007632,TSS,True,157,410
ENSG00000174231.16,chr17,1656647,1656763,TSS,True,155,175
ENSG00000174231.16,chr17,1659356,1659988,TSS,True,142,175
ENSG00000125450.10,chr17,75205390,75205794,TSS,True,48,236
ENSG00000121057.12,chr17,57085170,57085398,TSS,False,59,219
ENSG00000121057.12,chr17,57105439,57107178,TSS,True,192,218
ENSG00000132507.17,chr17,7307460,7307752,TSS,True,251,1921
ENSG00000175826.11,chr17,7251194,7251987,TSS,True,20,106
ENSG00000183048.11,chr17,81712519,81714952,ES,False,128,149
ENSG00000183048.11,chr17,81711966,81712519,TSS,True,38,195
ENSG00000177885.14,chr17,75405488,75405707,TSS,True,123,336
ENSG00000169727.12,chr17,82051964,82053273,ES,False,337,380
ENSG00000169727.12,chr17,82054049,82054509,3AS,False,386,442
ENSG00000169727.12,chr17,82054975,82055164,3AS,False,77,456
ENSG00000169727.12,chr17,82051518,82051964,TSS,False,85,470
ENSG00000163597.14,chr17,76557857,76561287,ES,False,398,747
ENSG00000163597.14,chr17,76557759,76557857,TSS,True,115,864
ENSG00000129197.14,chr17,5419870,5420291,TSS,True,60,133
ENSG00000072310.16,chr17,17817255,17817628,TSS,True,305,347
ENSG00000072310.16,chr17,17820089,17820523,TSS,True,309,347
ENSG00000178691.10,chr17,31940486,31966146,ES,False,19,125
ENSG00000178691.10,chr17,31936888,31937520,TSS,True,16,145
ENSG00000178691.10,chr17,31993241,31993308,PAS,True,110,136
ENSG00000178691.10,chr17,31998657,32001044,PAS,True,36,142
ENSG00000128309.16,chr22,37019036,37019774,TSS,True,153,192
ENSG00000128309.16,chr22,37019747,37019872,TSS,True,108,192
ENSG00000128309.16,chr22,37024188,37024810,TSS,False,150,192
ENSG00000099956.19,chr22,23791867,23793558,5AS,False,191,305
ENSG00000100364.18,chr22,45240639,45240943,TSS,True,27,221
ENSG00000100412.15,chr22,41468798,41469182,TSS,False,38,172
ENSG00000100412.15,chr22,41528478,41528991,PAS,False,20,166
ENSG00000070010.18,chr22,19471808,19479082,ES,False,14,101
ENSG00000070010.18,chr22,19479082,19479772,TSS,False,15,128
ENSG00000100325.14,chr22,29832342,29838177,ES,False,63,114
ENSG00000100325.14,chr22,29838177,29838308,TSS,True,52,175
ENSG00000241878.11,chr22,31662143,31662415,TSS,True,29,107
ENSG00000100413.16,chr22,41532157,41532658,5AS,False,98,109
ENSG00000100413.16,chr22,41543990,41544493,TSS,True,23,134
ENSG00000100216.5,chr22,38681945,38682095,TSS,False,41,168
ENSG00000100258.17,chr22,50506034,50506584,TSS,True,94,110
ENSG00000100258.17,chr22,50507581,50507802,TSS,True,67,110
ENSG00000100258.17,chr22,50506781,50507745,TSS,True,95,110
ENSG00000198911.11,chr22,41832415,41833358,TSS,True,110,171
ENSG00000100296.13,chr22,29529239,29531830,ES,False,94,117
ENSG00000100296.13,chr22,29549158,29553670,ES,False,61,102
ENSG00000100296.13,chr22,29553670,29555387,TSS,False,23,126
ENSG00000188130.13,chr22,50256646,50256934,5AS,False,145,166
ENSG00000188130.13,chr22,50257193,50258242,ES,True,136,160
ENSG00000188130.13,chr22,50252377,50253480,PAS,True,23,190
ENSG00000188130.13,chr22,50261384,50261927,TSS,True,102,219
ENSG00000188130.13,chr22,50261166,50261797,TSS,False,165,219
ENSG00000025708.13,chr22,50528610,50529135,IR,False,89,108
ENSG00000025708.13,chr22,50529338,50529495,IR,False,83,104
ENSG00000025708.13,chr22,50523569,50525918,PAS,True,26,156
ENSG00000025708.13,chr22,50526000,50526088,TSS,True,112,136
ENSG00000025708.13,chr22,50529495,50530026,TSS,True,133,156
ENSG00000025708.13,chr22,50529903,50530341,TSS,True,93,156
ENSG00000100353.17,chr22,36529075,36529325,TSS,False,107,644
ENSG00000100266.18,chr22,42876333,42879047,ES,False,15,107
ENSG00000100266.18,chr22,43015020,43015191,TSS,True,37,130
ENSG00000239900.12,chr22,40346492,40346711,TSS,True,38,225
ENSG00000239900.12,chr22,40364926,40365056,TSS,True,201,224
ENSG00000100029.17,chr22,30591809,30591924,TSS,True,62,215
ENSG00000184164.14,chr22,49917882,49918898,TSS,True,20,149
ENSG00000184076.13,chr22,29767548,29769677,5AS,True,151,178
ENSG00000184076.13,chr22,29767381,29767607,TSS,True,221,247
ENSG00000184076.13,chr22,29767378,29767548,TSS,False,96,247
ENSG00000186716.20,chr22,23180497,23182239,TSS,True,58,103
ENSG00000100243.20,chr22,42649294,42649417,TSS,False,41,241
ENSG00000196576.14,chr22,50279629,50279782,TSS,True,227,261
ENSG00000196576.14,chr22,50282710,50283097,TSS,False,217,261
ENSG00000196576.14,chr22,50281565,50281743,TSS,True,209,261
ENSG00000213923.11,chr22,38290689,38291938,PAS,False,59,119
ENSG00000213923.11,chr22,38296205,38297998,PAS,False,91,107
ENSG00000213923.11,chr22,38317159,38317473,TSS,True,123,187
ENSG00000100028.11,chr22,24555926,24556071,TSS,True,23,116
ENSG00000185651.14,chr22,21567704,21567771,TSS,False,53,185
ENSG00000185651.14,chr22,21610907,21611043,TSS,True,164,184
ENSG00000100304.12,chr22,43186892,43187159,TSS,False,86,226
ENSG00000100345.21,chr22,36387806,36388109,TSS,False,229,297
ENSG00000100345.21,chr22,36306413,36306608,TSS,True,257,295
ENSG00000069998.12,chr22,17159125,17159298,TSS,False,36,203
ENSG00000069998.12,chr22,17158456,17159296,TSS,True,182,203
ENSG00000099942.12,chr22,20917352,20918245,TSS,True,54,134
ENSG00000099942.12,chr22,20934140,20934244,TSS,True,112,134
ENSG00000240972.1,chr22,23894374,23894582,TSS,True,102,891
ENSG00000100242.15,chr22,38755762,38756048,TSS,True,85,177
ENSG00000100030.14,chr22,21760318,21764240,PAS,True,15,133
ENSG00000100030.14,chr22,21867321,21867668,TSS,True,111,238
ENSG00000170638.9,chr22,50197995,50198074,IR,False,73,118
ENSG00000170638.9,chr22,50185898,50185976,TSS,True,88,151
ENSG00000170638.9,chr22,50185870,50186001,TSS,True,124,151
ENSG00000070413.19,chr22,19122127,19122446,TSS,True,64,113
ENSG00000198355.4,chr22,49960472,49961032,TSS,False,102,942
ENSG00000100138.14,chr22,41688793,41688884,TSS,True,129,290
ENSG00000100138.14,chr22,41682355,41682453,TSS,True,214,290
ENSG00000189306.10,chr22,42519713,42519822,TSS,True,35,188
ENSG00000100300.17,chr22,43151604,43161051,ES,False,16,152
ENSG00000100300.17,chr22,43151524,43151604,TSS,True,68,220
ENSG00000100300.17,chr22,43161057,43161190,TSS,True,185,220
ENSG00000099977.14,chr22,23974306,23974491,TSS,True,318,373
ENSG00000099899.14,chr22,20115079,20115265,IR,False,91,104
ENSG00000099899.14,chr22,20115447,20115671,IR,False,85,100
ENSG00000099899.14,chr22,20116882,20117355,TSS,True,48,110
ENSG00000099899.14,chr22,20117096,20117336,TSS,True,75,110
ENSG00000100225.17,chr22,32475124,32479132,3AS,False,19,132
ENSG00000100225.17,chr22,32474703,32475124,TSS,True,53,188
ENSG00000100225.17,chr22,32475222,32475398,TSS,True,149,188
ENSG00000128283.6,chr22,37560205,37560588,TSS,True,104,144
ENSG00000128283.6,chr22,37566085,37566812,TSS,True,104,144
ENSG00000100116.16,chr22,37807871,37808163,TSS,True,29,183
ENSG00000100116.16,chr22,37816928,37818142,PAS,False,160,183
ENSG00000100116.16,chr22,37816566,37817324,PAS,True,29,178
ENSG00000131100.12,chr22,17628602,17628782,TSS,True,62,111
ENSG00000100347.14,chr22,43955400,43955598,TSS,True,60,137
ENSG00000100347.14,chr22,43990263,43990406,TSS,False,100,136
ENSG00000128272.14,chr22,39520278,39520751,TSS,False,582,716
ENSG00000100348.9,chr22,36481563,36482025,TSS,True,61,198
ENSG00000100348.9,chr22,36480574,36480835,TSS,True,147,198
ENSG00000184117.11,chr22,29580984,29581125,TSS,True,36,317
ENSG00000100401.19,chr22,41285985,41286251,TSS,False,122,317
ENSG00000183963.18,chr22,31095609,31097268,ES,False,32,143
ENSG00000183963.18,chr22,31080948,31081456,TSS,True,112,163
ENSG00000183963.18,chr22,31090962,31091482,TSS,True,126,163
ENSG00000100221.10,chr22,38688934,38689001,TSS,True,48,182
ENSG00000128342.4,chr22,30257325,30257992,TSS,True,111,144
ENSG00000198792.12,chr22,38225423,38225776,TSS,True,98,122
ENSG00000198792.12,chr22,38272883,38273049,TSS,True,108,123
ENSG00000100129.17,chr22,37849373,37849482,TSS,False,122,916
ENSG00000100097.11,chr22,37675634,37675711,TSS,True,174,497
ENSG00000100097.11,chr22,37678593,37678654,TSS,True,403,497
ENSG00000161179.13,chr22,21629761,21629850,IR,False,75,100
ENSG00000161179.13,chr22,21629307,21630065,TSS,True,103,126
ENSG00000161179.13,chr22,21629850,21630056,TSS,True,50,126
ENSG00000099901.16,chr22,20126368,20126954,3AS,False,197,515
ENSG00000099901.16,chr22,20126951,20127354,PAS,True,206,524
ENSG00000099901.16,chr22,20126954,20127368,PAS,True,327,524
ENSG00000100320.22,chr22,36028239,36028956,TSS,False,53,102
ENSG00000100320.22,chr22,35840191,35840472,TSS,True,88,102
ENSG00000093010.13,chr22,19941759,19941897,TSS,True,83,161
ENSG00000093010.13,chr22,19962443,19962815,TSS,False,121,161
ENSG00000100106.20,chr22,37751828,37754915,3AS,True,162,840
ENSG00000100106.20,chr22,37759264,37759416,IR,True,151,176
ENSG00000100106.20,chr22,37746200,37746420,TSS,True,355,1036
ENSG00000100106.20,chr22,37750981,37751200,TSS,False,911,1036
ENSG00000100106.20,chr22,37773782,37776523,PAS,True,285,973
ENSG00000100106.20,chr22,37759416,37760352,PAS,True,814,965
ENSG00000100219.16,chr22,28800297,28800587,TSS,True,27,199
ENSG00000100075.9,chr22,19178579,19178878,TSS,True,49,417
ENSG00000100297.15,chr22,35400054,35400208,TSS,True,221,648
ENSG00000100297.15,chr22,35400133,35400605,TSS,True,583,648
ENSG00000093009.9,chr22,19481045,19483861,ES,False,13,114
ENSG00000093009.9,chr22,19479755,19480019,TSS,True,20,124
ENSG00000093000.18,chr22,45168246,45171599,ES,False,129,152
ENSG00000093000.18,chr22,45162438,45164296,TSS,True,37,189
ENSG00000241484.9,chr22,44752555,44752627,TSS,True,65,104
ENSG00000241484.9,chr22,44785405,44786606,TSS,True,86,104
ENSG00000241484.9,chr22,44848957,44849060,TSS,True,85,100
ENSG00000241484.9,chr22,44862274,44862787,PAS,True,40,104
ENSG00000100387.8,chr22,40951353,40951476,TSS,True,100,218
ENSG00000025770.18,chr22,50522415,50522500,3AS,False,189,211
ENSG00000025770.18,chr22,50508028,50508445,TSS,True,57,264
ENSG00000182944.17,chr22,29288786,29291564,3AS,False,324,621
ENSG00000182944.17,chr22,29268100,29268349,TSS,True,235,788
ENSG00000100227.17,chr22,42599793,42602769,ES,False,16,112
ENSG00000100227.17,chr22,42614798,42614964,TSS,True,80,178
ENSG00000180957.17,chr22,27919171,27919306,TSS,True,22,208
ENSG00000100359.20,chr22,40400813,40402138,ES,False,55,137
ENSG00000100359.20,chr22,40407328,40407412,IR,False,131,148
ENSG00000100359.20,chr22,40409018,40409249,IR,False,110,137
ENSG00000100359.20,chr22,40409525,40409681,IR,False,134,149
ENSG00000100359.20,chr22,40370560,40370688,TSS,True,33,166
ENSG00000100359.20,chr22,40409681,40410292,PAS,True,25,158
ENSG00000100239.15,chr22,50343297,50343550,TSS,True,60,125
ENSG00000100239.15,chr22,50423459,50423614,TSS,False,108,124
ENSG00000136811.16,chr9,128456102,128456255,TSS,True,24,101
ENSG00000136875.12,chr9,113275338,113275770,TSS,True,31,100
ENSG00000172889.15,chr9,136665712,136665817,TSS,True,61,186
ENSG00000172889.15,chr9,136666070,136668362,TSS,True,146,186
ENSG00000169692.12,chr9,136687175,136687466,TSS,True,29,213
ENSG00000172785.18,chr9,135030,152033,ES,False,17,131
ENSG00000172785.18,chr9,175784,178815,ES,False,134,156
ENSG00000172785.18,chr9,119276,121573,PAS,True,29,164
ENSG00000172785.18,chr9,172901,173366,PAS,True,142,159
ENSG00000238227.7,chr9,136118484,136118853,TSS,True,89,164
ENSG00000196305.17,chr9,92289426,92293610,5AS,False,338,469
ENSG00000196305.17,chr9,92293440,92293716,TSS,True,424,555
ENSG00000196305.17,chr9,92293610,92293745,TSS,True,197,555
ENSG00000136826.14,chr9,107487294,107487667,TSS,True,101,135
ENSG00000136826.14,chr9,107489167,107489769,TSS,True,67,135
ENSG00000136826.14,chr9,107488929,107489489,TSS,True,117,135
ENSG00000137154.12,chr9,19380189,19380269,TSS,False,353,2304
ENSG00000281649.1,chr9,37079916,37080536,TSS,True,35,107
ENSG00000136807.13,chr9,127788385,127788543,IR,True,144,166
ENSG00000107372.12,chr9,72360787,72364695,ES,False,44,104
ENSG00000107372.12,chr9,72364695,72365265,TSS,True,23,135
ENSG00000148399.12,chr9,137578624,137578939,TSS,True,54,136
ENSG00000130560.8,chr9,135961024,135961397,TSS,True,18,121
ENSG00000107223.12,chr9,136862345,136862905,3AS,False,130,148
ENSG00000107223.12,chr9,136862117,136862345,PAS,False,67,199
ENSG00000107223.12,chr9,136862117,136862496,PAS,False,146,164
ENSG00000107223.12,chr9,136866180,136866312,TSS,True,85,199
ENSG00000107223.12,chr9,136863287,136863449,TSS,True,177,199
ENSG00000107223.12,chr9,136863819,136863873,TSS,True,176,199
ENSG00000095319.14,chr9,128947671,128947751,TSS,True,82,134
ENSG00000148308.17,chr9,133030700,133031164,TSS,True,75,111
ENSG00000148308.17,chr9,133056797,133056908,TSS,True,75,111
ENSG00000119514.6,chr9,98807612,98808069,TSS,True,26,137
ENSG00000106723.16,chr9,88388538,88426381,ES,False,90,106
ENSG00000106723.16,chr9,88448989,88468371,ES,False,15,106
ENSG00000106723.16,chr9,88387652,88388538,TSS,True,59,169
ENSG00000148180.19,chr9,121267812,121268219,TSS,True,134,262
ENSG00000148180.19,chr9,121299800,121300005,TSS,False,203,262
ENSG00000136830.11,chr9,127568819,127569150,TSS,True,43,145
ENSG00000107281.9,chr9,137045877,137046229,TSS,True,94,175
ENSG00000107281.9,chr9,137042926,137046685,TSS,True,125,175
ENSG00000107281.9,chr9,137041061,137042806,TSS,True,148,165
ENSG00000048828.16,chr9,93550586,93550691,TSS,True,81,104
ENSG00000048828.16,chr9,93557855,93558010,TSS,True,72,104
ENSG00000122741.15,chr9,37819401,37854779,ES,False,31,113
ENSG00000122741.15,chr9,37854982,37860047,ES,False,31,113
ENSG00000242616.3,chr9,111666946,111669271,3AS,True,36,115
ENSG00000242616.3,chr9,111669271,111670226,PAS,True,82,118
ENSG00000242616.3,chr9,111669268,111670227,PAS,False,40,118
ENSG00000119333.11,chr9,128635175,128635657,3AS,True,60,481
ENSG00000119333.11,chr9,128656540,128656756,TSS,True,69,582
ENSG00000148337.20,chr9,128178904,128179072,IR,False,32,173
ENSG00000148337.20,chr9,128185546,128186462,TSS,True,122,187
ENSG00000148337.20,chr9,128191431,128191600,TSS,False,101,187
ENSG00000182154.7,chr9,137551541,137551978,TSS,False,17,105
ENSG00000148248.13,chr9,133375921,133376131,TSS,True,83,368
ENSG00000119487.16,chr9,125484583,125543058,ES,False,40,121
ENSG00000099810.19,chr9,21802526,21802781,TSS,True,114,410
ENSG00000148303.16,chr9,133348206,133348246,TSS,False,293,644
ENSG00000148303.16,chr9,133348240,133349042,TSS,True,526,644
ENSG00000198876.12,chr9,34126353,34126735,TSS,False,15,102
ENSG00000148362.10,chr9,136992974,136993052,IR,False,41,103
ENSG00000148362.10,chr9,136992402,136993243,TSS,True,111,130
ENSG00000148362.10,chr9,136992294,136992562,TSS,True,39,130
ENSG00000070214.15,chr9,105389032,105391403,PAS,True,19,142
ENSG00000148335.14,chr9,129632801,129634053,5AS,False,18,107
ENSG00000148335.14,chr9,129634221,129635207,5AS,False,17,124
ENSG00000148335.14,chr9,129626144,129626295,TSS,True,56,144
ENSG00000159069.13,chr9,136941684,136942045,IR,True,242,275
ENSG00000159069.13,chr9,136943890,136944795,TSS,True,280,341
ENSG00000159069.13,chr9,136944593,136944762,TSS,True,125,341
ENSG00000167114.12,chr9,128340335,128340838,TSS,True,54,152
ENSG00000167114.12,chr9,128342679,128343293,TSS,True,133,152
ENSG00000167114.12,chr9,128345158,128345549,TSS,True,135,152
ENSG00000136930.12,chr9,124415363,124415471,TSS,True,35,209
ENSG00000107341.4,chr9,33817934,33900173,ES,True,16,144
ENSG00000198917.12,chr9,128829744,128829839,TSS,True,32,149
ENSG00000188229.5,chr9,137241286,137241417,TSS,True,806,1124
ENSG00000148290.9,chr9,133356399,133356489,TSS,True,46,112
ENSG00000148290.9,chr9,133353748,133353788,TSS,True,76,112
ENSG00000136891.13,chr9,100346315,100347166,5AS,False,31,107
ENSG00000136891.13,chr9,100352771,100352976,TSS,False,19,124
ENSG00000044574.7,chr9,125241004,125241372,TSS,False,425,3149
ENSG00000130707.17,chr9,130444854,130444995,TSS,False,25,119
ENSG00000167112.9,chr9,128322299,128323104,TSS,True,18,109
ENSG00000165689.16,chr9,136401916,136402887,PAS,True,20,157
ENSG00000165689.16,chr9,136410327,136410623,TSS,True,67,159
ENSG00000165689.16,chr9,136410089,136410614,TSS,True,135,159
ENSG00000137124.7,chr9,38392622,38392807,TSS,True,25,143
ENSG00000107164.15,chr9,130632278,130635998,ES,True,27,113
ENSG00000107164.15,chr9,130579533,130579764,TSS,True,46,133
ENSG00000107164.15,chr9,130630626,130630788,TSS,True,106,119
ENSG00000107164.15,chr9,130637013,130638354,PAS,True,14,132
ENSG00000148110.15,chr9,94454070,94458321,ES,True,76,395
ENSG00000148110.15,chr9,94374411,94374927,TSS,False,125,445
ENSG00000148110.15,chr9,94415155,94415253,TSS,True,397,445
ENSG00000136819.15,chr9,129835138,129835309,TSS,True,12,118
ENSG00000122729.18,chr9,32384584,32384735,TSS,True,16,132
ENSG00000122692.8,chr9,33044724,33047391,PAS,False,18,171
ENSG00000136877.14,chr9,127802850,127803062,TSS,False,33,155
ENSG00000136877.14,chr9,127813194,127814505,PAS,True,22,151
ENSG00000136950.13,chr9,124869138,124869439,TSS,False,69,173
ENSG00000165280.15,chr9,35072336,35072782,TSS,True,144,968
ENSG00000119335.16,chr9,128689190,128689655,TSS,False,144,1349
ENSG00000119335.16,chr9,128694640,128696393,PAS,True,181,1279
ENSG00000165724.5,chr9,137587107,137587716,IR,False,88,107
ENSG00000165724.5,chr9,137590212,137591276,TSS,False,42,126
ENSG00000130956.13,chr9,96450098,96450628,TSS,True,24,155
ENSG00000165283.15,chr9,35103049,35103184,TSS,True,126,499
ENSG00000165119.20,chr9,83969380,83970161,3AS,False,188,305
ENSG00000165119.20,chr9,83978452,83980152,5AS,True,91,106
ENSG00000165119.20,chr9,83967990,83969440,PAS,True,193,310
ENSG00000165119.20,chr9,83968082,83969380,PAS,True,123,310
ENSG00000165119.20,chr9,83980502,83980645,TSS,True,271,407
ENSG00000165119.20,chr9,83980152,83980270,TSS,True,315,407
ENSG00000176978.13,chr9,137112230,137112744,IR,True,269,392
ENSG00000176978.13,chr9,137114576,137114646,IR,False,248,360
ENSG00000176978.13,chr9,137114646,137114909,TSS,True,186,437
ENSG00000176978.13,chr9,137114462,137115159,TSS,True,328,437
ENSG00000148296.6,chr9,133336038,133336212,TSS,False,23,126
ENSG00000221829.9,chr9,35079440,35080262,TSS,True,27,106
ENSG00000221829.9,chr9,35079730,35080055,TSS,False,87,106
ENSG00000164985.14,chr9,15510326,15510816,3AS,False,101,155
ENSG00000164985.14,chr9,15462201,15465580,PAS,False,109,198
ENSG00000164985.14,chr9,15470635,15471231,PAS,True,157,185
ENSG00000164985.14,chr9,15473157,15474237,PAS,True,134,182
ENSG00000164985.14,chr9,15510816,15511132,TSS,True,42,198
ENSG00000123975.4,chr9,89311194,89311351,TSS,False,74,204
ENSG00000123975.4,chr9,89315170,89315297,TSS,True,130,204
ENSG00000188352.12,chr9,20926294,20926417,TSS,True,47,255
ENSG00000198467.14,chr9,35684550,35685268,ME,False,132,165
ENSG00000198467.14,chr9,35684550,35685063,IR,False,135,151
ENSG00000198467.14,chr9,35689703,35691118,TSS,True,23,216
ENSG00000148341.17,chr9,129010693,129012235,IR,False,123,152
ENSG00000148341.17,chr9,129007039,129008791,PAS,True,18,179
ENSG00000137055.14,chr9,26903372,26906076,PAS,True,57,103
ENSG00000137055.14,chr9,26907530,26907998,PAS,True,50,103
ENSG00000122140.10,chr9,135500619,135500753,TSS,True,32,172
ENSG00000054148.17,chr9,136850137,136850754,ES,False,135,154
ENSG00000054148.17,chr9,136850137,136850754,5AS,True,135,152
ENSG00000054148.17,chr9,136848968,136849590,TSS,True,77,192
ENSG00000054148.17,chr9,136849755,136850137,TSS,True,152,192
ENSG00000176101.11,chr9,137188650,137188778,TSS,True,80,112
ENSG00000176101.11,chr9,137188688,137189265,TSS,True,57,112
ENSG00000119471.14,chr9,112405722,112418859,ES,False,13,109
ENSG00000147955.16,chr9,34637546,34637828,TSS,True,26,145
ENSG00000186193.8,chr9,137063494,137063537,IR,True,121,286
ENSG00000186193.8,chr9,137062126,137064787,PAS,False,45,100
ENSG00000186193.8,chr9,137062126,137063494,PAS,True,167,289
ENSG00000186193.8,chr9,137069889,137070587,TSS,False,193,289
ENSG00000186193.8,chr9,137063537,137064128,TSS,True,206,289
ENSG00000147996.16,chr9,65692608,65698514,ES,False,79,102
ENSG00000147996.16,chr9,65698561,65702969,ES,False,28,100
ENSG00000147996.16,chr9,65733509,65734063,PAS,True,62,155
ENSG00000147996.16,chr9,65681573,65682033,PAS,True,108,148
ENSG00000197958.12,chr9,127451280,127451405,TSS,True,341,1250
ENSG00000197958.12,chr9,127447876,127447966,TSS,True,972,1233
ENSG00000122705.16,chr9,36190894,36191273,TSS,True,27,178
ENSG00000177239.14,chr9,137085401,137087218,TSS,True,30,159
ENSG00000137106.17,chr9,37422614,37422833,TSS,True,112,172
ENSG00000137106.17,chr9,37430580,37432138,TSS,False,141,168
ENSG00000165688.11,chr9,136410631,136410739,TSS,True,45,351
ENSG00000197070.13,chr9,137613006,137613459,IR,False,102,119
ENSG00000197070.13,chr9,137615000,137615073,IR,False,98,161
ENSG00000197070.13,chr9,137605613,137605835,TSS,True,46,165
ENSG00000197070.13,chr9,137615073,137616205,PAS,True,66,165
ENSG00000197070.13,chr9,137614558,137616227,PAS,True,100,150
ENSG00000136908.17,chr9,127936655,127937433,IR,False,87,114
ENSG00000136908.17,chr9,127936552,127937830,TSS,True,111,125
ENSG00000136908.17,chr9,127937817,127937860,TSS,False,46,127
ENSG00000136908.17,chr9,127937433,127937846,TSS,True,103,127
ENSG00000119396.10,chr9,121201638,121201919,TSS,False,16,154
ENSG00000233016.6,chr9,136724939,136725054,IR,True,17,100
ENSG00000233016.6,chr9,136724593,136725110,PAS,True,21,103
ENSG00000233016.6,chr9,136724657,136724939,PAS,True,85,103
ENSG00000165304.7,chr9,36581739,36589535,ES,False,54,109
ENSG00000165304.7,chr9,36589652,36597221,ES,False,14,114
ENSG00000165304.7,chr9,36651877,36665349,ES,False,17,128
ENSG00000165304.7,chr9,36572839,36573007,TSS,True,57,161
ENSG00000165304.7,chr9,36572858,36573198,TSS,True,141,161
ENSG00000165304.7,chr9,36674831,36674937,TSS,True,133,158
ENSG00000136942.14,chr9,124861909,124861987,TSS,True,236,953
ENSG00000119326.14,chr9,108942568,108942834,PAS,True,47,224
ENSG00000119326.14,chr9,108990724,108990845,PAS,True,181,220
ENSG00000119383.19,chr9,129111320,129111631,TSS,True,90,166
ENSG00000119383.19,chr9,129140074,129140151,TSS,True,142,165
ENSG00000165802.22,chr9,137453180,137454390,ES,False,19,139
ENSG00000165802.22,chr9,137454443,137456410,ES,False,25,121
ENSG00000165802.22,chr9,137459031,137459513,TSS,True,59,176
ENSG00000106771.12,chr9,109119334,109120067,TSS,False,19,109
ENSG00000073060.15,chr12,124782811,124786440,5AS,False,24,158
ENSG00000073060.15,chr12,124863594,124863959,TSS,True,64,187
