gene,chr,start,end,splice_type,novel,upper_lobe_of_right_lung_ENCFF449MVA_in_cov,upper_lobe_of_right_lung_ENCFF449MVA_total_cov
ENSG00000004975.11,chr17,7229943,7230057,5AS,False,38,114
ENSG00000167543.15,chr17,29568830,29569017,IR,False,76,129
ENSG00000167543.15,chr17,29566314,29567411,TSS,True,132,166
ENSG00000167543.15,chr17,29567280,29569086,TSS,True,147,165
ENSG00000167543.15,chr17,29568613,29568830,TSS,True,90,165
ENSG00000157637.12,chr17,81294822,81295503,TSS,True,191,532
ENSG00000178927.17,chr17,82450699,82450791,TSS,False,80,254
ENSG00000108774.14,chr17,42154892,42155022,TSS,True,122,487
ENSG00000161533.11,chr17,75978964,75979472,TSS,True,17,101
ENSG00000005884.17,chr17,50055758,50056645,TSS,True,145,188
ENSG00000005884.17,chr17,50075501,50075735,TSS,True,152,170
ENSG00000005884.17,chr17,50089109,50090933,PAS,True,21,167
ENSG00000161542.16,chr17,76313016,76313820,IR,False,114,130
ENSG00000175662.17,chr17,17972261,17972441,TSS,True,82,108
ENSG00000167085.11,chr17,49414834,49414901,TSS,False,23,158
ENSG00000136485.14,chr17,63550459,63550815,TSS,True,159,187
ENSG00000185359.12,chr17,81683960,81684103,TSS,True,94,276
ENSG00000173757.9,chr17,42276247,42276586,TSS,False,54,166
ENSG00000072210.18,chr17,19671956,19675557,ES,False,203,238
ENSG00000072210.18,chr17,19648716,19649124,TSS,True,35,260
ENSG00000129250.11,chr17,4997673,4998156,TSS,True,138,514
ENSG00000129657.15,chr17,77140848,77141107,TSS,True,85,157
ENSG00000129657.15,chr17,77213917,77217101,PAS,True,60,108
ENSG00000129657.15,chr17,77215997,77217101,PAS,True,138,157
ENSG00000129657.15,chr17,77216244,77217101,PAS,True,141,157
ENSG00000132589.15,chr17,28897525,28897736,TSS,False,46,400
ENSG00000131748.15,chr17,39657839,39657972,5AS,False,19,129
ENSG00000131748.15,chr17,39658522,39658721,IR,False,100,121
ENSG00000131748.15,chr17,39658522,39659050,ES,False,15,118
ENSG00000131748.15,chr17,39637054,39637231,TSS,True,44,159
ENSG00000167881.14,chr17,76072307,76072517,TSS,True,30,179
ENSG00000141279.15,chr17,47531037,47531555,TSS,True,96,187
ENSG00000141279.15,chr17,47612481,47612602,TSS,True,104,182
ENSG00000161955.16,chr17,7558161,7559297,TSS,True,44,197
ENSG00000161955.16,chr17,7560723,7561601,PAS,True,21,177
ENSG00000161955.16,chr17,7560998,7561601,PAS,True,157,177
ENSG00000121068.13,chr17,61399624,61400571,TSS,True,80,244
ENSG00000132522.15,chr17,7313124,7313211,IR,False,136,152
ENSG00000132522.15,chr17,7313721,7313905,IR,False,120,148
ENSG00000132522.15,chr17,7314597,7314958,IR,False,129,151
ENSG00000132522.15,chr17,7315119,7315330,5AS,True,93,104
ENSG00000132522.15,chr17,7315330,7316258,TSS,False,61,154
ENSG00000132522.15,chr17,7314958,7315365,TSS,True,116,154
ENSG00000141367.11,chr17,59619349,59620173,TSS,True,41,233
ENSG00000141367.11,chr17,59693727,59695115,PAS,True,29,229
ENSG00000108784.9,chr17,42536655,42537397,IR,True,106,131
ENSG00000108784.9,chr17,42536655,42538338,ES,False,18,130
ENSG00000108784.9,chr17,42538755,42543027,ES,False,22,150
ENSG00000108784.9,chr17,42536215,42536655,TSS,True,44,174
ENSG00000108784.9,chr17,42536221,42537545,TSS,True,155,174
ENSG00000141503.15,chr17,4891422,4891716,TSS,True,102,122
ENSG00000141503.15,chr17,4892146,4892512,TSS,False,103,121
ENSG00000141503.15,chr17,4833035,4833640,TSS,True,101,129
ENSG00000030582.17,chr17,44345096,44345334,TSS,True,1073,2308
ENSG00000030582.17,chr17,44349658,44349751,TSS,True,1880,2299
ENSG00000108604.15,chr17,63842458,63843066,TSS,True,15,120
ENSG00000108946.14,chr17,68512399,68512548,TSS,True,233,998
ENSG00000006042.11,chr17,32928237,32931474,ES,False,32,137
ENSG00000109065.11,chr17,74772054,74772217,IR,False,46,104
ENSG00000109065.11,chr17,74773039,74773575,IR,False,98,114
ENSG00000109065.11,chr17,74773685,74775621,3AS,False,73,109
ENSG00000109065.11,chr17,74770527,74771858,PAS,True,15,120
ENSG00000109065.11,chr17,74776266,74776381,TSS,True,21,127
ENSG00000167716.18,chr17,1735717,1736038,IR,False,84,102
ENSG00000167716.18,chr17,1724693,1728626,TSS,True,96,136
ENSG00000167716.18,chr17,1730478,1730945,TSS,True,107,120
ENSG00000167716.18,chr17,1730511,1731258,TSS,True,99,119
ENSG00000167716.18,chr17,1732323,1732490,TSS,True,100,119
ENSG00000167716.18,chr17,1733706,1734216,TSS,True,104,119
ENSG00000167716.18,chr17,1737364,1738599,PAS,True,23,128
ENSG00000197063.10,chr17,81927527,81927738,TSS,True,21,114
ENSG00000184009.11,chr17,81512733,81512855,TSS,True,360,3314
ENSG00000108861.8,chr17,43778799,43779000,TSS,True,26,128
ENSG00000132376.19,chr17,1513554,1513871,3AS,False,23,143
ENSG00000132376.19,chr17,1516455,1516895,TSS,True,36,187
ENSG00000108262.15,chr17,29589326,29589705,TSS,True,54,107
ENSG00000141522.11,chr17,81871297,81871406,TSS,True,125,251
ENSG00000141522.11,chr17,81869740,81871121,TSS,True,222,251
ENSG00000108883.12,chr17,44899368,44899648,TSS,True,23,163
ENSG00000062716.12,chr17,59707510,59707748,TSS,False,16,109
ENSG00000108679.12,chr17,78979823,78979962,TSS,True,161,670
ENSG00000187688.14,chr17,16426877,16427451,3AS,True,60,200
ENSG00000187688.14,chr17,16432300,16434889,ES,False,24,197
ENSG00000187688.14,chr17,16415233,16415833,TSS,False,34,217
ENSG00000159842.15,chr17,1003517,1006169,PAS,True,21,112
ENSG00000073350.13,chr17,75574260,75574609,ES,False,40,234
ENSG00000073350.13,chr17,75574668,75574873,3AS,False,92,226
ENSG00000073350.13,chr17,75525429,75525825,TSS,True,111,310
ENSG00000073350.13,chr17,75564352,75567942,PAS,True,191,246
ENSG00000073350.13,chr17,75574873,75575219,PAS,True,217,309
ENSG00000073350.13,chr17,75574870,75575219,PAS,True,175,309
ENSG00000168610.14,chr17,42316851,42317181,3AS,False,73,382
ENSG00000168610.14,chr17,42317224,42322284,5AS,False,65,382
ENSG00000168610.14,chr17,42348517,42388278,3AS,False,111,348
ENSG00000168610.14,chr17,42348520,42388278,3AS,False,65,237
ENSG00000168610.14,chr17,42388278,42388586,TSS,True,98,448
ENSG00000132386.10,chr17,1761892,1762113,TSS,False,41,136
ENSG00000132386.10,chr17,1769750,1770050,TSS,True,112,136
ENSG00000087111.20,chr17,28571188,28571462,IR,False,91,111
ENSG00000087111.20,chr17,28571462,28571566,TSS,True,46,138
ENSG00000087111.20,chr17,28571048,28571566,TSS,True,118,138
ENSG00000181885.18,chr17,7261820,7263184,TSS,True,35,126
ENSG00000181885.18,chr17,7260820,7263211,TSS,True,113,126
ENSG00000169738.7,chr17,82036448,82036543,IR,False,129,148
ENSG00000169738.7,chr17,82036643,82036720,IR,False,131,147
ENSG00000169738.7,chr17,82037547,82037630,IR,False,117,139
ENSG00000169738.7,chr17,82037630,82037706,TSS,True,32,152
ENSG00000239697.10,chr17,7548922,7549312,TSS,True,24,109
ENSG00000108582.11,chr17,30378872,30379726,TSS,True,14,116
ENSG00000082641.15,chr17,48048248,48048462,TSS,True,90,143
ENSG00000082641.15,chr17,48048761,48048864,TSS,True,122,143
ENSG00000002834.17,chr17,38869798,38870258,TSS,True,161,338
ENSG00000002834.17,chr17,38890368,38890504,TSS,True,296,338
ENSG00000108344.14,chr17,39980768,39981190,TSS,True,26,122
ENSG00000182534.13,chr17,76680879,76685071,ES,False,565,650
ENSG00000182534.13,chr17,76679568,76680879,PAS,True,144,795
ENSG00000182534.13,chr17,76675416,76677702,PAS,False,656,797
ENSG00000169660.16,chr17,82418328,82418740,TSS,True,36,105
ENSG00000184557.4,chr17,78359749,78360566,TSS,True,128,682
ENSG00000159314.11,chr17,45396580,45396667,3AS,True,17,140
ENSG00000159314.11,chr17,45404096,45404444,ES,False,42,117
ENSG00000159314.11,chr17,45404923,45405114,TSS,True,133,161
ENSG00000159314.11,chr17,45432751,45432975,TSS,True,134,169
ENSG00000159314.11,chr17,45425563,45425872,TSS,True,147,164
ENSG00000108465.14,chr17,47971152,47971361,IR,False,102,137
ENSG00000108465.14,chr17,47974448,47975158,IR,False,66,144
ENSG00000108465.14,chr17,47975653,47975868,IR,False,70,147
ENSG00000108465.14,chr17,47971015,47971152,TSS,True,60,162
ENSG00000108465.14,chr17,47971020,47971407,TSS,True,125,162
ENSG00000126561.16,chr17,42287697,42288598,TSS,True,46,132
ENSG00000125691.12,chr17,38853697,38853764,TSS,True,32,103
ENSG00000125691.12,chr17,38852603,38853720,TSS,True,84,103
ENSG00000226137.5,chr17,81034564,81034844,TSS,False,30,113
ENSG00000108788.11,chr17,42567655,42568836,ES,False,25,121
ENSG00000108788.11,chr17,42568559,42568836,IR,False,97,114
ENSG00000108788.11,chr17,42569303,42569506,IR,False,124,143
ENSG00000108788.11,chr17,42567040,42567166,TSS,True,33,156
ENSG00000108829.9,chr17,50397212,50397565,TSS,True,27,155
ENSG00000179094.15,chr17,8140467,8141340,PAS,True,35,147
ENSG00000179094.15,chr17,8143265,8143703,TSS,False,78,150
ENSG00000133030.20,chr17,17138075,17142626,5AS,False,83,116
ENSG00000133030.20,chr17,17174075,17176425,ES,False,26,210
ENSG00000133030.20,chr17,17180088,17184822,ES,False,43,210
ENSG00000133030.20,chr17,17042427,17042971,TSS,True,147,233
ENSG00000133030.20,chr17,17158428,17159002,TSS,True,199,227
ENSG00000087191.12,chr17,63827380,63827514,TSS,True,39,167
ENSG00000141736.13,chr17,39699921,39700311,TSS,True,106,175
ENSG00000141736.13,chr17,39727368,39727547,TSS,True,140,171
ENSG00000129245.11,chr17,7614451,7614927,TSS,True,22,112
ENSG00000109113.19,chr17,28715122,28715218,5AS,False,30,131
ENSG00000109113.19,chr17,28717212,28718419,TSS,True,64,141
ENSG00000109113.19,chr17,28718121,28718530,TSS,True,94,141
ENSG00000072778.19,chr17,7222081,7222176,IR,False,461,629
ENSG00000072778.19,chr17,7222302,7222666,IR,True,502,631
ENSG00000072778.19,chr17,7222865,7223132,IR,False,371,710
ENSG00000072778.19,chr17,7219853,7220046,TSS,True,272,806
ENSG00000179604.9,chr17,73311892,73312008,TSS,True,59,175
ENSG00000161547.16,chr17,76734114,76735158,PAS,True,32,116
ENSG00000161547.16,chr17,76734118,76736464,PAS,True,89,111
ENSG00000161547.16,chr17,76736798,76737877,TSS,True,13,122
ENSG00000108622.10,chr17,64006630,64006950,TSS,True,78,103
ENSG00000108622.10,chr17,64020522,64020642,TSS,True,39,103
ENSG00000109046.14,chr17,27306882,27307743,IR,True,77,102
ENSG00000109046.14,chr17,27306882,27309099,3AS,False,44,119
ENSG00000109046.14,chr17,27294066,27294435,TSS,True,138,280
ENSG00000109046.14,chr17,27307561,27309272,TSS,True,163,261
ENSG00000173786.16,chr17,41966715,41966887,TSS,False,26,143
ENSG00000167193.7,chr17,1455876,1456260,TSS,True,20,110
ENSG00000008283.15,chr17,63437345,63437564,TSS,True,88,100
ENSG00000008283.15,chr17,63446244,63446357,TSS,True,39,101
ENSG00000087157.18,chr17,78404089,78414951,3AS,False,48,166
ENSG00000087157.18,chr17,78419675,78424060,ES,True,116,130
ENSG00000087157.18,chr17,78419675,78424060,5AS,False,116,154
ENSG00000087157.18,chr17,78378633,78378808,TSS,True,43,206
ENSG00000087157.18,chr17,78424060,78424659,PAS,True,37,206
ENSG00000108828.15,chr17,43021935,43022417,TSS,True,60,505
ENSG00000132475.10,chr17,75779656,75779781,TSS,True,134,1070
ENSG00000198909.7,chr17,63622218,63622763,TSS,True,34,123
ENSG00000141580.15,chr17,82648273,82648609,TSS,True,33,101
ENSG00000108654.14,chr17,64500773,64501056,IR,False,13,127
ENSG00000108654.14,chr17,64500773,64502009,IR,False,662,776
ENSG00000108654.14,chr17,64498253,64500326,PAS,True,83,808
ENSG00000108840.15,chr17,44110800,44117493,3AS,False,71,140
ENSG00000108840.15,chr17,44117704,44123503,5AS,True,113,135
ENSG00000108840.15,chr17,44087411,44087698,TSS,True,217,261
ENSG00000108840.15,chr17,44123503,44124047,TSS,True,148,262
ENSG00000108840.15,chr17,44123253,44123663,TSS,True,235,262
ENSG00000177469.12,chr17,42422626,42423258,TSS,False,524,1160
ENSG00000108639.7,chr17,78168541,78168715,TSS,True,108,915
ENSG00000225663.7,chr17,81822907,81823208,IR,False,14,128
ENSG00000225663.7,chr17,81822412,81823311,PAS,True,14,127
ENSG00000225663.7,chr17,81822416,81822907,PAS,True,118,132
ENSG00000225663.7,chr17,81833237,81833309,TSS,True,23,132
ENSG00000175061.17,chr17,16439414,16440184,ES,False,186,252
ENSG00000175061.17,chr17,16440253,16441367,ES,False,26,255
ENSG00000175061.17,chr17,16438983,16439060,TSS,True,38,263
ENSG00000175061.17,chr17,16438984,16439414,TSS,True,231,263
ENSG00000173821.19,chr17,80260790,80260902,TSS,True,90,109
ENSG00000173821.19,chr17,80261736,80263778,TSS,True,83,109
ENSG00000173821.19,chr17,80393344,80396286,PAS,True,74,108
ENSG00000197879.16,chr17,1491599,1491883,TSS,True,408,487
ENSG00000197879.16,chr17,1485693,1486131,TSS,True,327,487
ENSG00000197879.16,chr17,1492412,1492728,TSS,True,414,487
ENSG00000141551.14,chr17,82242653,82244831,PAS,True,11,108
ENSG00000141551.14,chr17,82273305,82273721,TSS,True,69,144
ENSG00000177303.9,chr17,75515400,75515620,TSS,True,86,100
ENSG00000006744.18,chr17,13017702,13018044,TSS,True,23,130
ENSG00000161921.14,chr17,4732914,4734479,PAS,False,107,582
ENSG00000161921.14,chr17,4733532,4734652,PAS,True,478,582
ENSG00000161921.14,chr17,4739260,4739927,TSS,True,80,585
ENSG00000182446.13,chr17,81636915,81637112,TSS,True,46,119
ENSG00000177731.15,chr17,18251813,18251998,3AS,False,243,498
ENSG00000177731.15,chr17,18258627,18258774,TSS,True,134,581
ENSG00000124422.11,chr17,21042664,21043082,TSS,False,53,161
ENSG00000261371.5,chr17,64390601,64391244,TSS,True,146,542
ENSG00000142507.9,chr17,4796133,4796296,TSS,True,104,243
ENSG00000174282.11,chr17,7479455,7479669,TSS,False,158,191
ENSG00000174282.11,chr17,7465710,7466631,TSS,True,158,191
ENSG00000132471.11,chr17,75849603,75849740,TSS,True,264,298
ENSG00000132471.11,chr17,75855238,75855369,TSS,True,183,298
ENSG00000169696.15,chr17,82016869,82016940,IR,False,95,106
ENSG00000169696.15,chr17,81977524,81977748,TSS,True,13,118
ENSG00000169696.15,chr17,82017308,82017609,PAS,True,13,118
ENSG00000034152.18,chr17,21284650,21284969,TSS,True,29,117
ENSG00000034152.18,chr17,21311508,21312281,TSS,True,103,117
ENSG00000131467.10,chr17,42833140,42833673,TSS,True,19,115
ENSG00000172809.12,chr17,74203710,74203917,5AS,False,21,119
ENSG00000172809.12,chr17,74203674,74203710,TSS,False,105,126
ENSG00000172809.12,chr17,74203671,74203745,TSS,True,29,126
ENSG00000131469.14,chr17,42998395,42998471,TSS,False,84,254
ENSG00000131469.14,chr17,42998448,42998831,TSS,False,216,254
ENSG00000131469.14,chr17,43002754,43002783,TSS,True,215,254
ENSG00000184640.17,chr17,77488725,77488864,TSS,True,114,131
ENSG00000109079.9,chr17,28335711,28335856,TSS,True,181,270
ENSG00000109079.9,chr17,28340306,28340478,TSS,True,192,270
ENSG00000109079.9,chr17,28341226,28341326,TSS,True,231,270
ENSG00000108528.13,chr17,4939815,4940068,TSS,True,28,200
ENSG00000166482.11,chr17,19386838,19387149,5AS,True,304,365
ENSG00000166482.11,chr17,19387149,19387224,TSS,False,254,559
ENSG00000166482.11,chr17,19385357,19387176,TSS,True,440,559
ENSG00000166482.11,chr17,19387040,19387190,TSS,True,498,559
ENSG00000108424.9,chr17,47649719,47650284,TSS,True,21,113
ENSG00000126581.12,chr17,42823879,42824154,5AS,False,107,183
ENSG00000126581.12,chr17,42824132,42824301,TSS,True,116,193
ENSG00000126581.12,chr17,42824154,42824315,TSS,True,86,193
ENSG00000171298.12,chr17,80101625,80104554,ES,False,83,227
ENSG00000171298.12,chr17,80101141,80101625,TSS,True,225,454
ENSG00000171298.12,chr17,80101553,80105132,TSS,True,391,451
ENSG00000171298.12,chr17,80112729,80113027,TSS,True,394,444
ENSG00000011028.13,chr17,62688802,62689760,TSS,True,245,273
ENSG00000011028.13,chr17,62689755,62690062,TSS,True,228,273
ENSG00000011028.13,chr17,62627131,62627920,TSS,True,248,296
ENSG00000011028.13,chr17,62692230,62693602,PAS,True,28,254
ENSG00000121067.17,chr17,49622876,49677932,ES,False,90,138
ENSG00000121067.17,chr17,49677932,49678203,TSS,True,39,177
ENSG00000271447.5,chr17,35770312,35778887,ES,False,17,129
ENSG00000271447.5,chr17,35765850,35766894,PAS,False,71,192
ENSG00000271447.5,chr17,35778503,35779075,PAS,True,143,184
ENSG00000271447.5,chr17,35795266,35795645,TSS,True,33,206
ENSG00000141552.17,chr17,81891657,81891833,TSS,True,64,105
ENSG00000141552.17,chr17,81891731,81891841,TSS,True,64,105
ENSG00000141552.17,chr17,81891682,81891863,TSS,True,90,105
ENSG00000013306.15,chr17,44321231,44321433,IR,False,203,226
ENSG00000013306.15,chr17,44322528,44322807,3AS,False,170,213
ENSG00000013306.15,chr17,44323577,44324710,IR,True,180,208
ENSG00000013306.15,chr17,44324710,44326602,TSS,False,59,249
ENSG00000013306.15,chr17,44323477,44325384,TSS,True,219,249
ENSG00000174238.14,chr17,1562540,1562813,TSS,True,29,117
ENSG00000109099.14,chr17,15262428,15262555,TSS,True,93,276
ENSG00000109099.14,chr17,15265153,15265326,TSS,True,237,276
ENSG00000132470.13,chr17,75721256,75721563,TSS,True,79,106
ENSG00000132470.13,chr17,75721310,75721612,TSS,True,93,106
ENSG00000006282.20,chr17,50551190,50551510,IR,False,87,102
ENSG00000006282.20,chr17,50551679,50551968,IR,False,70,102
ENSG00000006282.20,chr17,50547128,50547285,TSS,True,16,106
ENSG00000183018.8,chr17,4498857,4499417,TSS,False,70,219
ENSG00000174231.16,chr17,1650624,1650956,PAS,True,22,112
ENSG00000174231.16,chr17,1684779,1684871,TSS,True,80,113
ENSG00000121057.12,chr17,57085170,57085398,TSS,False,29,148
ENSG00000175866.15,chr17,81034272,81035308,TSS,True,65,124
ENSG00000175866.15,chr17,81106770,81106907,TSS,True,106,121
ENSG00000175866.15,chr17,81115769,81117424,PAS,True,58,110
ENSG00000175866.15,chr17,81108967,81110516,PAS,True,75,106
ENSG00000132507.17,chr17,7307460,7307752,TSS,True,40,291
ENSG00000168961.16,chr17,27631130,27631304,TSS,True,59,121
ENSG00000168961.16,chr17,27647293,27647432,TSS,True,104,120
ENSG00000168961.16,chr17,27644616,27645349,TSS,True,105,121
ENSG00000133026.12,chr17,8474204,8475948,PAS,True,23,142
ENSG00000133026.12,chr17,8630653,8630906,TSS,True,65,147
ENSG00000181045.14,chr17,80219727,80220496,TSS,True,74,120
ENSG00000181045.14,chr17,80246507,80246649,TSS,True,102,115
ENSG00000177885.14,chr17,75405488,75405707,TSS,True,86,350
ENSG00000169727.12,chr17,82054049,82054509,3AS,False,180,214
ENSG00000169727.12,chr17,82054975,82055164,3AS,False,25,219
ENSG00000169727.12,chr17,82051518,82051964,TSS,False,69,224
ENSG00000169727.12,chr17,82051100,82053366,TSS,True,187,224
ENSG00000163597.14,chr17,76557857,76561287,ES,False,62,130
ENSG00000163597.14,chr17,76557759,76557857,TSS,True,43,173
ENSG00000072310.16,chr17,17820089,17820523,TSS,True,97,110
ENSG00000072310.16,chr17,17836726,17837034,TSS,True,88,110
ENSG00000072310.16,chr17,17819537,17822762,TSS,True,89,110
ENSG00000128309.16,chr22,37019036,37019774,TSS,True,240,307
ENSG00000128309.16,chr22,37019747,37019872,TSS,True,138,307
ENSG00000128309.16,chr22,37024188,37024810,TSS,False,250,307
ENSG00000099956.19,chr22,23791867,23793558,5AS,False,119,208
ENSG00000099994.10,chr22,24181457,24181595,TSS,False,298,601
ENSG00000099994.10,chr22,24186947,24187843,TSS,True,467,592
ENSG00000100364.18,chr22,45240639,45240943,TSS,True,37,317
ENSG00000100412.15,chr22,41468798,41469182,TSS,False,31,118
ENSG00000100031.18,chr22,24603142,24603321,TSS,True,129,158
ENSG00000100031.18,chr22,24627236,24627619,TSS,True,87,157
ENSG00000100031.18,chr22,24627213,24627278,TSS,False,139,158
ENSG00000100234.11,chr22,32801684,32802122,TSS,False,349,1338
ENSG00000100109.16,chr22,26512393,26512505,TSS,True,14,103
ENSG00000100325.14,chr22,29832342,29838177,ES,False,39,102
ENSG00000100325.14,chr22,29838177,29838308,TSS,True,31,147
ENSG00000100368.13,chr22,36913568,36913677,TSS,True,95,110
ENSG00000100368.13,chr22,36930704,36930830,TSS,True,67,109
ENSG00000100307.12,chr22,39152375,39152671,TSS,True,56,136
ENSG00000100258.17,chr22,50504451,50504558,IR,False,160,191
ENSG00000100258.17,chr22,50507581,50507802,TSS,True,70,209
ENSG00000198911.11,chr22,41832415,41833358,TSS,True,111,317
ENSG00000251322.7,chr22,50720558,50722437,TSS,True,108,132
ENSG00000025708.13,chr22,50529338,50529495,IR,False,432,507
ENSG00000025708.13,chr22,50529719,50529903,3AS,False,291,362
ENSG00000025708.13,chr22,50529719,50529903,IR,False,291,396
ENSG00000025708.13,chr22,50529731,50529903,IR,False,64,169
ENSG00000025708.13,chr22,50523569,50525918,PAS,True,57,563
ENSG00000025708.13,chr22,50529495,50530026,TSS,True,499,563
ENSG00000025708.13,chr22,50529903,50530341,TSS,True,219,563
ENSG00000100353.17,chr22,36529075,36529325,TSS,False,28,249
ENSG00000100266.18,chr22,43015020,43015191,TSS,True,70,298
ENSG00000183597.15,chr22,20021064,20021134,TSS,True,74,113
ENSG00000183597.15,chr22,20021099,20021246,TSS,False,72,113
ENSG00000099998.17,chr22,24220116,24224995,ES,False,100,120
ENSG00000099998.17,chr22,24225411,24225545,3AS,False,104,116
ENSG00000099998.17,chr22,24233018,24233873,ES,False,16,111
ENSG00000099998.17,chr22,24244552,24245748,TSS,True,22,134
ENSG00000100034.13,chr22,21952791,21952896,TSS,True,64,153
ENSG00000184164.14,chr22,49921761,49922611,ES,False,108,129
ENSG00000184164.14,chr22,49917882,49918898,TSS,True,20,142
ENSG00000100083.18,chr22,37608447,37608903,TSS,True,43,116
ENSG00000100083.18,chr22,37632600,37633566,PAS,True,22,110
ENSG00000184076.13,chr22,29767548,29769677,5AS,True,139,162
ENSG00000184076.13,chr22,29767381,29767607,TSS,True,146,169
ENSG00000184076.13,chr22,29767378,29767548,TSS,False,29,169
ENSG00000185340.15,chr22,29306828,29307153,TSS,False,46,131
ENSG00000185340.15,chr22,29311461,29312787,PAS,False,20,107
ENSG00000186716.20,chr22,23180497,23182239,TSS,True,79,225
ENSG00000138867.16,chr22,24540437,24543097,PAS,True,18,161
ENSG00000138867.16,chr22,24540437,24543100,PAS,True,144,161
ENSG00000138867.16,chr22,24554948,24555187,TSS,True,52,187
ENSG00000242259.8,chr22,19440885,19444390,PAS,True,25,131
ENSG00000242259.8,chr22,19440885,19441694,PAS,True,117,138
ENSG00000242259.8,chr22,19447664,19448252,TSS,True,16,138
ENSG00000196576.14,chr22,50279629,50279782,TSS,True,251,298
ENSG00000196576.14,chr22,50282710,50283097,TSS,False,256,307
ENSG00000196576.14,chr22,50281565,50281743,TSS,True,265,305
ENSG00000196576.14,chr22,50307552,50307691,TSS,True,289,325
ENSG00000213923.11,chr22,38290689,38291938,PAS,False,61,123
ENSG00000213923.11,chr22,38299894,38300045,TSS,True,133,158
ENSG00000213923.11,chr22,38317159,38317473,TSS,True,107,160
ENSG00000198951.11,chr22,42070373,42070762,IR,True,27,102
ENSG00000198951.11,chr22,42070281,42070901,TSS,True,54,131
ENSG00000198951.11,chr22,42070762,42070847,TSS,False,91,131
ENSG00000100345.21,chr22,36387806,36388109,TSS,False,754,1103
ENSG00000241973.10,chr22,20707688,20708098,PAS,True,19,107
ENSG00000241973.10,chr22,20858569,20858831,TSS,False,77,108
ENSG00000185022.11,chr22,38201989,38202212,TSS,True,52,165
ENSG00000185022.11,chr22,38213573,38213706,TSS,False,143,165
ENSG00000100242.15,chr22,38752665,38755762,ES,False,337,546
ENSG00000100242.15,chr22,38755762,38756048,TSS,True,279,826
ENSG00000100030.14,chr22,21760318,21764240,PAS,True,21,131
ENSG00000100030.14,chr22,21767969,21769320,PAS,True,111,131
ENSG00000100030.14,chr22,21867321,21867668,TSS,True,93,220
ENSG00000170638.9,chr22,50197995,50198074,IR,False,81,108
ENSG00000170638.9,chr22,50185898,50185976,TSS,True,66,117
ENSG00000170638.9,chr22,50185870,50186001,TSS,True,85,117
ENSG00000170638.9,chr22,50198344,50199601,PAS,True,12,110
ENSG00000070413.19,chr22,19065058,19068099,3AS,False,62,217
ENSG00000070413.19,chr22,19122127,19122446,TSS,True,119,336
ENSG00000070413.19,chr22,19041057,19041276,TSS,True,296,330
ENSG00000198355.4,chr22,49961032,49961124,IR,False,704,784
ENSG00000198355.4,chr22,49960472,49961032,TSS,False,144,847
ENSG00000100288.19,chr22,50579802,50579973,3AS,False,26,137
ENSG00000100288.19,chr22,50580271,50580357,IR,False,90,140
ENSG00000100288.19,chr22,50581553,50581748,IR,True,107,136
ENSG00000100288.19,chr22,50581862,50582248,IR,False,38,143
ENSG00000100288.19,chr22,50582357,50582557,IR,False,20,142
ENSG00000100288.19,chr22,50582248,50582988,TSS,True,125,149
ENSG00000100288.19,chr22,50582557,50582974,TSS,True,129,149
ENSG00000100288.19,chr22,50581748,50582981,TSS,True,76,149
ENSG00000128294.15,chr22,26590052,26590158,TSS,True,32,294
ENSG00000100138.14,chr22,41688793,41688884,TSS,True,32,118
ENSG00000100138.14,chr22,41682355,41682453,TSS,True,93,112
ENSG00000189306.10,chr22,42519713,42519822,TSS,True,19,137
ENSG00000100300.17,chr22,43151524,43151604,TSS,True,81,301
ENSG00000100300.17,chr22,43161057,43161190,TSS,True,255,301
ENSG00000099977.14,chr22,23974306,23974491,TSS,True,150,178
ENSG00000099899.14,chr22,20116882,20117355,TSS,True,21,106
ENSG00000099899.14,chr22,20117096,20117336,TSS,True,95,106
ENSG00000100225.17,chr22,32475124,32479132,3AS,False,32,184
ENSG00000100225.17,chr22,32474703,32475124,TSS,True,99,292
ENSG00000100225.17,chr22,32475222,32475398,TSS,True,203,292
ENSG00000185339.8,chr22,30606817,30607395,TSS,True,45,135
ENSG00000185339.8,chr22,30615626,30615787,TSS,True,110,134
ENSG00000128272.14,chr22,39520278,39520751,TSS,False,91,186
ENSG00000128272.14,chr22,39521485,39521671,TSS,True,155,186
ENSG00000100348.9,chr22,36481563,36482025,TSS,True,70,201
ENSG00000100348.9,chr22,36480574,36480835,TSS,True,140,201
ENSG00000100401.19,chr22,41281082,41285985,5AS,True,82,103
ENSG00000100401.19,chr22,41285985,41286251,TSS,False,54,140
ENSG00000100401.19,chr22,41285543,41286219,TSS,False,121,140
ENSG00000183963.18,chr22,31080948,31081456,TSS,True,46,131
ENSG00000183963.18,chr22,31090962,31091482,TSS,True,116,131
ENSG00000100299.17,chr22,50627555,50628169,TSS,True,47,112
ENSG00000100299.17,chr22,50627945,50628171,TSS,True,92,113
ENSG00000198792.12,chr22,38225423,38225776,TSS,True,176,226
ENSG00000198792.12,chr22,38272883,38273049,TSS,True,145,230
ENSG00000100097.11,chr22,37675634,37675711,TSS,True,17,147
ENSG00000100060.17,chr22,37485922,37486524,TSS,True,27,193
ENSG00000075240.16,chr22,46577072,46577290,TSS,False,73,118
ENSG00000075240.16,chr22,46662760,46663172,TSS,False,96,118
