gene,chr,start,end,splice_type,novel,progenitor_cell_of_endocrine_pancreas_ENCFF509GHY_in_cov,progenitor_cell_of_endocrine_pancreas_ENCFF509GHY_total_cov
ENSG00000108406.9,chr17,59607032,59608352,PAS,True,16,152
ENSG00000108592.16,chr17,63819102,63819994,PAS,False,19,166
ENSG00000108592.16,chr17,63826835,63827065,TSS,True,125,166
ENSG00000108592.16,chr17,63827051,63827671,TSS,True,54,166
ENSG00000108559.11,chr17,5384156,5386269,PAS,True,124,321
ENSG00000108559.11,chr17,5387597,5387670,PAS,True,257,320
ENSG00000172809.12,chr17,74203710,74203917,5AS,False,31,171
ENSG00000172809.12,chr17,74203674,74203710,TSS,False,147,178
ENSG00000172809.12,chr17,74203671,74203745,TSS,True,44,178
ENSG00000131747.14,chr17,40395445,40395539,PAS,True,198,243
ENSG00000131747.14,chr17,40396282,40396465,PAS,False,198,242
ENSG00000131747.14,chr17,40398771,40398937,PAS,True,196,241
ENSG00000131747.14,chr17,40398785,40400067,PAS,True,194,240
ENSG00000131747.14,chr17,40417770,40417978,TSS,False,43,252
ENSG00000131469.14,chr17,42998395,42998471,TSS,False,52,327
ENSG00000131469.14,chr17,42998448,42998831,TSS,False,286,327
ENSG00000173812.10,chr17,41688884,41689069,TSS,False,36,110
ENSG00000173812.10,chr17,41688907,41689941,TSS,False,85,109
ENSG00000167183.2,chr17,47953263,47957656,3AS,True,102,122
ENSG00000167183.2,chr17,47951966,47953263,PAS,False,22,126
ENSG00000167183.2,chr17,47951969,47953266,PAS,True,105,126
ENSG00000108424.9,chr17,47649719,47650284,TSS,True,135,180
ENSG00000108424.9,chr17,47668196,47668410,TSS,False,151,180
ENSG00000126581.12,chr17,42818877,42819547,IR,False,129,154
ENSG00000126581.12,chr17,42823879,42824154,5AS,False,99,152
ENSG00000126581.12,chr17,42824132,42824301,TSS,True,110,163
ENSG00000126581.12,chr17,42824154,42824315,TSS,True,64,163
ENSG00000121067.17,chr17,49622876,49677932,ES,False,238,296
ENSG00000167840.13,chr17,5106506,5108925,3AS,False,21,111
ENSG00000167840.13,chr17,5109052,5109393,IR,False,80,102
ENSG00000167840.13,chr17,5109868,5111799,ES,False,44,101
ENSG00000167840.13,chr17,5105549,5106533,PAS,True,47,130
ENSG00000167840.13,chr17,5105615,5106506,PAS,True,108,130
ENSG00000167840.13,chr17,5111799,5111924,TSS,True,17,131
ENSG00000108433.16,chr17,46938598,46944788,PAS,True,60,225
ENSG00000108433.16,chr17,46935028,46936964,PAS,True,199,224
ENSG00000176974.19,chr17,18333288,18340042,ES,False,27,119
ENSG00000176974.19,chr17,18356000,18363371,ES,False,99,118
ENSG00000136450.12,chr17,58004001,58004922,IR,False,31,233
ENSG00000136450.12,chr17,58000922,58004001,PAS,True,202,233
ENSG00000136450.12,chr17,58000923,58005600,PAS,True,37,232
ENSG00000108588.13,chr17,63745248,63746961,PAS,True,41,215
ENSG00000108588.13,chr17,63751760,63752107,PAS,True,192,215
ENSG00000133026.12,chr17,8569812,8577235,ES,False,732,1375
ENSG00000133026.12,chr17,8576669,8577235,3AS,False,72,643
ENSG00000133026.12,chr17,8623277,8630653,ES,True,1158,1287
ENSG00000133026.12,chr17,8512463,8512657,PAS,True,298,1417
ENSG00000133026.12,chr17,8517171,8518791,PAS,True,1241,1415
ENSG00000133026.12,chr17,8630653,8630906,TSS,True,187,1486
ENSG00000167842.15,chr17,5486684,5488822,ES,False,119,150
ENSG00000167842.15,chr17,5486384,5486684,TSS,True,27,178
ENSG00000163597.14,chr17,76557857,76561287,ES,False,524,904
ENSG00000100296.13,chr22,29553670,29555387,TSS,False,49,129
ENSG00000100296.13,chr22,29553447,29553675,TSS,True,89,129
ENSG00000239900.12,chr22,40364365,40366435,ES,False,58,454
ENSG00000100014.19,chr22,24270983,24302194,ES,False,90,124
ENSG00000100014.19,chr22,24270802,24270983,TSS,True,17,142
ENSG00000100014.19,chr22,24321287,24322697,PAS,True,96,135
ENSG00000100014.19,chr22,24324219,24324427,PAS,False,82,139
ENSG00000100014.19,chr22,24328845,24328884,PAS,True,116,139
ENSG00000100138.14,chr22,41688793,41688884,TSS,True,109,308
ENSG00000100138.14,chr22,41682355,41682453,TSS,True,205,307
ENSG00000100225.17,chr22,32475124,32479132,3AS,False,13,117
ENSG00000100225.17,chr22,32474703,32475124,TSS,True,70,189
ENSG00000100225.17,chr22,32475222,32475398,TSS,True,125,189
ENSG00000100201.20,chr22,38488035,38492115,PAS,True,105,143
ENSG00000100201.20,chr22,38492504,38494131,PAS,True,105,142
ENSG00000100201.20,chr22,38492503,38494802,PAS,True,108,142
ENSG00000100201.20,chr22,38505950,38506341,TSS,True,280,415
ENSG00000280623.1,chr22,23537113,23538760,5AS,True,14,133
ENSG00000280623.1,chr22,23537136,23538760,3AS,True,116,131
ENSG00000280623.1,chr22,23536865,23537136,TSS,True,90,221
ENSG00000280623.1,chr22,23546485,23547801,PAS,False,197,221
ENSG00000280623.1,chr22,23538760,23542614,PAS,True,95,209
ENSG00000100320.22,chr22,35840191,35840472,TSS,True,44,115
ENSG00000100395.14,chr22,41230138,41231621,PAS,True,37,100
ENSG00000100395.14,chr22,41227803,41228254,PAS,False,64,100
ENSG00000077942.18,chr22,45502614,45503064,TSS,False,21,102
ENSG00000077942.18,chr22,45562911,45563362,PAS,True,31,101
ENSG00000077942.18,chr22,45600306,45602846,PAS,False,72,102
ENSG00000182944.17,chr22,29288786,29291564,3AS,False,99,190
ENSG00000182944.17,chr22,29268100,29268349,TSS,True,126,310
ENSG00000182944.17,chr22,29273735,29273864,TSS,True,277,310
ENSG00000182944.17,chr22,29300121,29300999,PAS,True,76,309
ENSG00000182944.17,chr22,29288605,29289694,PAS,True,221,275
ENSG00000100227.17,chr22,42599793,42602769,ES,False,17,152
ENSG00000100227.17,chr22,42614798,42614964,TSS,True,29,172
ENSG00000180957.17,chr22,27919171,27919306,TSS,True,29,251
ENSG00000136811.16,chr9,128459657,128460549,3AS,False,12,105
ENSG00000136811.16,chr9,128500066,128501296,PAS,True,22,116
ENSG00000136811.16,chr9,128494509,128497424,PAS,True,101,114
ENSG00000136875.12,chr9,113275770,113276547,3AS,False,178,221
ENSG00000172785.18,chr9,175784,178815,ES,False,104,128
ENSG00000196305.17,chr9,92289426,92293610,5AS,False,179,254
ENSG00000196305.17,chr9,92210051,92210889,PAS,True,152,316
ENSG00000196305.17,chr9,92255606,92256800,PAS,True,226,290
ENSG00000196305.17,chr9,92293440,92293716,TSS,True,240,316
ENSG00000196305.17,chr9,92293610,92293745,TSS,True,132,316
ENSG00000106723.16,chr9,88387652,88388538,TSS,True,140,169
ENSG00000197579.7,chr9,32552433,32552624,TSS,False,105,284
ENSG00000197579.7,chr9,32550773,32551059,TSS,True,184,284
ENSG00000169155.9,chr9,126805132,126832486,ES,False,15,107
ENSG00000242616.3,chr9,111666946,111669271,3AS,True,72,204
ENSG00000242616.3,chr9,111669271,111670226,PAS,True,133,206
ENSG00000242616.3,chr9,111669268,111670227,PAS,False,73,206
ENSG00000198887.8,chr9,70286199,70286253,PAS,True,90,101
ENSG00000198887.8,chr9,70347612,70347634,PAS,True,88,102
ENSG00000198887.8,chr9,70282421,70283479,PAS,True,90,101
ENSG00000198887.8,chr9,70297965,70298746,PAS,True,79,101
ENSG00000165115.14,chr9,83877752,83880494,PAS,True,75,106
ENSG00000165115.14,chr9,83899284,83899804,PAS,True,68,105
ENSG00000165115.14,chr9,83885971,83887196,PAS,True,76,106
ENSG00000106853.19,chr9,111599602,111599841,TSS,True,72,163
ENSG00000106853.19,chr9,111599338,111599523,TSS,False,93,163
ENSG00000148248.13,chr9,133375921,133376131,TSS,True,25,123
ENSG00000099810.19,chr9,21861975,21865977,PAS,True,36,189
ENSG00000107290.13,chr9,132354916,132355028,TSS,False,28,150
ENSG00000155827.11,chr9,101533827,101533914,TSS,False,28,271
ENSG00000155827.11,chr9,101552382,101552708,PAS,True,59,263
ENSG00000155827.11,chr9,101562245,101566317,PAS,False,242,270
ENSG00000148303.16,chr9,133348206,133348246,TSS,False,320,1289
ENSG00000148303.16,chr9,133348240,133349042,TSS,True,981,1289
ENSG00000135070.14,chr9,86282377,86282574,TSS,True,20,110
ENSG00000135070.14,chr9,86281968,86282305,TSS,False,96,110
ENSG00000135047.14,chr9,87726253,87727593,5AS,False,59,141
ENSG00000135047.14,chr9,87726062,87726253,TSS,False,97,157
ENSG00000135047.14,chr9,87726068,87726308,TSS,True,125,157
ENSG00000135047.14,chr9,87725582,87726398,TSS,True,109,157
ENSG00000136891.13,chr9,100301774,100302304,PAS,True,19,172
ENSG00000106804.7,chr9,120989567,120989780,PAS,True,73,191
ENSG00000106804.7,chr9,121013308,121015261,PAS,True,151,188
ENSG00000106804.7,chr9,121050181,121050316,TSS,False,25,197
ENSG00000080608.9,chr9,2804147,2804463,PAS,True,43,101
ENSG00000080608.9,chr9,2810365,2810431,PAS,True,81,101
ENSG00000080608.9,chr9,2826112,2828778,PAS,True,87,101
ENSG00000122692.8,chr9,33044724,33047391,PAS,False,43,205
ENSG00000122692.8,chr9,33053724,33056239,PAS,True,165,204
ENSG00000119392.14,chr9,128504673,128504904,TSS,True,12,106
ENSG00000187210.13,chr9,76459305,76500915,ES,False,60,139
ENSG00000187210.13,chr9,76459155,76459305,TSS,True,17,159
ENSG00000119335.16,chr9,128683742,128684007,TSS,True,62,215
ENSG00000165283.15,chr9,35103049,35103184,TSS,True,22,191
ENSG00000165119.20,chr9,83969380,83970161,3AS,False,752,1969
ENSG00000165119.20,chr9,83973399,83974516,ES,False,372,1916
ENSG00000165119.20,chr9,83967990,83969440,PAS,True,768,1983
ENSG00000165119.20,chr9,83968082,83969380,PAS,True,1231,1983
ENSG00000165119.20,chr9,83980502,83980645,TSS,True,861,1989
ENSG00000165119.20,chr9,83980152,83980270,TSS,True,1288,1989
ENSG00000147853.16,chr9,4740936,4741337,TSS,True,23,215
ENSG00000095261.13,chr9,120816037,120818163,PAS,True,13,127
ENSG00000137055.14,chr9,26913947,26919309,ES,False,33,203
ENSG00000137055.14,chr9,26903372,26906076,PAS,True,38,216
ENSG00000119523.9,chr9,99218836,99221546,ES,True,114,130
ENSG00000165688.11,chr9,136416391,136416950,IR,False,141,163
ENSG00000165304.7,chr9,36573007,36581643,5AS,False,67,112
ENSG00000165304.7,chr9,36581739,36589535,ES,False,35,126
ENSG00000165304.7,chr9,36572839,36573007,TSS,True,56,158
ENSG00000165304.7,chr9,36572858,36573198,TSS,True,108,158
ENSG00000137074.18,chr9,32987731,32988082,IR,False,29,161
ENSG00000137074.18,chr9,32988124,32989758,3AS,False,60,163
ENSG00000137074.18,chr9,32989895,33001566,ES,True,104,120
ENSG00000137074.18,chr9,32989895,33001566,5AS,False,104,128
ENSG00000137074.18,chr9,32971423,32973652,PAS,True,22,194
ENSG00000137074.18,chr9,33001566,33001645,TSS,False,57,180
ENSG00000165219.21,chr9,125261959,125298889,ES,False,91,169
ENSG00000165219.21,chr9,125321499,125323797,5AS,False,32,163
ENSG00000165219.21,chr9,125341176,125342256,PAS,True,96,176
ENSG00000165219.21,chr9,125342218,125342257,PAS,True,96,176
ENSG00000010292.12,chr12,6493347,6494154,TSS,True,49,103
ENSG00000010292.12,chr12,6531326,6531968,PAS,True,26,103
ENSG00000010292.12,chr12,6530920,6531955,PAS,True,86,103
ENSG00000181852.17,chr12,56221902,56221999,TSS,True,152,175
ENSG00000181852.17,chr12,56221759,56221944,TSS,True,37,175
ENSG00000120798.16,chr12,95057878,95058309,IR,False,73,106
ENSG00000120798.16,chr12,95020229,95022403,PAS,True,21,114
ENSG00000135108.14,chr12,117158063,117165484,3AS,False,237,376
ENSG00000174718.11,chr12,31959371,31959491,TSS,True,108,566
ENSG00000075856.11,chr12,108522213,108523634,PAS,True,63,108
ENSG00000075856.11,chr12,108530208,108530310,PAS,True,47,103
ENSG00000182199.10,chr12,57229648,57229811,TSS,True,29,189
ENSG00000110871.14,chr12,120522363,120528939,ES,False,167,189
ENSG00000087470.17,chr12,32737161,32738263,ES,False,53,136
ENSG00000087470.17,chr12,32737161,32740063,ME,False,51,106
ENSG00000087470.17,chr12,32737161,32740063,ES,False,42,229
ENSG00000087470.17,chr12,32737942,32740063,ES,False,55,135
ENSG00000087470.17,chr12,32743353,32745552,PAS,True,43,265
ENSG00000111752.10,chr12,8932562,8933350,TSS,False,65,103
ENSG00000134291.11,chr12,47963633,47964208,5AS,False,180,214
ENSG00000134291.11,chr12,47966172,47966682,5AS,False,88,241
ENSG00000134291.11,chr12,47963562,47963633,TSS,False,73,253
ENSG00000134291.11,chr12,47963586,47963704,TSS,True,216,253
ENSG00000134291.11,chr12,47963587,47964423,TSS,True,218,253
ENSG00000139132.14,chr12,32399309,32399959,TSS,True,123,155
ENSG00000139132.14,chr12,32501872,32502338,TSS,True,57,155
ENSG00000139132.14,chr12,32633548,32633677,PAS,True,63,151
ENSG00000139132.14,chr12,32619697,32619870,PAS,True,122,150
ENSG00000211455.7,chr12,27244230,27244332,TSS,True,25,124
ENSG00000211455.7,chr12,27322327,27325961,PAS,True,28,114
ENSG00000122970.15,chr12,110124443,110127359,5AS,False,34,102
ENSG00000122970.15,chr12,110124306,110124443,TSS,True,74,109
ENSG00000122970.15,chr12,110124322,110124861,TSS,True,41,109
ENSG00000122970.15,chr12,110218043,110218795,PAS,True,78,108
ENSG00000122970.15,chr12,110143381,110143546,PAS,True,83,103
ENSG00000122970.15,chr12,110205594,110205671,PAS,True,88,108
ENSG00000122970.15,chr12,110180421,110181725,PAS,True,91,105
ENSG00000063046.17,chr12,53006278,53006496,TSS,True,167,1164
ENSG00000089009.15,chr12,112409586,112409634,TSS,True,366,1425
ENSG00000089009.15,chr12,112408419,112409605,TSS,True,1087,1418
ENSG00000111642.15,chr12,6570080,6570693,PAS,True,149,219
ENSG00000111642.15,chr12,6578842,6578917,PAS,True,101,212
ENSG00000111642.15,chr12,6593415,6593614,TSS,True,131,217
ENSG00000089157.15,chr12,120201082,120201113,TSS,True,241,1152
ENSG00000134294.13,chr12,46372508,46373583,TSS,True,68,103
ENSG00000134294.13,chr12,46363725,46363896,TSS,True,87,101
ENSG00000198431.15,chr12,104286893,104287109,TSS,True,54,125
ENSG00000198431.15,chr12,104339152,104339273,TSS,True,90,112
ENSG00000198431.15,chr12,104348352,104350287,PAS,True,15,115
ENSG00000089053.12,chr12,121328458,121330582,3AS,False,228,638
ENSG00000167553.15,chr12,49265010,49265184,TSS,True,19,155
ENSG00000135506.15,chr12,57715970,57716091,3AS,False,108,141
ENSG00000135506.15,chr12,57719182,57720405,ES,False,62,140
ENSG00000111790.13,chr12,26957743,26963341,ES,False,158,196
ENSG00000111790.13,chr12,26964595,26966648,PAS,True,23,220
ENSG00000172572.6,chr12,20368515,20370244,TSS,True,82,170
ENSG00000172572.6,chr12,20556656,20556710,TSS,True,142,167
ENSG00000172572.6,chr12,20680029,20685409,PAS,True,113,147
ENSG00000172572.6,chr12,20653946,20654205,PAS,True,75,145
ENSG00000172572.6,chr12,20556659,20559670,PAS,True,123,139
ENSG00000076248.10,chr12,109098146,109098638,TSS,True,27,238
ENSG00000090612.20,chr12,133181627,133181945,5AS,False,11,104
ENSG00000090612.20,chr12,133192003,133202143,ES,False,23,109
ENSG00000090612.20,chr12,133181496,133181686,TSS,True,29,121
ENSG00000171792.10,chr12,2877202,2877282,TSS,True,11,106
ENSG00000111641.11,chr12,6568206,6568353,TSS,True,18,107
ENSG00000152556.16,chr12,48135038,48137720,ES,False,39,276
ENSG00000152556.16,chr12,48119237,48119406,TSS,True,66,309
ENSG00000127314.17,chr12,68611043,68648698,5AS,False,238,350
ENSG00000127314.17,chr12,68610571,68611043,TSS,True,122,369
ENSG00000127314.17,chr12,68610868,68611052,TSS,True,257,369
ENSG00000184047.17,chr12,122218397,122225964,ME,False,19,168
ENSG00000151135.9,chr12,106955810,106956065,TSS,True,13,107
ENSG00000139697.13,chr12,123345567,123348028,3AS,False,117,200
ENSG00000139697.13,chr12,123350441,123364700,ES,True,190,212
ENSG00000139697.13,chr12,123320808,123320866,PAS,True,85,229
ENSG00000139697.13,chr12,123323675,123323831,PAS,True,170,229
ENSG00000183283.15,chr12,51238812,51238920,TSS,False,24,127
ENSG00000198040.10,chr12,133037275,133037545,TSS,True,61,134
ENSG00000198040.10,chr12,133037282,133037554,TSS,True,108,134
ENSG00000073614.12,chr12,388926,389635,TSS,True,55,273
ENSG00000150991.14,chr12,124914586,124914848,TSS,False,481,4022
ENSG00000058272.18,chr12,79805768,79807225,ES,False,32,104
ENSG00000058272.18,chr12,79797240,79797395,PAS,True,57,162
ENSG00000058272.18,chr12,79808493,79808577,PAS,True,135,161
ENSG00000058272.18,chr12,79934694,79935197,TSS,True,20,169
ENSG00000151239.13,chr12,43806220,43806611,TSS,True,32,221
ENSG00000111371.15,chr12,46268525,46269447,TSS,True,178,292
ENSG00000111371.15,chr12,46268864,46269414,TSS,True,192,292
ENSG00000139350.11,chr12,96907086,96907300,TSS,True,15,116
ENSG00000139350.11,chr12,96951948,96958078,PAS,True,24,115
ENSG00000134283.17,chr12,42325947,42326229,TSS,True,11,101
ENSG00000111445.13,chr12,118016892,118019071,ES,False,154,174
ENSG00000111445.13,chr12,118031181,118032239,PAS,True,24,178
ENSG00000082805.19,chr12,990396,990629,TSS,False,107,127
ENSG00000082805.19,chr12,991222,991322,TSS,True,103,127
ENSG00000082805.19,chr12,991206,991487,TSS,True,113,127
ENSG00000082805.19,chr12,991531,991619,TSS,True,103,127
ENSG00000082805.19,chr12,1181924,1182159,PAS,True,82,106
ENSG00000082805.19,chr12,1110191,1110350,PAS,True,84,102
ENSG00000082805.19,chr12,1236768,1236831,PAS,True,90,109
ENSG00000082805.19,chr12,1490092,1495932,PAS,True,95,112
ENSG00000082805.19,chr12,1141619,1142213,PAS,False,91,103
ENSG00000151743.10,chr12,31728970,31729100,TSS,True,14,109
ENSG00000110911.15,chr12,51010766,51026314,5AS,False,93,163
ENSG00000110911.15,chr12,50979085,50981803,PAS,True,133,198
ENSG00000110911.15,chr12,50985989,50988435,PAS,True,73,192
ENSG00000110911.15,chr12,51026314,51026417,TSS,True,105,199
ENSG00000110911.15,chr12,51026309,51026457,TSS,True,130,199
ENSG00000111653.19,chr12,6652767,6652935,3AS,False,112,212
ENSG00000111653.19,chr12,6652770,6652944,5AS,False,29,129
ENSG00000196387.9,chr12,133081072,133083102,ES,False,20,123
ENSG00000196387.9,chr12,133083561,133105509,ES,False,79,139
ENSG00000196387.9,chr12,133080357,133080551,TSS,False,127,148
ENSG00000196387.9,chr12,133080424,133081072,TSS,True,31,148
ENSG00000064102.14,chr12,26904264,26905536,PAS,True,106,158
ENSG00000064102.14,chr12,26913456,26913687,PAS,True,77,158
ENSG00000050426.15,chr12,51049185,51056349,ES,False,54,187
ENSG00000050426.15,chr12,51056502,51059360,ES,False,21,192
ENSG00000187109.13,chr12,76047718,76048392,IR,False,118,284
ENSG00000187109.13,chr12,76047718,76048420,5AS,False,79,198
ENSG00000187109.13,chr12,76047718,76048420,IR,False,79,245
ENSG00000187109.13,chr12,76044892,76048464,PAS,True,334,499
ENSG00000187109.13,chr12,76044744,76047718,PAS,True,301,499
ENSG00000187109.13,chr12,76046179,76049785,PAS,True,443,499
ENSG00000123349.13,chr12,53295941,53296243,IR,False,133,156
ENSG00000111602.11,chr12,56416355,56417786,PAS,True,51,114
ENSG00000111602.11,chr12,56428235,56428405,PAS,True,62,100
ENSG00000111602.11,chr12,56449309,56449457,TSS,True,25,116
ENSG00000139163.15,chr12,22625137,22625586,TSS,True,27,115
ENSG00000166598.14,chr12,103930362,103930564,TSS,True,231,1534
ENSG00000166598.14,chr12,103947632,103948555,PAS,True,741,1533
ENSG00000166598.14,chr12,103938339,103938459,PAS,True,1005,1341
ENSG00000166598.14,chr12,103947310,103949346,PAS,True,1374,1531
ENSG00000135404.11,chr12,55728952,55729106,TSS,False,19,131
ENSG00000110880.10,chr12,108731428,108731991,TSS,True,28,147
ENSG00000070961.15,chr12,89588048,89591295,PAS,True,203,230
ENSG00000070961.15,chr12,89630503,89630645,PAS,True,37,207
ENSG00000070961.15,chr12,89709218,89709634,TSS,False,138,239
ENSG00000070961.15,chr12,89708595,89709328,TSS,False,140,239
ENSG00000118971.7,chr12,4273756,4274235,TSS,False,182,213
ENSG00000136051.14,chr12,105120597,105121100,3AS,False,138,168
ENSG00000136051.14,chr12,105164640,105169134,PAS,True,156,181
ENSG00000136051.14,chr12,105162748,105162809,PAS,True,61,181
ENSG00000175203.15,chr12,57535845,57546027,5AS,True,515,576
ENSG00000139055.6,chr12,14928944,14929127,TSS,False,62,113
ENSG00000139055.6,chr12,14938414,14938524,TSS,False,54,113
ENSG00000050405.13,chr12,50192561,50195829,3AS,False,103,120
ENSG00000050405.13,chr12,50283419,50283558,TSS,True,33,129
ENSG00000050405.13,chr12,50222020,50222680,TSS,True,102,125
ENSG00000075415.12,chr12,98593740,98593978,IR,False,137,328
ENSG00000028203.17,chr12,95252071,95257149,ES,False,239,374
ENSG00000028203.17,chr12,95266632,95270050,3AS,False,242,412
ENSG00000028203.17,chr12,95217424,95217886,TSS,True,65,448
ENSG00000111581.9,chr12,68734707,68734827,PAS,True,156,304
ENSG00000111581.9,chr12,68742354,68743974,PAS,True,209,304
ENSG00000111581.9,chr12,68713729,68715495,PAS,True,261,302
ENSG00000198015.12,chr12,93467554,93469191,3AS,False,258,405
ENSG00000004700.15,chr12,21501215,21501412,IR,False,41,144
ENSG00000004700.15,chr12,21501215,21501462,IR,False,13,116
ENSG00000004700.15,chr12,21501372,21501462,IR,False,25,128
ENSG00000004700.15,chr12,21501169,21501643,TSS,True,121,221
ENSG00000004700.15,chr12,21501412,21501657,TSS,True,171,221
ENSG00000004700.15,chr12,21501462,21501664,TSS,True,174,221
ENSG00000139620.12,chr12,48655060,48660467,5AS,False,35,206
ENSG00000139620.12,chr12,48660619,48667692,ES,False,181,203
ENSG00000139620.12,chr12,48671962,48679654,ES,False,26,202
ENSG00000127328.21,chr12,69738821,69739031,TSS,True,27,127
ENSG00000174456.13,chr12,110042459,110048362,ES,False,92,108
ENSG00000136044.11,chr12,105176082,105177225,ES,True,63,383
ENSG00000136044.11,chr12,105173294,105174448,PAS,True,72,453
ENSG00000136044.11,chr12,105235958,105236249,TSS,True,47,458
ENSG00000171681.12,chr12,14365492,14365827,TSS,True,61,123
ENSG00000171681.12,chr12,14384627,14385400,TSS,True,92,123
ENSG00000171681.12,chr12,14460494,14461133,PAS,True,66,106
ENSG00000171681.12,chr12,14475889,14476435,PAS,True,84,109
ENSG00000174243.9,chr12,48852083,48852182,TSS,True,42,126
ENSG00000139116.18,chr12,39293176,39294517,PAS,True,86,100
ENSG00000139116.18,chr12,39442926,39443689,TSS,True,19,101
ENSG00000166986.14,chr12,57512103,57512235,IR,False,454,557
ENSG00000166986.14,chr12,57512103,57512302,IR,False,13,116
ENSG00000166986.14,chr12,57512353,57512750,IR,True,480,542
ENSG00000166986.14,chr12,57516434,57516660,PAS,True,79,608
ENSG00000139146.13,chr12,31298224,31326023,ES,True,656,735
ENSG00000139146.13,chr12,31326023,31326200,TSS,True,188,927
ENSG00000052126.14,chr12,19129475,19129888,TSS,True,44,144
ENSG00000052126.14,chr12,19375530,19376402,PAS,True,120,144
ENSG00000052126.14,chr12,19274515,19275083,PAS,True,41,110
ENSG00000111144.9,chr12,96003064,96006313,ES,False,190,582
ENSG00000151498.11,chr11,134256648,134258514,ES,False,32,139
ENSG00000151498.11,chr11,134259745,134261043,IR,False,126,142
ENSG00000173933.20,chr11,66640123,66646026,ES,False,33,225
ENSG00000173933.20,chr11,66638657,66638752,TSS,True,45,313
ENSG00000173933.20,chr11,66646026,66646471,PAS,True,80,305
ENSG00000173933.20,chr11,66639699,66641189,PAS,True,246,300
ENSG00000256269.8,chr11,119084859,119085066,TSS,True,13,108
ENSG00000197702.12,chr11,12377495,12377783,TSS,True,34,106
ENSG00000197702.12,chr11,12473213,12473834,TSS,True,95,106
ENSG00000152558.14,chr11,102452523,102453013,TSS,True,36,216
ENSG00000149179.13,chr11,46936851,47052387,ES,False,12,108
ENSG00000149179.13,chr11,47161463,47162247,PAS,True,50,112
ENSG00000149179.13,chr11,47137644,47139012,PAS,True,97,110
ENSG00000166387.12,chr11,7604878,7606015,TSS,False,54,139
ENSG00000166387.12,chr11,7573904,7574022,TSS,False,118,145
ENSG00000166387.12,chr11,7653023,7653767,PAS,True,19,144
ENSG00000076053.10,chr11,114402915,114405708,3AS,False,87,248
ENSG00000166037.10,chr11,95817903,95818826,5AS,True,126,153
ENSG00000166037.10,chr11,95818826,95820595,PAS,False,123,163
ENSG00000166037.10,chr11,95831025,95832698,PAS,True,85,171
ENSG00000166037.10,chr11,95821870,95824096,PAS,True,131,163
ENSG00000005801.17,chr11,3360565,3370974,ES,False,179,267
ENSG00000005801.17,chr11,3371703,3379037,ES,False,188,282
ENSG00000137713.15,chr11,111766247,111766706,TSS,True,29,217
ENSG00000178105.10,chr11,108841314,108843406,PAS,False,111,157
ENSG00000178105.10,chr11,108722996,108728059,PAS,True,121,157
ENSG00000178105.10,chr11,108838445,108838526,PAS,True,96,157
ENSG00000255717.6,chr11,62851978,62852681,PAS,True,18,100
ENSG00000255717.6,chr11,62855864,62855922,TSS,False,43,107
ENSG00000255717.6,chr11,62855423,62855886,TSS,True,88,107
ENSG00000137500.9,chr11,83280260,83285872,5AS,False,51,134
ENSG00000137500.9,chr11,83285552,83286398,TSS,True,91,147
ENSG00000137500.9,chr11,83285872,83286361,TSS,True,93,147
ENSG00000137500.9,chr11,83285126,83286367,TSS,True,121,147
ENSG00000110619.17,chr11,3001248,3001969,5AS,False,162,215
ENSG00000110619.17,chr11,3040984,3042164,3AS,False,254,316
ENSG00000110619.17,chr11,3042256,3057342,ES,False,272,313
ENSG00000110619.17,chr11,3000919,3001248,PAS,True,116,333
ENSG00000110619.17,chr11,3005361,3005433,PAS,True,230,333
ENSG00000052841.14,chr11,43358871,43359113,TSS,True,33,155
ENSG00000052841.14,chr11,43493772,43494931,PAS,True,60,155
ENSG00000052841.14,chr11,43445930,43447227,PAS,True,134,150
ENSG00000052841.14,chr11,43444055,43447212,PAS,True,133,150
ENSG00000129084.17,chr11,14513887,14514402,IR,False,411,500
ENSG00000129084.17,chr11,14519041,14520296,5AS,False,404,494
ENSG00000129084.17,chr11,14520296,14520407,TSS,False,107,511
ENSG00000129084.17,chr11,14519904,14520402,TSS,True,456,511
ENSG00000166900.16,chr11,59755064,59755635,TSS,True,42,100
ENSG00000173914.11,chr11,66665578,66668614,3AS,True,80,100
ENSG00000173914.11,chr11,66664997,66665578,PAS,True,140,222
ENSG00000173914.11,chr11,66664997,66669291,PAS,False,167,215
ENSG00000173914.11,chr11,66675208,66677091,PAS,True,149,213
ENSG00000166483.10,chr11,9573689,9576093,TSS,True,38,100
ENSG00000110768.11,chr11,18365782,18367881,PAS,True,25,161
ENSG00000085063.15,chr11,33722463,33736381,ES,False,367,444
ENSG00000085063.15,chr11,33736381,33736477,TSS,True,135,579
ENSG00000085063.15,chr11,33722378,33722467,TSS,True,507,579
ENSG00000205339.9,chr11,9445096,9448136,PAS,False,75,101
ENSG00000205339.9,chr11,9429030,9429187,PAS,True,86,101
ENSG00000205339.9,chr11,9425145,9425896,PAS,True,80,101
ENSG00000205339.9,chr11,9442080,9442197,PAS,True,76,101
ENSG00000166478.9,chr11,9474024,9474552,3AS,False,57,153
ENSG00000110002.15,chr11,124115482,124117496,ES,False,90,101
ENSG00000110002.15,chr11,124115407,124115482,TSS,False,14,117
ENSG00000110002.15,chr11,124145865,124146909,PAS,True,26,115
ENSG00000110002.15,chr11,124124236,124125226,PAS,True,90,112
