gene,chr,start,end,splice_type,novel,H9_ENCFF292UIE_in_cov,H9_ENCFF292UIE_total_cov
ENSG00000141027.20,chr17,16126116,16126206,PAS,False,398,631
ENSG00000141027.20,chr17,16126101,16126209,PAS,True,454,631
ENSG00000141027.20,chr17,16136201,16137412,PAS,True,567,631
ENSG00000141027.20,chr17,16149449,16149517,PAS,True,538,631
ENSG00000196704.11,chr17,68248086,68248639,5AS,False,79,107
ENSG00000196704.11,chr17,68248086,68248639,IR,False,79,127
ENSG00000196704.11,chr17,68248086,68248643,3AS,True,38,119
ENSG00000196704.11,chr17,68248086,68248643,IR,True,38,114
ENSG00000196704.11,chr17,68248023,68248705,TSS,True,195,242
ENSG00000196704.11,chr17,68247999,68248058,TSS,True,212,242
ENSG00000196704.11,chr17,68248015,68248086,TSS,False,123,242
ENSG00000196704.11,chr17,68248074,68248110,TSS,True,213,242
ENSG00000161513.11,chr17,74866876,74872035,3AS,False,483,570
ENSG00000029725.16,chr17,5378176,5378221,PAS,True,85,104
ENSG00000029725.16,chr17,5383121,5386340,PAS,True,66,105
ENSG00000029725.16,chr17,5338018,5339154,PAS,True,88,100
ENSG00000188554.13,chr17,43190776,43193093,ES,True,20,187
ENSG00000188554.13,chr17,43171179,43171302,TSS,True,36,201
ENSG00000188554.13,chr17,43209900,43211688,PAS,True,22,199
ENSG00000068120.14,chr17,42562219,42562611,IR,False,68,455
ENSG00000068120.14,chr17,42562219,42562932,3AS,False,28,125
ENSG00000068120.14,chr17,42562098,42563322,TSS,False,177,541
ENSG00000068120.14,chr17,42562069,42562219,TSS,True,414,541
ENSG00000108312.14,chr17,44210473,44211038,ES,True,17,168
ENSG00000108312.14,chr17,44212006,44212818,ES,False,78,172
ENSG00000108312.14,chr17,44205032,44207367,PAS,True,37,199
ENSG00000108312.14,chr17,44221200,44222092,TSS,False,172,210
ENSG00000108312.14,chr17,44220739,44221037,TSS,True,133,210
ENSG00000108312.14,chr17,44219444,44219904,TSS,True,179,210
ENSG00000169710.8,chr17,82080691,82080923,TSS,False,131,148
ENSG00000108821.13,chr17,50201410,50201696,TSS,False,64,477
ENSG00000108423.14,chr17,59886230,59892696,ES,False,21,125
ENSG00000141524.15,chr17,78119392,78121012,ES,False,38,197
ENSG00000141524.15,chr17,78126906,78128658,5AS,False,47,145
ENSG00000141524.15,chr17,78128658,78128827,TSS,True,158,208
ENSG00000141524.15,chr17,78128611,78129067,TSS,True,97,208
ENSG00000277161.1,chr17,36535054,36537093,5AS,False,31,141
ENSG00000277161.1,chr17,36535592,36537093,5AS,False,89,111
ENSG00000277161.1,chr17,36534990,36535592,TSS,False,59,148
ENSG00000277161.1,chr17,36534999,36535054,TSS,False,116,148
ENSG00000277161.1,chr17,36535027,36535601,TSS,True,126,148
ENSG00000125457.14,chr17,75268192,75270113,ES,False,78,116
ENSG00000125457.14,chr17,75271143,75271240,TSS,False,14,118
ENSG00000182473.21,chr17,76089320,76094413,ES,False,446,561
ENSG00000182473.21,chr17,76080980,76083750,PAS,True,184,752
ENSG00000182473.21,chr17,76092291,76094581,PAS,True,570,730
ENSG00000182473.21,chr17,76103632,76103791,TSS,True,94,804
ENSG00000183010.16,chr17,81933376,81934925,ME,False,238,296
ENSG00000183010.16,chr17,81933376,81934652,ES,False,236,1086
ENSG00000183010.16,chr17,81936861,81937261,5AS,False,501,660
ENSG00000183010.16,chr17,81937261,81937328,TSS,True,742,1243
ENSG00000183010.16,chr17,81936747,81937288,TSS,True,781,1243
ENSG00000183010.16,chr17,81937241,81937269,TSS,True,1077,1243
ENSG00000197417.7,chr17,3636051,3636307,TSS,False,21,208
ENSG00000008838.19,chr17,40020350,40021954,3AS,True,80,514
ENSG00000008838.19,chr17,40033456,40035116,ES,False,412,478
ENSG00000008838.19,chr17,40053635,40054360,3AS,False,163,443
ENSG00000008838.19,chr17,40054360,40054708,TSS,True,89,532
ENSG00000108671.10,chr17,32480752,32483319,PAS,True,210,2078
ENSG00000167900.11,chr17,78174950,78175049,IR,False,1185,1359
ENSG00000167900.11,chr17,78172781,78174950,PAS,True,210,1396
ENSG00000167900.11,chr17,78174090,78175169,PAS,True,1223,1394
ENSG00000186566.12,chr17,44395276,44401453,PAS,True,25,135
ENSG00000186566.12,chr17,44473152,44474903,PAS,True,112,129
ENSG00000186566.12,chr17,44503325,44503628,TSS,True,29,157
ENSG00000133027.17,chr17,17591530,17591709,TSS,True,14,114
ENSG00000131473.16,chr17,41893174,41897748,ES,False,574,1681
ENSG00000131473.16,chr17,41913896,41918879,3AS,False,1130,1593
ENSG00000131473.16,chr17,41918879,41919084,TSS,True,184,1785
ENSG00000278053.4,chr17,37609738,37614353,PAS,True,233,401
ENSG00000278053.4,chr17,37619767,37619839,PAS,False,184,401
ENSG00000004975.11,chr17,7229943,7230057,5AS,False,82,259
ENSG00000157637.12,chr17,81244811,81246673,PAS,True,27,121
ENSG00000157637.12,chr17,81294822,81295503,TSS,True,16,127
ENSG00000278259.4,chr17,36496406,36499074,ES,True,22,113
ENSG00000278259.4,chr17,36495115,36496406,PAS,True,123,237
ENSG00000278259.4,chr17,36513085,36513505,PAS,True,114,218
ENSG00000278259.4,chr17,36534760,36535455,TSS,True,34,237
ENSG00000171953.15,chr17,18018020,18018686,PAS,True,13,115
ENSG00000178927.17,chr17,82449292,82450699,ES,False,451,529
ENSG00000178927.17,chr17,82449292,82450699,5AS,False,451,506
ENSG00000178927.17,chr17,82449480,82450699,IR,True,64,101
ENSG00000178927.17,chr17,82450699,82450791,TSS,False,92,628
ENSG00000161533.11,chr17,75957566,75978533,ME,False,39,100
ENSG00000161533.11,chr17,75941506,75946795,PAS,True,17,114
ENSG00000161542.16,chr17,76310483,76311700,PAS,True,44,363
ENSG00000161542.16,chr17,76310788,76313016,PAS,True,324,363
ENSG00000266402.3,chr17,64145969,64146000,TSS,True,61,107
ENSG00000266402.3,chr17,64145969,64145995,TSS,False,65,107
ENSG00000266402.3,chr17,64146229,64146309,PAS,True,17,107
ENSG00000141499.16,chr17,7688561,7688647,IR,False,167,244
ENSG00000141499.16,chr17,7686679,7688561,TSS,True,78,245
ENSG00000141499.16,chr17,7688304,7689079,TSS,True,168,244
ENSG00000073536.17,chr17,35141978,35142303,TSS,True,222,283
ENSG00000073536.17,chr17,35142257,35142311,TSS,False,70,283
ENSG00000136485.14,chr17,63588999,63592404,PAS,True,118,350
ENSG00000136485.14,chr17,63594202,63594279,PAS,True,261,365
ENSG00000072849.10,chr17,5486068,5486203,TSS,True,32,282
ENSG00000131242.17,chr17,31487983,31488272,TSS,False,22,109
ENSG00000141219.15,chr17,73236995,73242895,ES,False,46,209
ENSG00000141219.15,chr17,73232384,73232489,TSS,True,187,228
ENSG00000141219.15,chr17,73232659,73232717,TSS,True,79,228
ENSG00000141219.15,chr17,73232709,73233325,TSS,True,203,228
ENSG00000141219.15,chr17,73247240,73248954,PAS,True,82,228
ENSG00000141219.15,chr17,73245167,73245346,PAS,True,165,228
ENSG00000141198.15,chr17,54961234,54964677,PAS,True,104,242
ENSG00000141198.15,chr17,54937108,54938515,PAS,True,162,240
ENSG00000214087.8,chr17,81682149,81683012,3AS,False,92,111
ENSG00000214087.8,chr17,81682149,81683012,IR,False,92,129
ENSG00000214087.8,chr17,81683692,81683799,TSS,False,26,171
ENSG00000171928.13,chr17,18781147,18781305,TSS,True,35,190
ENSG00000171928.13,chr17,18789349,18789435,TSS,False,170,190
ENSG00000109107.13,chr17,28575544,28576800,ES,False,195,234
ENSG00000033627.16,chr17,42458847,42458963,TSS,True,26,103
ENSG00000141376.22,chr17,60677781,60677914,TSS,True,114,153
ENSG00000141376.22,chr17,60886978,60887211,TSS,True,81,150
ENSG00000141376.22,chr17,60886985,60887126,TSS,False,127,150
ENSG00000141376.22,chr17,61368319,61392838,PAS,True,24,153
ENSG00000175832.12,chr17,43530181,43533186,ES,True,35,288
ENSG00000175832.12,chr17,43545557,43545777,TSS,True,265,365
ENSG00000175832.12,chr17,43545273,43545606,TSS,True,198,365
ENSG00000125445.10,chr17,75261983,75262496,IR,False,591,688
ENSG00000125445.10,chr17,75261675,75261983,TSS,True,103,700
ENSG00000125445.10,chr17,75261640,75262688,TSS,True,612,700
ENSG00000169689.14,chr17,82019219,82019292,IR,False,81,111
ENSG00000169689.14,chr17,82019381,82019857,ES,False,60,113
ENSG00000169689.14,chr17,82019909,82022825,5AS,False,95,113
ENSG00000169689.14,chr17,82018701,82019219,PAS,True,31,121
ENSG00000169689.14,chr17,82018702,82019381,PAS,True,93,121
ENSG00000169689.14,chr17,82022825,82022915,TSS,True,29,126
ENSG00000169689.14,chr17,82022638,82022884,TSS,True,108,126
ENSG00000182963.9,chr17,44830637,44830851,TSS,True,43,113
ENSG00000132522.15,chr17,7313721,7313905,IR,False,139,163
ENSG00000132522.15,chr17,7314597,7314958,IR,False,133,160
ENSG00000132522.15,chr17,7315119,7315330,5AS,True,125,142
ENSG00000132522.15,chr17,7315330,7316258,TSS,False,41,167
ENSG00000132522.15,chr17,7314958,7315365,TSS,True,150,167
ENSG00000132522.15,chr17,7315251,7315369,TSS,True,150,167
ENSG00000040531.14,chr17,3640267,3654997,ES,True,31,136
ENSG00000040531.14,chr17,3647522,3654997,ES,False,13,103
ENSG00000040531.14,chr17,3636446,3636831,TSS,True,23,147
ENSG00000040531.14,chr17,3660235,3663111,PAS,True,15,147
ENSG00000125458.6,chr17,75130867,75131044,5AS,False,115,136
ENSG00000125458.6,chr17,75130867,75131044,IR,True,115,155
ENSG00000125458.6,chr17,75131105,75131180,IR,False,110,183
ENSG00000125458.6,chr17,75131281,75131533,IR,False,136,183
ENSG00000125458.6,chr17,75130224,75130642,PAS,True,22,193
ENSG00000125458.6,chr17,75131533,75131807,TSS,True,84,220
ENSG00000125458.6,chr17,75130752,75131757,TSS,True,196,220
ENSG00000141367.11,chr17,59619349,59620173,TSS,True,73,244
ENSG00000141367.11,chr17,59693727,59695115,PAS,True,105,242
ENSG00000136448.11,chr17,45061298,45061460,TSS,True,46,164
ENSG00000136448.11,chr17,45105618,45109016,PAS,True,23,135
ENSG00000239672.7,chr17,51153662,51155650,ES,False,198,229
ENSG00000030582.17,chr17,44345096,44345334,TSS,True,203,1784
ENSG00000108946.14,chr17,68512399,68512548,TSS,True,205,1057
ENSG00000181481.13,chr17,30984760,30997241,ES,False,29,106
ENSG00000006042.11,chr17,32928237,32931474,ES,False,67,514
ENSG00000131470.14,chr17,42573623,42574195,5AS,False,34,171
ENSG00000131470.14,chr17,42577561,42577652,IR,False,111,179
ENSG00000131470.14,chr17,42577460,42577720,TSS,True,118,188
ENSG00000131470.14,chr17,42577652,42577730,TSS,True,77,188
ENSG00000010244.18,chr17,32365487,32367771,ES,False,421,1071
ENSG00000141696.12,chr17,41811453,41812635,TSS,True,18,131
ENSG00000109103.11,chr17,28547409,28547676,IR,False,94,113
ENSG00000109103.11,chr17,28546552,28547409,PAS,True,23,122
ENSG00000109103.11,chr17,28546706,28547849,PAS,True,100,118
ENSG00000109065.11,chr17,74771834,74772217,IR,False,20,117
ENSG00000109065.11,chr17,74772039,74772217,IR,False,24,121
ENSG00000109065.11,chr17,74772051,74772217,IR,True,19,116
ENSG00000109065.11,chr17,74772054,74772217,IR,False,321,418
ENSG00000109065.11,chr17,74773685,74775621,3AS,False,291,462
ENSG00000109065.11,chr17,74776266,74776381,TSS,True,73,487
ENSG00000266173.6,chr17,63702815,63703751,PAS,True,39,111
ENSG00000266173.6,chr17,63702829,63704582,PAS,True,96,110
ENSG00000266173.6,chr17,63702834,63704908,PAS,True,97,110
ENSG00000170836.11,chr17,60662994,60666274,PAS,True,16,153
ENSG00000141349.8,chr17,44075679,44076344,PAS,True,13,127
ENSG00000278311.4,chr17,36578186,36579244,5AS,True,114,254
ENSG00000278311.4,chr17,36544905,36545097,TSS,True,123,272
ENSG00000278311.4,chr17,36545485,36545817,TSS,True,156,272
ENSG00000278311.4,chr17,36586049,36586175,PAS,True,197,272
ENSG00000278311.4,chr17,36581343,36581465,PAS,True,105,272
ENSG00000173894.10,chr17,79778132,79778307,TSS,True,81,359
ENSG00000037042.8,chr17,42659552,42659833,IR,False,105,122
ENSG00000037042.8,chr17,42665562,42665677,IR,True,92,103
ENSG00000037042.8,chr17,42659242,42659552,TSS,False,28,133
ENSG00000037042.8,chr17,42659226,42659946,TSS,True,112,133
ENSG00000037042.8,chr17,42666602,42667007,PAS,True,31,133
ENSG00000037042.8,chr17,42660638,42662603,PAS,True,108,130
ENSG00000108298.11,chr17,39200112,39200349,TSS,False,131,998
ENSG00000168256.17,chr17,42022472,42022564,IR,False,21,172
ENSG00000141522.11,chr17,81871297,81871406,TSS,True,31,301
ENSG00000108883.12,chr17,44899368,44899648,TSS,True,169,1445
ENSG00000068097.14,chr17,60041287,60044134,PAS,True,18,100
ENSG00000068097.14,chr17,60078695,60078944,TSS,True,11,100
ENSG00000176208.8,chr17,30837205,30837239,PAS,True,173,214
ENSG00000176208.8,chr17,30834147,30835500,PAS,True,62,213
ENSG00000007168.12,chr17,2593611,2594006,TSS,True,42,239
ENSG00000168591.15,chr17,44190886,44191105,IR,False,16,151
ENSG00000168591.15,chr17,44186948,44187109,TSS,True,121,173
ENSG00000168591.15,chr17,44186963,44187743,TSS,True,97,173
ENSG00000168591.15,chr17,44190500,44191930,PAS,True,39,170
ENSG00000011143.16,chr17,58206380,58206464,IR,True,148,166
ENSG00000011143.16,chr17,58206380,58207084,ES,True,17,155
ENSG00000011143.16,chr17,58206547,58207084,IR,True,141,164
ENSG00000011143.16,chr17,58205435,58206170,PAS,True,33,233
ENSG00000126858.17,chr17,32224615,32225775,PAS,True,14,103
ENSG00000121073.14,chr17,49706309,49706964,3AS,False,44,170
ENSG00000133193.12,chr17,73209768,73227164,ES,False,228,321
ENSG00000168610.14,chr17,42316851,42317181,3AS,False,68,661
ENSG00000168610.14,chr17,42317224,42322284,5AS,False,127,662
ENSG00000168610.14,chr17,42348517,42388278,3AS,False,207,665
ENSG00000168610.14,chr17,42348520,42388278,3AS,False,143,458
ENSG00000141698.16,chr17,41835957,41836078,IR,False,40,117
ENSG00000141698.16,chr17,41835957,41836181,5AS,False,80,120
ENSG00000141698.16,chr17,41835957,41836181,IR,False,80,157
ENSG00000141698.16,chr17,41836181,41836265,TSS,True,119,200
ENSG00000141698.16,chr17,41835858,41836253,TSS,True,123,200
ENSG00000141698.16,chr17,41836078,41836270,TSS,True,160,200
ENSG00000087111.20,chr17,28571188,28571462,IR,False,108,139
ENSG00000087111.20,chr17,28571462,28571566,TSS,True,112,225
ENSG00000087111.20,chr17,28558475,28558568,TSS,True,176,225
ENSG00000087111.20,chr17,28571048,28571566,TSS,True,193,225
ENSG00000233098.8,chr17,20895707,20897831,PAS,True,75,105
ENSG00000233098.8,chr17,20902217,20904723,PAS,False,82,106
ENSG00000233098.8,chr17,20929430,20930049,PAS,True,62,109
ENSG00000005156.11,chr17,34980445,34980622,TSS,True,45,392
ENSG00000002919.14,chr17,48107838,48112030,ES,False,133,149
ENSG00000002919.14,chr17,48112085,48112573,5AS,False,147,184
ENSG00000002919.14,chr17,48107518,48107596,TSS,True,172,194
ENSG00000002919.14,chr17,48107548,48107838,TSS,True,43,194
ENSG00000169738.7,chr17,82036643,82036720,IR,False,102,118
ENSG00000169738.7,chr17,82036858,82037736,TSS,True,88,119
ENSG00000169738.7,chr17,82037630,82037706,TSS,True,34,119
ENSG00000178921.13,chr17,8268856,8268953,IR,False,137,153
ENSG00000178921.13,chr17,8248442,8249339,TSS,False,51,178
ENSG00000178921.13,chr17,8268953,8271969,PAS,True,24,161
ENSG00000178921.13,chr17,8268532,8271969,PAS,True,142,158
ENSG00000171302.16,chr17,78991715,78992140,PAS,False,91,102
ENSG00000258890.6,chr17,64514358,64519320,ES,False,39,230
ENSG00000258890.6,chr17,64537602,64537951,PAS,True,92,249
ENSG00000132581.9,chr17,28649276,28655286,ES,False,84,100
ENSG00000132581.9,chr17,28661725,28662182,TSS,True,13,108
ENSG00000132581.9,chr17,28662045,28662197,TSS,True,95,108
ENSG00000082641.15,chr17,48048248,48048462,TSS,True,61,115
ENSG00000082641.15,chr17,48054667,48054761,TSS,False,100,114
ENSG00000256525.6,chr17,64476894,64477988,PAS,True,18,118
ENSG00000002834.17,chr17,38869798,38870258,TSS,True,78,636
ENSG00000091640.7,chr17,4959223,4959643,PAS,True,31,276
ENSG00000091640.7,chr17,4967719,4968723,TSS,True,32,276
ENSG00000087995.15,chr17,62424012,62424218,IR,False,291,360
ENSG00000087995.15,chr17,62423881,62424310,TSS,True,291,360
ENSG00000087995.15,chr17,62423884,62424012,TSS,True,69,360
ENSG00000108465.14,chr17,47974448,47975158,IR,False,534,649
ENSG00000108465.14,chr17,47975653,47975868,IR,False,516,648
ENSG00000125691.12,chr17,38853697,38853764,TSS,True,16,147
ENSG00000172992.11,chr17,45051552,45051661,TSS,True,64,190
ENSG00000172992.11,chr17,45060887,45061093,TSS,True,143,190
ENSG00000108788.11,chr17,42567166,42567618,5AS,False,205,262
ENSG00000108788.11,chr17,42567655,42568836,ES,False,48,263
ENSG00000108788.11,chr17,42567040,42567166,TSS,True,72,277
ENSG00000108788.11,chr17,42567087,42567328,TSS,True,213,277
ENSG00000186532.11,chr17,1779536,1781439,PAS,False,24,146
ENSG00000186532.11,chr17,1779534,1783158,PAS,True,129,146
ENSG00000129219.13,chr17,4819549,4821792,5AS,False,48,317
ENSG00000141736.13,chr17,39699921,39700311,TSS,True,166,222
ENSG00000141736.13,chr17,39715743,39715939,TSS,True,192,220
ENSG00000136504.11,chr17,49805445,49811475,ES,False,73,195
ENSG00000136504.11,chr17,49788647,49788849,TSS,True,107,293
ENSG00000136504.11,chr17,49814982,49815074,TSS,True,217,291
ENSG00000109113.19,chr17,28715122,28715218,5AS,False,269,1613
ENSG00000109113.19,chr17,28715901,28717212,ME,False,66,205
ENSG00000109113.19,chr17,28716058,28717212,3AS,False,101,227
ENSG00000109113.19,chr17,28716061,28717212,ES,True,38,125
ENSG00000109113.19,chr17,28717291,28718121,3AS,False,94,271
ENSG00000109113.19,chr17,28717212,28718419,TSS,True,435,1662
ENSG00000109113.19,chr17,28718121,28718530,TSS,True,1385,1662
ENSG00000072778.19,chr17,7222081,7222176,IR,False,221,322
ENSG00000072778.19,chr17,7222302,7222666,IR,True,251,319
ENSG00000072778.19,chr17,7222865,7223132,IR,False,214,332
ENSG00000072778.19,chr17,7219853,7220046,TSS,True,63,341
ENSG00000092931.11,chr17,76737538,76738448,TSS,True,97,108
ENSG00000092931.11,chr17,76737485,76737883,TSS,False,94,108
ENSG00000092931.11,chr17,76737677,76738165,TSS,True,65,108
ENSG00000179604.9,chr17,73311892,73312008,TSS,True,31,224
ENSG00000108349.16,chr17,40169662,40170451,3AS,True,34,208
ENSG00000108349.16,chr17,40140296,40140779,TSS,True,37,236
ENSG00000108349.16,chr17,40170451,40172181,PAS,True,195,231
ENSG00000108349.16,chr17,40170446,40172179,PAS,True,55,231
ENSG00000161547.16,chr17,76735158,76735771,IR,False,43,119
ENSG00000161547.16,chr17,76735875,76736153,IR,False,36,120
ENSG00000170291.14,chr17,7258683,7258825,IR,False,149,219
ENSG00000170291.14,chr17,7258926,7259570,IR,False,153,213
ENSG00000170291.14,chr17,7252212,7252596,TSS,True,47,238
ENSG00000170291.14,chr17,7259570,7259940,PAS,True,77,237
ENSG00000170291.14,chr17,7258587,7259937,PAS,True,177,237
ENSG00000141738.13,chr17,39742716,39742897,IR,False,127,158
ENSG00000141738.13,chr17,39744207,39744885,ES,True,16,154
ENSG00000141738.13,chr17,39745788,39746108,ES,False,81,155
ENSG00000141738.13,chr17,39737762,39738133,TSS,True,130,165
ENSG00000141738.13,chr17,39737960,39738392,TSS,True,55,165
ENSG00000266967.6,chr17,42964401,42964521,TSS,True,28,205
ENSG00000109046.14,chr17,27306882,27307743,IR,True,131,146
ENSG00000109046.14,chr17,27306882,27309099,3AS,False,532,610
ENSG00000109046.14,chr17,27307919,27309099,IR,True,36,124
ENSG00000073969.18,chr17,46755801,46757464,PAS,True,19,168
ENSG00000008283.15,chr17,63446244,63446357,TSS,True,51,119
ENSG00000008283.15,chr17,63445897,63446180,TSS,False,81,119
ENSG00000087157.18,chr17,78392665,78398251,ES,False,53,378
ENSG00000087157.18,chr17,78404089,78414951,3AS,False,61,350
ENSG00000087157.18,chr17,78419675,78424060,5AS,False,278,360
ENSG00000168259.14,chr17,41987910,41988731,IR,True,339,378
ENSG00000168259.14,chr17,41976420,41976770,PAS,True,188,389
ENSG00000168259.14,chr17,41983563,41983636,PAS,True,263,389
ENSG00000168259.14,chr17,42017339,42017940,TSS,True,111,389
ENSG00000168259.14,chr17,42017051,42017170,TSS,True,342,389
ENSG00000132382.14,chr17,4538975,4539438,IR,False,21,207
ENSG00000132382.14,chr17,4538898,4539967,PAS,True,92,279
ENSG00000132382.14,chr17,4546912,4548057,PAS,True,199,240
ENSG00000132382.14,chr17,4555126,4555431,TSS,True,67,280
ENSG00000161654.9,chr17,44066463,44066677,TSS,True,137,609
ENSG00000108654.14,chr17,64500326,64502009,5AS,True,191,248
ENSG00000108654.14,chr17,64500326,64502009,3AS,True,191,251
ENSG00000108654.14,chr17,64500326,64502009,IR,True,191,460
ENSG00000159217.9,chr17,49043550,49043969,3AS,True,110,557
ENSG00000159217.9,chr17,48996835,48997920,TSS,True,236,715
ENSG00000108840.15,chr17,44092284,44092395,5AS,True,30,268
ENSG00000108840.15,chr17,44110800,44117493,3AS,False,133,241
ENSG00000108840.15,chr17,44123503,44124047,TSS,True,101,347
ENSG00000108639.7,chr17,78171054,78171738,ES,False,52,347
ENSG00000225663.7,chr17,81822907,81823208,IR,False,78,413
ENSG00000225663.7,chr17,81822412,81823311,PAS,True,83,416
ENSG00000225663.7,chr17,81822416,81822907,PAS,True,336,417
ENSG00000175061.17,chr17,16439414,16439527,IR,False,453,511
ENSG00000175061.17,chr17,16439414,16439580,3AS,False,209,662
ENSG00000175061.17,chr17,16439414,16439580,IR,False,209,267
ENSG00000175061.17,chr17,16439414,16439659,3AS,False,92,754
ENSG00000175061.17,chr17,16439414,16439659,IR,False,92,150
ENSG00000175061.17,chr17,16439414,16440184,ES,False,880,1619
ENSG00000175061.17,chr17,16440253,16441367,3AS,False,67,134
ENSG00000175061.17,chr17,16438983,16439060,TSS,True,262,1724
ENSG00000175061.17,chr17,16438984,16439414,TSS,True,1511,1724
ENSG00000108469.14,chr17,75666571,75667043,IR,False,84,111
ENSG00000108469.14,chr17,75626836,75627522,PAS,True,20,124
ENSG00000108469.14,chr17,75667043,75667198,TSS,False,41,125
ENSG00000108469.14,chr17,75666427,75667192,TSS,True,98,125
ENSG00000197879.16,chr17,1485693,1486131,TSS,True,216,296
ENSG00000197879.16,chr17,1492412,1492728,TSS,True,172,296
ENSG00000141551.14,chr17,82273305,82273721,TSS,True,30,110
ENSG00000006125.17,chr17,35657791,35671753,ES,False,102,170
ENSG00000006125.17,chr17,35587263,35587428,TSS,True,71,236
ENSG00000006125.17,chr17,35587377,35587597,TSS,True,202,236
ENSG00000006125.17,chr17,35723624,35726413,PAS,True,70,235
ENSG00000006125.17,chr17,35659763,35660120,PAS,False,177,231
ENSG00000136451.8,chr17,57980786,57981872,3AS,False,123,143
ENSG00000108852.14,chr17,43875356,43877983,PAS,True,14,110
ENSG00000108852.14,chr17,43900470,43900655,TSS,False,13,116
ENSG00000187607.15,chr17,15699777,15700047,IR,False,88,109
ENSG00000187607.15,chr17,15699777,15700134,3AS,False,21,109
ENSG00000187607.15,chr17,15708247,15716058,3AS,False,72,164
ENSG00000187607.15,chr17,15699714,15699777,TSS,False,112,223
ENSG00000187607.15,chr17,15699760,15700366,TSS,True,137,223
ENSG00000187607.15,chr17,15716058,15720785,PAS,True,145,216
ENSG00000187607.15,chr17,15715999,15720782,PAS,True,125,216
ENSG00000141295.13,chr17,47838002,47838269,IR,False,184,236
ENSG00000141295.13,chr17,47838002,47838335,5AS,False,35,219
ENSG00000141295.13,chr17,47838450,47838530,IR,True,236,271
ENSG00000141295.13,chr17,47840843,47841207,5AS,False,148,195
ENSG00000141295.13,chr17,47837675,47838002,PAS,True,53,272
ENSG00000141295.13,chr17,47841207,47841359,TSS,True,124,272
ENSG00000141295.13,chr17,47840669,47841243,TSS,True,205,272
ENSG00000141295.13,chr17,47841184,47841275,TSS,True,224,272
ENSG00000108592.16,chr17,63826835,63827065,TSS,True,281,563
ENSG00000108592.16,chr17,63827051,63827671,TSS,True,299,563
ENSG00000040633.12,chr17,7236566,7237384,3AS,False,21,168
ENSG00000040633.12,chr17,7239245,7239501,TSS,True,143,177
ENSG00000040633.12,chr17,7238454,7238575,TSS,False,132,177
ENSG00000177731.15,chr17,18251813,18251998,3AS,False,463,919
ENSG00000177731.15,chr17,18244781,18245272,PAS,True,124,1005
ENSG00000124422.11,chr17,21042664,21043082,TSS,False,117,132
ENSG00000136490.8,chr17,63698938,63699027,IR,False,422,478
ENSG00000136490.8,chr17,63700031,63700137,TSS,True,58,497
ENSG00000067596.11,chr17,43483885,43484185,TSS,True,18,172
ENSG00000067596.11,chr17,43523627,43524321,PAS,True,30,172
ENSG00000141510.17,chr17,7687376,7687550,TSS,True,97,400
ENSG00000141756.18,chr17,41813279,41818088,ES,False,12,117
ENSG00000141756.18,chr17,41818381,41818972,PAS,False,99,118
ENSG00000141756.18,chr17,41822222,41823217,PAS,True,30,124
ENSG00000185504.16,chr17,81545882,81547322,5AS,True,71,194
ENSG00000185504.16,chr17,81551203,81551927,5AS,False,101,153
ENSG00000185504.16,chr17,81552165,81553133,TSS,True,76,206
ENSG00000185504.16,chr17,81553073,81553173,TSS,True,181,206
ENSG00000108559.11,chr17,5384156,5386269,PAS,True,200,592
ENSG00000108559.11,chr17,5387597,5387670,PAS,True,472,592
ENSG00000005882.11,chr17,50095294,50095553,TSS,True,16,132
ENSG00000131467.10,chr17,42833140,42833673,TSS,True,84,712
ENSG00000172809.12,chr17,74203710,74203917,5AS,False,27,211
ENSG00000172809.12,chr17,74203674,74203710,TSS,False,198,225
ENSG00000172809.12,chr17,74203671,74203745,TSS,True,43,225
ENSG00000131747.14,chr17,40395445,40395539,PAS,True,739,915
ENSG00000131747.14,chr17,40396282,40396465,PAS,False,494,915
ENSG00000131747.14,chr17,40398785,40400067,PAS,True,819,915
ENSG00000131469.14,chr17,42998395,42998471,TSS,False,79,332
ENSG00000131469.14,chr17,42998448,42998831,TSS,False,278,332
ENSG00000173812.10,chr17,41688884,41689069,TSS,False,172,1691
ENSG00000167291.15,chr17,79940694,79940858,IR,True,24,166
ENSG00000167291.15,chr17,79932357,79941107,PAS,True,33,174
ENSG00000167291.15,chr17,79935794,79940694,PAS,True,150,174
ENSG00000167291.15,chr17,80035794,80035907,TSS,False,133,207
ENSG00000167291.15,chr17,79949716,79950695,TSS,True,149,204
ENSG00000108424.9,chr17,47649719,47650284,TSS,True,162,572
ENSG00000126581.12,chr17,42810928,42813947,ES,False,81,426
ENSG00000126581.12,chr17,42810928,42814523,ES,False,48,476
ENSG00000126581.12,chr17,42823879,42824154,5AS,False,285,490
ENSG00000126581.12,chr17,42824132,42824301,TSS,True,292,497
ENSG00000126581.12,chr17,42824154,42824315,TSS,True,211,497
ENSG00000171298.12,chr17,80101625,80104554,ES,False,49,135
ENSG00000171298.12,chr17,80101141,80101625,TSS,True,93,230
ENSG00000171298.12,chr17,80101604,80101890,TSS,True,189,230
ENSG00000170296.9,chr17,7242240,7242441,TSS,False,14,127
ENSG00000121067.17,chr17,49622876,49677932,ES,False,221,292
ENSG00000108395.13,chr17,58999459,59012327,ES,False,34,267
ENSG00000108395.13,chr17,58998199,58999459,PAS,True,106,339
