gene,chr,start,end,splice_type,novel,lower_lobe_of_right_lung_ENCFF767KXS_in_cov,lower_lobe_of_right_lung_ENCFF767KXS_total_cov
ENSG00000100364.18,chr22,45240639,45240943,TSS,True,49,263
ENSG00000100412.15,chr22,41468798,41469182,TSS,False,58,121
ENSG00000100234.11,chr22,32801684,32802122,TSS,False,333,705
ENSG00000100325.14,chr22,29838177,29838308,TSS,True,26,116
ENSG00000100307.12,chr22,39152375,39152671,TSS,True,87,109
ENSG00000100365.14,chr22,36860960,36861203,TSS,False,19,107
ENSG00000100258.17,chr22,50504451,50504558,IR,False,160,182
ENSG00000100258.17,chr22,50507035,50507581,IR,True,111,125
ENSG00000100258.17,chr22,50507581,50507802,TSS,True,83,205
ENSG00000100258.17,chr22,50506781,50507745,TSS,True,178,205
ENSG00000198911.11,chr22,41832415,41833358,TSS,True,147,234
ENSG00000198911.11,chr22,41905439,41907308,PAS,True,18,144
ENSG00000025708.13,chr22,50528610,50529135,IR,False,558,645
ENSG00000025708.13,chr22,50529338,50529495,IR,False,545,651
ENSG00000025708.13,chr22,50529719,50529903,3AS,False,376,439
ENSG00000025708.13,chr22,50529719,50529903,IR,False,376,503
ENSG00000025708.13,chr22,50529731,50529903,IR,False,61,188
ENSG00000025708.13,chr22,50523569,50525918,PAS,True,118,778
ENSG00000025708.13,chr22,50529903,50530341,TSS,True,365,778
ENSG00000100353.17,chr22,36529075,36529325,TSS,False,46,267
ENSG00000100266.18,chr22,43015020,43015191,TSS,True,76,239
ENSG00000100380.13,chr22,40856430,40856939,TSS,True,40,354
ENSG00000100034.13,chr22,21952791,21952896,TSS,True,53,106
ENSG00000184164.14,chr22,49921761,49922611,ES,False,127,143
ENSG00000184164.14,chr22,49917882,49918898,TSS,True,42,182
ENSG00000100083.18,chr22,37608447,37608903,TSS,True,62,128
ENSG00000100083.18,chr22,37632600,37633566,PAS,True,33,116
ENSG00000184076.13,chr22,29767378,29767548,TSS,False,52,283
ENSG00000185340.15,chr22,29306828,29307153,TSS,False,55,104
ENSG00000185340.15,chr22,29307023,29308738,TSS,True,93,104
ENSG00000186716.20,chr22,23180497,23182239,TSS,True,77,132
ENSG00000186716.20,chr22,23315432,23318036,PAS,True,13,103
ENSG00000138867.16,chr22,24554948,24555187,TSS,True,84,154
ENSG00000100243.20,chr22,42649294,42649417,TSS,False,122,727
ENSG00000242259.8,chr22,19440885,19444390,PAS,True,37,103
ENSG00000242259.8,chr22,19440885,19441694,PAS,True,95,125
ENSG00000242259.8,chr22,19447664,19448252,TSS,True,25,126
ENSG00000196576.14,chr22,50279629,50279782,TSS,True,220,251
ENSG00000196576.14,chr22,50282710,50283097,TSS,False,215,253
ENSG00000196576.14,chr22,50281565,50281743,TSS,True,219,252
ENSG00000213923.11,chr22,38291938,38293254,IR,True,99,115
ENSG00000213923.11,chr22,38293319,38294108,IR,True,87,113
ENSG00000213923.11,chr22,38294534,38298785,ES,False,83,101
ENSG00000213923.11,chr22,38290689,38291938,PAS,False,62,161
ENSG00000213923.11,chr22,38299894,38300045,TSS,True,215,249
ENSG00000213923.11,chr22,38317159,38317473,TSS,True,169,254
ENSG00000198951.11,chr22,42070281,42070901,TSS,True,62,127
ENSG00000198951.11,chr22,42070762,42070847,TSS,False,94,127
ENSG00000242247.10,chr22,42796519,42797605,PAS,True,17,121
ENSG00000242247.10,chr22,42857113,42857314,TSS,True,16,127
ENSG00000185651.14,chr22,21567704,21567771,TSS,False,22,121
ENSG00000100345.21,chr22,36387806,36388109,TSS,False,504,640
ENSG00000241973.10,chr22,20712485,20712561,TSS,True,81,114
ENSG00000241973.10,chr22,20734394,20737413,TSS,True,100,116
ENSG00000241973.10,chr22,20858569,20858831,TSS,False,104,122
ENSG00000185022.11,chr22,38201989,38202212,TSS,True,65,165
ENSG00000185022.11,chr22,38213573,38213706,TSS,False,143,165
ENSG00000100242.15,chr22,38752665,38755762,ES,False,159,298
ENSG00000100242.15,chr22,38755762,38756048,TSS,True,321,619
ENSG00000073169.13,chr22,50200988,50201590,TSS,False,40,103
ENSG00000073169.13,chr22,50217204,50217617,PAS,True,28,100
ENSG00000100030.14,chr22,21867321,21867668,TSS,True,103,187
ENSG00000170638.9,chr22,50185898,50185976,TSS,True,67,111
ENSG00000170638.9,chr22,50185870,50186001,TSS,True,82,111
ENSG00000070413.19,chr22,19122127,19122446,TSS,True,86,185
ENSG00000198355.4,chr22,49961032,49961124,IR,False,549,612
ENSG00000198355.4,chr22,49960472,49961032,TSS,False,143,688
ENSG00000100288.19,chr22,50579802,50579973,3AS,False,13,112
ENSG00000100288.19,chr22,50580271,50580357,IR,False,82,116
ENSG00000100288.19,chr22,50581553,50581748,IR,True,88,129
ENSG00000100288.19,chr22,50581862,50582248,IR,False,39,133
ENSG00000100288.19,chr22,50582357,50582557,IR,False,19,132
ENSG00000100288.19,chr22,50578957,50579255,PAS,True,20,138
ENSG00000100288.19,chr22,50582248,50582988,TSS,True,121,142
ENSG00000100288.19,chr22,50582557,50582974,TSS,True,123,142
ENSG00000100288.19,chr22,50581748,50582981,TSS,True,88,142
ENSG00000100288.19,chr22,50581419,50582859,TSS,True,126,142
ENSG00000099940.11,chr22,20858964,20859347,TSS,True,39,113
ENSG00000099940.11,chr22,20870450,20870533,TSS,True,83,113
ENSG00000128294.15,chr22,26590052,26590158,TSS,True,23,211
ENSG00000100138.14,chr22,41688793,41688884,TSS,True,48,148
ENSG00000100138.14,chr22,41682355,41682453,TSS,True,120,140
ENSG00000138964.16,chr22,44185872,44187775,3AS,False,107,119
ENSG00000138964.16,chr22,44181375,44181917,TSS,True,63,152
ENSG00000138964.16,chr22,44172778,44173191,TSS,True,131,154
ENSG00000189306.10,chr22,42519713,42519822,TSS,True,34,158
ENSG00000100300.17,chr22,43151524,43151604,TSS,True,223,589
ENSG00000100300.17,chr22,43159208,43159420,TSS,True,519,589
ENSG00000100300.17,chr22,43161057,43161190,TSS,True,502,589
ENSG00000099977.14,chr22,23974306,23974491,TSS,True,281,319
ENSG00000100225.17,chr22,32475124,32479132,3AS,False,31,156
ENSG00000100225.17,chr22,32474703,32475124,TSS,True,80,238
ENSG00000100225.17,chr22,32475222,32475398,TSS,True,177,238
ENSG00000131100.12,chr22,17628602,17628782,TSS,True,75,122
ENSG00000100201.20,chr22,38505950,38506341,TSS,True,84,137
ENSG00000185339.8,chr22,30606817,30607395,TSS,True,31,103
ENSG00000185339.8,chr22,30615626,30615787,TSS,True,88,101
ENSG00000128272.14,chr22,39520278,39520751,TSS,False,327,388
ENSG00000100348.9,chr22,36481563,36482025,TSS,True,55,195
ENSG00000100348.9,chr22,36480574,36480835,TSS,True,154,195
ENSG00000100401.19,chr22,41285985,41286251,TSS,False,60,112
ENSG00000100299.17,chr22,50627555,50628169,TSS,True,62,103
ENSG00000100299.17,chr22,50627165,50627334,TSS,True,75,101
ENSG00000100299.17,chr22,50627945,50628171,TSS,True,80,104
ENSG00000198792.12,chr22,38225423,38225776,TSS,True,158,189
ENSG00000198792.12,chr22,38272883,38273049,TSS,True,156,192
ENSG00000100129.17,chr22,37849373,37849482,TSS,False,56,466
ENSG00000100097.11,chr22,37675634,37675711,TSS,True,40,239
ENSG00000100060.17,chr22,37485922,37486524,TSS,True,34,238
ENSG00000187051.8,chr22,39532686,39532775,TSS,True,15,122
ENSG00000099901.16,chr22,20126368,20126954,3AS,False,40,115
ENSG00000099901.16,chr22,20126951,20127354,PAS,True,57,132
ENSG00000099901.16,chr22,20126954,20127368,PAS,True,92,132
ENSG00000099901.16,chr22,20126302,20127354,PAS,True,115,132
ENSG00000093010.13,chr22,19941759,19941897,TSS,True,178,446
ENSG00000093010.13,chr22,19962443,19962815,TSS,False,378,446
ENSG00000100106.20,chr22,37751828,37754915,3AS,True,59,339
ENSG00000100106.20,chr22,37746200,37746420,TSS,True,62,390
ENSG00000099917.17,chr22,20507567,20507746,TSS,True,86,119
ENSG00000099917.17,chr22,20585070,20585267,TSS,True,74,108
ENSG00000099917.17,chr22,20586567,20587632,PAS,True,11,101
ENSG00000100284.20,chr22,35346969,35347054,5AS,False,176,219
ENSG00000221963.5,chr22,35648376,35648623,TSS,False,62,130
ENSG00000100075.9,chr22,19178579,19178878,TSS,True,27,172
ENSG00000099904.15,chr22,20142998,20143756,TSS,True,119,159
ENSG00000100100.12,chr22,31292274,31292529,TSS,True,34,143
ENSG00000100387.8,chr22,40951353,40951476,TSS,True,61,221
ENSG00000025770.18,chr22,50508028,50508445,TSS,True,42,118
ENSG00000183864.4,chr22,41446378,41446804,TSS,False,82,106
ENSG00000077942.18,chr22,45502614,45503064,TSS,False,132,547
ENSG00000077942.18,chr22,45562911,45563362,PAS,True,310,512
ENSG00000077942.18,chr22,45600306,45602846,PAS,False,234,531
ENSG00000182944.17,chr22,29288786,29291564,3AS,False,116,210
ENSG00000182944.17,chr22,29268100,29268349,TSS,True,75,278
ENSG00000100227.17,chr22,42614798,42614964,TSS,True,79,201
ENSG00000180957.17,chr22,27919171,27919306,TSS,True,12,105
ENSG00000100359.20,chr22,40400813,40402138,ES,False,33,163
ENSG00000100359.20,chr22,40409018,40409249,IR,False,149,188
ENSG00000100359.20,chr22,40370560,40370688,TSS,True,63,218
ENSG00000100359.20,chr22,40409681,40410292,PAS,True,20,199
ENSG00000241978.9,chr9,110136124,110138539,TSS,True,67,123
ENSG00000241978.9,chr9,110048648,110048855,TSS,True,103,127
ENSG00000196730.12,chr9,87497714,87498107,TSS,True,97,139
ENSG00000196730.12,chr9,87706131,87708651,PAS,True,49,108
ENSG00000197694.15,chr9,128552523,128552696,TSS,True,98,122
ENSG00000197694.15,chr9,128633208,128633663,PAS,True,16,115
ENSG00000172889.15,chr9,136663108,136664694,3AS,True,20,199
ENSG00000172889.15,chr9,136664785,136668556,ES,False,31,221
ENSG00000172889.15,chr9,136662168,136663108,TSS,True,300,505
ENSG00000172889.15,chr9,136671185,136672088,TSS,True,401,503
ENSG00000172889.15,chr9,136672263,136672679,PAS,True,52,505
ENSG00000095370.19,chr9,127771185,127771314,TSS,True,165,210
ENSG00000095370.19,chr9,127762120,127762301,TSS,True,168,210
ENSG00000095370.19,chr9,127749210,127749472,TSS,True,173,208
ENSG00000159884.11,chr9,35658257,35658485,TSS,True,33,109
ENSG00000165092.12,chr9,72952934,72953072,TSS,True,57,247
ENSG00000165272.15,chr9,33447422,33447615,TSS,True,290,465
ENSG00000238227.7,chr9,136118484,136118853,TSS,True,90,213
ENSG00000196642.18,chr9,136807582,136808326,TSS,True,61,106
ENSG00000136826.14,chr9,107487294,107487667,TSS,True,110,151
ENSG00000136826.14,chr9,107489167,107489769,TSS,True,75,154
ENSG00000160408.14,chr9,127896332,127899502,ES,False,91,201
ENSG00000160408.14,chr9,127899502,127899659,TSS,True,58,259
ENSG00000134996.11,chr9,75088244,75088726,TSS,False,21,185
ENSG00000107317.12,chr9,136977482,136977692,TSS,True,19,136
ENSG00000188938.16,chr9,93447697,93450478,ES,False,54,113
ENSG00000188938.16,chr9,93451087,93451805,TSS,True,32,122
ENSG00000107372.12,chr9,72360787,72364695,ES,False,60,111
ENSG00000107372.12,chr9,72364695,72365265,TSS,True,24,141
ENSG00000136802.11,chr9,128882058,128882250,TSS,True,72,148
ENSG00000136802.11,chr9,128907781,128909321,TSS,True,96,133
ENSG00000136802.11,chr9,128916095,128918042,PAS,True,15,129
ENSG00000107223.12,chr9,136862117,136862345,PAS,False,40,256
ENSG00000107223.12,chr9,136866180,136866312,TSS,True,105,256
ENSG00000107223.12,chr9,136863287,136863449,TSS,True,215,256
ENSG00000137076.20,chr9,35696955,35697916,PAS,False,138,330
ENSG00000137076.20,chr9,35720645,35722223,PAS,True,100,114
ENSG00000137076.20,chr9,35724621,35724724,PAS,True,76,109
ENSG00000137076.20,chr9,35707816,35707892,PAS,True,129,179
ENSG00000137076.20,chr9,35708340,35708487,TSS,True,229,259
ENSG00000137076.20,chr9,35707071,35707255,TSS,True,139,205
ENSG00000137076.20,chr9,35732074,35732407,TSS,True,237,339
ENSG00000106789.12,chr9,98192558,98192782,TSS,False,43,110
ENSG00000148180.19,chr9,121267812,121268219,TSS,True,1258,1633
ENSG00000148180.19,chr9,121299800,121300005,TSS,False,671,1630
ENSG00000136830.11,chr9,127568819,127569150,TSS,True,132,348
ENSG00000107099.15,chr9,214634,215029,TSS,True,82,108
ENSG00000107099.15,chr9,464158,465266,PAS,True,55,104
ENSG00000107281.9,chr9,137045877,137046229,TSS,True,102,228
ENSG00000107281.9,chr9,137042926,137046685,TSS,True,175,228
ENSG00000107263.18,chr9,131739769,131740119,TSS,True,187,213
ENSG00000119333.11,chr9,128635175,128635657,3AS,True,12,109
ENSG00000119333.11,chr9,128635259,128635657,IR,True,97,109
ENSG00000119333.11,chr9,128656540,128656756,TSS,True,43,153
ENSG00000085265.10,chr9,134917768,134917954,TSS,True,104,196
ENSG00000148337.20,chr9,128178904,128179072,IR,False,22,117
ENSG00000148337.20,chr9,128185546,128186462,TSS,True,91,136
ENSG00000148337.20,chr9,128191431,128191600,TSS,False,75,137
ENSG00000131669.9,chr9,93134142,93134310,TSS,True,17,119
ENSG00000148248.13,chr9,133375921,133376131,TSS,True,66,317
ENSG00000119487.16,chr9,125484583,125543058,ES,False,27,121
ENSG00000119487.16,chr9,125706970,125707262,TSS,True,18,144
ENSG00000148303.16,chr9,133348206,133348246,TSS,False,115,307
ENSG00000148303.16,chr9,133348240,133349042,TSS,True,239,307
ENSG00000148362.10,chr9,136992974,136993052,IR,False,38,100
ENSG00000148362.10,chr9,136992402,136993243,TSS,True,91,112
ENSG00000148362.10,chr9,136992294,136992562,TSS,True,41,112
ENSG00000148362.10,chr9,136992324,136992974,TSS,True,100,112
ENSG00000070214.15,chr9,105244465,105244904,TSS,False,18,146
ENSG00000070214.15,chr9,105389032,105391403,PAS,True,43,135
ENSG00000070214.15,chr9,105438280,105438512,PAS,False,111,146
ENSG00000159069.13,chr9,136943890,136944795,TSS,True,417,475
ENSG00000159069.13,chr9,136944593,136944762,TSS,True,125,475
ENSG00000165006.13,chr9,34179016,34179240,TSS,True,21,103
ENSG00000165006.13,chr9,34241641,34242108,TSS,True,92,103
ENSG00000135047.14,chr9,87726253,87727593,5AS,False,66,143
ENSG00000135047.14,chr9,87726062,87726253,TSS,False,105,172
ENSG00000135047.14,chr9,87725582,87726398,TSS,True,111,172
ENSG00000136930.12,chr9,124415363,124415471,TSS,True,24,136
ENSG00000188229.5,chr9,137241286,137241417,TSS,True,406,543
ENSG00000106991.13,chr9,127854288,127854749,TSS,True,294,1019
ENSG00000148290.9,chr9,133356399,133356489,TSS,True,42,111
ENSG00000148290.9,chr9,133353748,133353788,TSS,True,74,109
ENSG00000044574.7,chr9,125241004,125241372,TSS,False,119,1007
ENSG00000130707.17,chr9,130444854,130444995,TSS,False,16,103
ENSG00000169583.12,chr9,136996510,136996568,TSS,True,30,133
ENSG00000169583.12,chr9,136995647,136996568,TSS,False,116,133
ENSG00000213930.11,chr9,34646604,34646786,TSS,True,88,132
ENSG00000106992.18,chr9,127877622,127877716,TSS,True,42,270
ENSG00000148110.15,chr9,94374411,94374927,TSS,False,85,309
ENSG00000136819.15,chr9,129833709,129835138,ES,False,17,118
ENSG00000160325.14,chr9,133463555,133467920,ES,False,14,112
ENSG00000160325.14,chr9,133459980,133460187,TSS,True,53,144
ENSG00000160325.14,chr9,133460714,133463555,TSS,True,122,144
ENSG00000136877.14,chr9,127802850,127803062,TSS,False,43,139
ENSG00000136877.14,chr9,127803190,127803404,TSS,True,117,139
ENSG00000136877.14,chr9,127814207,127817707,PAS,False,115,140
ENSG00000136877.14,chr9,127813194,127814505,PAS,True,29,134
ENSG00000136950.13,chr9,124869138,124869439,TSS,False,39,123
ENSG00000165280.15,chr9,35072336,35072782,TSS,True,118,670
ENSG00000119335.16,chr9,128689190,128689655,TSS,False,50,351
ENSG00000119335.16,chr9,128694640,128696393,PAS,True,53,338
ENSG00000119335.16,chr9,128693895,128695525,PAS,False,300,337
ENSG00000165283.15,chr9,35103049,35103184,TSS,True,32,148
ENSG00000122694.15,chr9,36136709,36136791,TSS,False,95,222
ENSG00000165119.20,chr9,83969380,83970161,3AS,False,116,236
ENSG00000165119.20,chr9,83967990,83969440,PAS,True,118,238
ENSG00000165119.20,chr9,83968082,83969380,PAS,True,122,238
ENSG00000165119.20,chr9,83980502,83980645,TSS,True,238,397
ENSG00000165119.20,chr9,83980152,83980270,TSS,True,350,397
ENSG00000176978.13,chr9,137112230,137112744,IR,True,327,426
ENSG00000176978.13,chr9,137114576,137114646,IR,False,320,381
ENSG00000176978.13,chr9,137114646,137114909,TSS,True,152,475
ENSG00000176978.13,chr9,137114462,137115159,TSS,True,413,475
ENSG00000095380.10,chr9,98056687,98056940,TSS,True,41,133
ENSG00000095380.10,chr9,98060781,98060997,TSS,True,109,133
ENSG00000156052.10,chr9,78031099,78032382,TSS,False,22,104
ENSG00000119408.16,chr9,124257916,124258085,TSS,True,79,177
ENSG00000119408.16,chr9,124257980,124258361,TSS,True,157,177
ENSG00000119408.16,chr9,124261465,124261583,TSS,True,151,177
ENSG00000186350.10,chr9,134326190,134326659,TSS,False,147,171
ENSG00000198467.14,chr9,35684550,35685063,ES,True,85,105
ENSG00000198467.14,chr9,35689703,35691118,TSS,True,23,113
ENSG00000148341.17,chr9,129010693,129012235,IR,False,135,190
ENSG00000148341.17,chr9,129028091,129028360,TSS,True,45,233
ENSG00000054148.17,chr9,136850137,136850754,ES,False,148,174
ENSG00000054148.17,chr9,136848968,136849590,TSS,True,63,211
ENSG00000054148.17,chr9,136849755,136850137,TSS,True,184,211
ENSG00000176101.11,chr9,137188778,137189065,IR,False,68,144
ENSG00000176101.11,chr9,137188650,137188778,TSS,True,92,161
ENSG00000176101.11,chr9,137188688,137189265,TSS,True,86,161
ENSG00000148334.14,chr9,128122479,128122933,IR,False,135,154
ENSG00000148334.14,chr9,128127438,128128446,TSS,True,21,172
ENSG00000122705.16,chr9,36190894,36191273,TSS,True,39,259
ENSG00000177239.14,chr9,137085401,137087218,TSS,True,18,109
ENSG00000137106.17,chr9,37422614,37422833,TSS,True,75,131
ENSG00000137106.17,chr9,37430580,37432138,TSS,False,109,130
ENSG00000165688.11,chr9,136416391,136416950,IR,False,97,115
ENSG00000165688.11,chr9,136410631,136410739,TSS,True,19,130
ENSG00000095383.19,chr9,98198997,98199588,PAS,True,19,129
ENSG00000095383.19,chr9,98255172,98256104,TSS,True,52,136
ENSG00000095383.19,chr9,98208667,98209081,TSS,True,104,122
ENSG00000197070.13,chr9,137613006,137613459,IR,False,130,154
ENSG00000197070.13,chr9,137615000,137615073,IR,False,153,239
ENSG00000197070.13,chr9,137605613,137605835,TSS,True,88,244
ENSG00000197070.13,chr9,137615073,137616205,PAS,True,90,244
ENSG00000197070.13,chr9,137614558,137616227,PAS,True,155,200
ENSG00000136908.17,chr9,127936655,127937433,IR,False,85,119
ENSG00000136908.17,chr9,127937523,127937817,IR,True,95,107
ENSG00000136908.17,chr9,127937817,127937860,TSS,False,31,129
ENSG00000136908.17,chr9,127937433,127937846,TSS,True,116,129
ENSG00000136868.10,chr9,113221511,113221678,TSS,True,24,125
ENSG00000188986.6,chr9,137255224,137255611,TSS,True,21,197
ENSG00000136942.14,chr9,124861909,124861987,TSS,True,94,700
ENSG00000165025.14,chr9,90801594,90801893,TSS,False,62,210
ENSG00000119326.14,chr9,108942568,108942834,PAS,True,30,104
ENSG00000119383.19,chr9,129111320,129111631,TSS,True,100,145
ENSG00000119383.19,chr9,129140074,129140151,TSS,True,129,145
ENSG00000160271.15,chr9,133148962,133149433,TSS,False,88,120
ENSG00000160271.15,chr9,133120971,133121299,TSS,True,94,120
ENSG00000136867.10,chr9,113150948,113151080,TSS,True,32,287
ENSG00000106771.12,chr9,109091152,109093474,3AS,True,22,155
ENSG00000106771.12,chr9,109119334,109120067,TSS,False,47,202
ENSG00000185432.11,chr12,50924621,50925536,TSS,True,43,153
ENSG00000123384.13,chr12,57212414,57213391,PAS,True,107,333
ENSG00000067182.7,chr12,6341775,6342117,TSS,True,51,141
ENSG00000067182.7,chr12,6329777,6329876,TSS,True,109,132
ENSG00000135124.14,chr12,121209994,121210298,TSS,True,17,139
ENSG00000111237.18,chr12,110496203,110502048,5AS,True,106,156
ENSG00000111237.18,chr12,110502036,110502127,TSS,True,127,175
ENSG00000111237.18,chr12,110502048,110502127,TSS,True,56,175
ENSG00000061273.17,chr12,47782710,47783886,PAS,True,13,114
ENSG00000061273.17,chr12,47795586,47795768,TSS,False,93,144
ENSG00000092841.18,chr12,56160320,56160625,IR,False,618,746
ENSG00000092841.18,chr12,56160320,56161386,ES,False,934,1550
ENSG00000092841.18,chr12,56160320,56161386,IR,True,934,1062
ENSG00000092841.18,chr12,56160670,56161386,IR,True,625,754
ENSG00000092841.18,chr12,56158337,56158404,TSS,True,912,2337
ENSG00000135108.14,chr12,117190217,117190519,TSS,True,12,105
ENSG00000060138.12,chr12,10704148,10713210,ES,False,295,695
ENSG00000184575.11,chr12,64404318,64404804,TSS,False,37,121
ENSG00000167778.8,chr12,53079310,53079414,TSS,True,26,139
ENSG00000111452.12,chr12,130953078,130954531,TSS,True,86,103
ENSG00000139644.12,chr12,49741548,49741611,TSS,False,255,502
ENSG00000139644.12,chr12,49752461,49752549,TSS,True,419,501
ENSG00000089220.4,chr12,118136065,118136344,TSS,False,68,589
ENSG00000182199.10,chr12,57229648,57229811,TSS,True,43,104
ENSG00000182199.10,chr12,57233176,57233345,TSS,True,88,103
ENSG00000135677.10,chr12,64759084,64759446,TSS,True,81,200
ENSG00000111348.8,chr12,14961536,14961601,TSS,True,29,217
ENSG00000135452.9,chr12,57745000,57745217,TSS,True,57,147
ENSG00000135452.9,chr12,57747103,57747131,TSS,True,108,147
ENSG00000135452.9,chr12,57747215,57748243,PAS,True,16,147
ENSG00000111667.13,chr12,6852017,6852290,TSS,True,32,156
ENSG00000167552.13,chr12,49188976,49189080,TSS,True,87,291
ENSG00000010610.9,chr12,6789516,6789662,TSS,True,79,158
ENSG00000010610.9,chr12,6818475,6818542,TSS,True,140,158
ENSG00000063046.17,chr12,53006278,53006496,TSS,True,96,304
ENSG00000011465.16,chr12,91179361,91179559,TSS,True,303,1173
ENSG00000011465.16,chr12,91182654,91182916,TSS,True,1018,1173
ENSG00000089127.12,chr12,112906934,112907219,TSS,True,29,169
ENSG00000089127.12,chr12,112919388,112919904,PAS,True,62,169
ENSG00000089127.12,chr12,112917546,112919905,PAS,True,124,158
ENSG00000173391.8,chr12,10172001,10172133,TSS,True,103,287
ENSG00000173391.8,chr12,10167577,10167607,TSS,True,240,287
ENSG00000139370.11,chr12,128809473,128814774,ES,False,14,125
ENSG00000139370.11,chr12,128793190,128794356,PAS,True,21,145
ENSG00000139370.11,chr12,128823397,128824013,TSS,True,21,149
ENSG00000276045.3,chr12,121626528,121627050,TSS,True,52,159
ENSG00000088986.10,chr12,120496110,120496216,TSS,False,38,132
ENSG00000088986.10,chr12,120496112,120496553,TSS,True,115,132
ENSG00000174099.11,chr12,65278494,65278865,TSS,True,18,115
ENSG00000089157.15,chr12,120201082,120201113,TSS,True,216,1699
ENSG00000182196.13,chr12,122980745,122981128,5AS,False,110,215
ENSG00000182196.13,chr12,122981266,122981594,5AS,False,59,149
ENSG00000182196.13,chr12,122981266,122981594,IR,False,59,139
ENSG00000182196.13,chr12,122981299,122981594,3AS,False,89,143
ENSG00000182196.13,chr12,122981299,122981594,IR,False,89,115
ENSG00000182196.13,chr12,122981809,122982030,IR,False,32,253
ENSG00000182196.13,chr12,122980468,122980745,TSS,True,187,297
ENSG00000182196.13,chr12,122980680,122980812,TSS,True,200,297
ENSG00000111540.15,chr12,55974008,55974139,TSS,True,79,152
ENSG00000110955.8,chr12,56645836,56646068,TSS,True,59,258
ENSG00000135390.18,chr12,53676052,53676736,TSS,True,67,259
ENSG00000135390.18,chr12,53672575,53674181,TSS,True,218,259
ENSG00000111481.9,chr12,54325108,54325181,TSS,True,61,171
ENSG00000196531.10,chr12,56725262,56725531,TSS,True,110,493
ENSG00000175215.10,chr12,57846371,57846962,TSS,True,203,246
ENSG00000198431.15,chr12,104286893,104287109,TSS,True,57,104
ENSG00000198431.15,chr12,104286935,104287346,TSS,True,80,104
ENSG00000198431.15,chr12,104286761,104289040,TSS,True,90,104
ENSG00000089053.12,chr12,121328458,121330582,3AS,False,59,120
ENSG00000089053.12,chr12,121352133,121352462,TSS,True,22,139
ENSG00000089693.10,chr12,6752938,6753141,TSS,True,40,285
ENSG00000135506.15,chr12,57715970,57716091,3AS,False,398,546
ENSG00000135506.15,chr12,57719182,57720405,ES,False,250,581
ENSG00000135506.15,chr12,57693960,57694323,TSS,True,86,616
ENSG00000139318.7,chr12,89351639,89352501,TSS,True,35,160
ENSG00000139218.17,chr12,45990352,45990614,TSS,True,31,120
ENSG00000196498.13,chr12,124326370,124327546,5AS,False,83,118
ENSG00000196498.13,chr12,124326370,124330844,ES,False,31,143
ENSG00000196498.13,chr12,124332464,124333129,3AS,False,21,131
ENSG00000196498.13,chr12,124324404,124325583,PAS,True,53,229
ENSG00000196498.13,chr12,124335134,124335260,TSS,False,257,291
ENSG00000196498.13,chr12,124336752,124337110,TSS,True,243,292
ENSG00000090382.6,chr12,69348383,69348544,TSS,True,175,465
ENSG00000062485.18,chr12,56300159,56300392,TSS,True,39,242
ENSG00000121316.10,chr12,14567581,14568362,TSS,True,29,214
ENSG00000211584.13,chr12,47773166,47773440,TSS,True,20,125
ENSG00000025423.11,chr12,56763319,56763414,TSS,False,43,108
ENSG00000136026.13,chr12,106247368,106248154,TSS,False,55,133
ENSG00000173598.13,chr12,93395533,93398770,3AS,False,131,193
ENSG00000123064.12,chr12,113159109,113161269,3AS,False,43,124
ENSG00000123064.12,chr12,113157180,113159112,PAS,True,47,128
ENSG00000123064.12,chr12,113157182,113159109,PAS,True,85,128
ENSG00000123064.12,chr12,113185277,113185495,TSS,True,74,136
ENSG00000008394.12,chr12,16347596,16347710,TSS,True,97,387
ENSG00000127314.17,chr12,68611043,68648698,5AS,False,125,169
ENSG00000127314.17,chr12,68610571,68611043,TSS,True,66,196
ENSG00000127314.17,chr12,68610868,68611052,TSS,True,153,196
ENSG00000111229.15,chr12,110450254,110450359,TSS,True,53,249
ENSG00000139613.11,chr12,56163765,56164647,ES,False,101,114
ENSG00000139613.11,chr12,56163765,56164647,5AS,False,101,147
ENSG00000139613.11,chr12,56172701,56173695,3AS,True,18,148
ENSG00000139613.11,chr12,56172704,56173695,ES,False,100,130
ENSG00000139613.11,chr12,56162358,56163765,PAS,True,47,211
ENSG00000139613.11,chr12,56180029,56181597,PAS,True,152,175
ENSG00000139613.11,chr12,56189350,56190295,TSS,True,43,211
ENSG00000170421.12,chr12,52904657,52905208,TSS,True,55,297
ENSG00000170421.12,chr12,52899774,52901102,TSS,True,263,297
ENSG00000176871.8,chr12,118061035,118061192,TSS,True,34,146
ENSG00000176871.8,chr12,118036337,118036511,TSS,True,127,146
ENSG00000122971.8,chr12,120725794,120725931,TSS,True,17,104
ENSG00000175899.14,chr12,9067418,9067839,PAS,True,360,2977
ENSG00000175899.14,chr12,9115763,9116193,TSS,True,837,2981
ENSG00000188906.15,chr12,40224488,40225282,TSS,True,50,348
ENSG00000188906.15,chr12,40294844,40298493,PAS,True,162,301
ENSG00000188906.15,chr12,40367643,40369315,PAS,True,293,338
ENSG00000188906.15,chr12,40240482,40243839,PAS,True,268,299
ENSG00000188906.15,chr12,40241221,40241908,PAS,True,264,299
ENSG00000073614.12,chr12,310884,310949,TSS,True,86,158
ENSG00000073614.12,chr12,388926,389635,TSS,True,98,159
ENSG00000150991.14,chr12,124914586,124914848,TSS,False,261,980
