gene,chr,start,end,splice_type,novel,lower_lobe_of_left_lung_ENCFF779VVX_in_cov,lower_lobe_of_left_lung_ENCFF779VVX_total_cov
ENSG00000108298.11,chr17,39200112,39200349,TSS,False,51,445
ENSG00000168256.17,chr17,42020051,42020204,TSS,True,29,198
ENSG00000141522.11,chr17,81868584,81868988,IR,False,21,104
ENSG00000141522.11,chr17,81867718,81869075,PAS,True,21,104
ENSG00000141522.11,chr17,81867718,81868584,PAS,True,125,146
ENSG00000141522.11,chr17,81871297,81871406,TSS,True,53,146
ENSG00000108883.12,chr17,44899368,44899648,TSS,True,29,223
ENSG00000141753.6,chr17,40443401,40444084,TSS,False,165,577
ENSG00000141753.6,chr17,40452989,40453142,TSS,True,479,577
ENSG00000168591.15,chr17,44186948,44187109,TSS,True,159,193
ENSG00000168591.15,chr17,44186963,44187743,TSS,True,129,193
ENSG00000168591.15,chr17,44187192,44187431,TSS,True,165,193
ENSG00000168591.15,chr17,44189231,44189588,TSS,True,170,193
ENSG00000168591.15,chr17,44190500,44191930,PAS,True,29,180
ENSG00000108679.12,chr17,78979823,78979962,TSS,True,156,1411
ENSG00000170412.16,chr17,74430943,74432141,TSS,False,125,312
ENSG00000170412.16,chr17,74439742,74440827,TSS,True,217,312
ENSG00000121073.14,chr17,49706309,49706964,3AS,False,76,231
ENSG00000187688.14,chr17,16426877,16427451,3AS,True,98,378
ENSG00000187688.14,chr17,16415233,16415833,TSS,False,46,404
ENSG00000167107.12,chr17,50463552,50464217,ES,False,18,143
ENSG00000167107.12,chr17,50464294,50471027,ES,False,118,138
ENSG00000167107.12,chr17,50426137,50426389,TSS,True,60,151
ENSG00000167107.12,chr17,50462468,50463251,TSS,True,109,148
ENSG00000073350.13,chr17,75570498,75570949,5AS,True,89,103
ENSG00000073350.13,chr17,75574260,75574609,ES,False,31,119
ENSG00000073350.13,chr17,75574668,75574873,3AS,False,39,115
ENSG00000073350.13,chr17,75543199,75543501,TSS,True,122,136
ENSG00000073350.13,chr17,75569217,75569325,TSS,True,108,121
ENSG00000073350.13,chr17,75574873,75575219,PAS,True,96,135
ENSG00000073350.13,chr17,75574870,75575219,PAS,True,59,135
ENSG00000141526.16,chr17,82229040,82229106,TSS,True,77,117
ENSG00000141526.16,chr17,82228412,82228529,TSS,True,76,117
ENSG00000133193.12,chr17,73209768,73227164,ES,False,115,179
ENSG00000168610.14,chr17,42316851,42317181,3AS,False,160,1267
ENSG00000168610.14,chr17,42317224,42322284,5AS,False,219,1267
ENSG00000168610.14,chr17,42348517,42388278,3AS,False,303,958
ENSG00000168610.14,chr17,42348520,42388278,3AS,False,188,655
ENSG00000168610.14,chr17,42388278,42388586,TSS,True,420,1385
ENSG00000141698.16,chr17,41835272,41835858,ES,False,240,278
ENSG00000141698.16,chr17,41835957,41836078,IR,False,40,248
ENSG00000141698.16,chr17,41835957,41836181,IR,False,38,246
ENSG00000141698.16,chr17,41836181,41836265,TSS,True,251,289
ENSG00000141698.16,chr17,41835858,41836253,TSS,True,85,289
ENSG00000141698.16,chr17,41836078,41836270,TSS,True,249,289
ENSG00000087111.20,chr17,28571188,28571462,IR,False,207,240
ENSG00000087111.20,chr17,28571462,28571566,TSS,True,129,342
ENSG00000087111.20,chr17,28558475,28558568,TSS,True,298,342
ENSG00000002919.14,chr17,48112085,48112573,5AS,False,147,168
ENSG00000002919.14,chr17,48113399,48118703,5AS,True,18,172
ENSG00000002919.14,chr17,48107548,48107838,TSS,True,19,180
ENSG00000132361.16,chr17,2694122,2694290,TSS,False,85,134
ENSG00000132361.16,chr17,2697895,2698568,TSS,True,107,135
ENSG00000002834.17,chr17,38869798,38870258,TSS,True,306,380
ENSG00000002834.17,chr17,38890368,38890504,TSS,True,298,380
ENSG00000068079.7,chr17,43013373,43013475,5AS,False,55,106
ENSG00000087995.15,chr17,62424012,62424218,IR,False,79,121
ENSG00000087995.15,chr17,62423881,62424310,TSS,True,79,121
ENSG00000087995.15,chr17,62423884,62424012,TSS,True,42,121
ENSG00000184557.4,chr17,78359749,78360566,TSS,True,630,809
ENSG00000108465.14,chr17,47971015,47971152,TSS,True,77,567
ENSG00000186594.14,chr17,1714014,1716129,ES,False,29,123
ENSG00000186594.14,chr17,1711510,1714014,PAS,True,35,134
ENSG00000186594.14,chr17,1716129,1716282,TSS,True,36,157
ENSG00000181031.15,chr17,247285,319419,ES,False,20,172
ENSG00000181031.15,chr17,321415,327466,ES,True,156,179
ENSG00000181031.15,chr17,352711,352876,TSS,False,57,205
ENSG00000136444.9,chr17,50478771,50479019,TSS,True,20,118
ENSG00000136444.9,chr17,50484743,50485981,PAS,True,12,114
ENSG00000169683.7,chr17,82023042,82023863,TSS,True,134,153
ENSG00000169683.7,chr17,82025396,82025507,TSS,True,48,153
ENSG00000108788.11,chr17,42567655,42568836,ES,False,47,217
ENSG00000108788.11,chr17,42567040,42567166,TSS,True,35,238
ENSG00000170190.15,chr17,75100816,75104021,3AS,True,20,129
ENSG00000170190.15,chr17,75087701,75089304,TSS,True,126,148
ENSG00000170190.15,chr17,75087717,75088044,TSS,True,57,148
ENSG00000170190.15,chr17,75105879,75106166,PAS,True,24,148
ENSG00000108829.9,chr17,50397212,50397565,TSS,True,37,257
ENSG00000179094.15,chr17,8140467,8141340,PAS,True,35,203
ENSG00000179094.15,chr17,8143265,8143703,TSS,False,19,176
ENSG00000133030.20,chr17,17174075,17176425,ES,False,43,286
ENSG00000133030.20,chr17,17180088,17184822,ES,False,136,285
ENSG00000133030.20,chr17,17154312,17154415,TSS,False,159,321
ENSG00000133030.20,chr17,17158428,17159002,TSS,True,275,321
ENSG00000087191.12,chr17,63827380,63827514,TSS,True,171,796
ENSG00000087191.12,chr17,63827460,63827923,TSS,True,687,796
ENSG00000133195.11,chr17,72849804,72947751,5AS,False,67,112
ENSG00000133195.11,chr17,73088775,73092610,5AS,False,89,105
ENSG00000133195.11,chr17,72645252,72647662,PAS,True,19,119
ENSG00000133195.11,chr17,73092610,73092729,TSS,True,30,123
ENSG00000133195.11,chr17,73092494,73092726,TSS,True,107,123
ENSG00000109113.19,chr17,28715122,28715218,5AS,False,139,767
ENSG00000109113.19,chr17,28717291,28718121,3AS,False,51,269
ENSG00000109113.19,chr17,28717212,28718419,TSS,True,293,781
ENSG00000109113.19,chr17,28718121,28718530,TSS,True,510,781
ENSG00000072778.19,chr17,7222865,7223132,IR,False,3706,4348
ENSG00000072778.19,chr17,7219853,7220046,TSS,True,1010,4388
ENSG00000092931.11,chr17,76736531,76737091,TSS,True,98,112
ENSG00000092931.11,chr17,76737538,76738448,TSS,True,82,112
ENSG00000092931.11,chr17,76737677,76738165,TSS,True,68,112
ENSG00000167721.10,chr17,2336330,2337628,TSS,False,27,181
ENSG00000108950.11,chr17,68543717,68551872,3AS,False,16,148
ENSG00000108950.11,chr17,68600262,68601419,TSS,True,58,194
ENSG00000179604.9,chr17,73311892,73312008,TSS,True,92,348
ENSG00000108622.10,chr17,64006630,64006950,TSS,True,79,139
ENSG00000108622.10,chr17,64020522,64020642,TSS,True,65,139
ENSG00000204237.4,chr17,81665035,81665584,PAS,True,142,163
ENSG00000109046.14,chr17,27306882,27309099,ES,True,217,250
ENSG00000109046.14,chr17,27294066,27294435,TSS,True,89,391
ENSG00000109046.14,chr17,27307561,27309272,TSS,True,280,314
ENSG00000109046.14,chr17,27312209,27313631,PAS,True,81,379
ENSG00000008283.15,chr17,63446244,63446357,TSS,True,209,617
ENSG00000087157.18,chr17,78392665,78398251,ES,False,65,602
ENSG00000087157.18,chr17,78404089,78414951,3AS,False,158,551
ENSG00000087157.18,chr17,78419675,78424060,5AS,False,399,585
ENSG00000070731.10,chr17,76570668,76572636,ES,True,117,137
ENSG00000070731.10,chr17,76572775,76573194,3AS,True,112,139
ENSG00000070731.10,chr17,76574539,76585683,ES,False,32,131
ENSG00000159202.17,chr17,48908384,48908820,TSS,True,88,107
ENSG00000159202.17,chr17,48912843,48913021,TSS,True,84,106
ENSG00000159202.17,chr17,48914756,48916187,TSS,True,62,106
ENSG00000108828.15,chr17,43021935,43022417,TSS,True,159,812
ENSG00000168259.14,chr17,41976420,41976770,PAS,True,65,232
ENSG00000168259.14,chr17,41983563,41983636,PAS,True,195,231
ENSG00000161395.13,chr17,39673050,39673154,TSS,True,105,128
ENSG00000161395.13,chr17,39687833,39688057,TSS,True,42,129
ENSG00000173818.16,chr17,80415151,80415250,TSS,True,50,101
ENSG00000173818.16,chr17,80415429,80415518,TSS,True,76,101
ENSG00000173818.16,chr17,80429772,80430372,PAS,True,67,101
ENSG00000173818.16,chr17,80436132,80438083,PAS,True,61,101
ENSG00000173818.16,chr17,80430040,80430377,PAS,True,90,101
ENSG00000170037.13,chr17,7932104,7933349,TSS,True,61,109
ENSG00000170037.13,chr17,7934980,7935145,TSS,True,93,109
ENSG00000170037.13,chr17,7949384,7949951,PAS,True,13,109
ENSG00000171861.10,chr17,782692,787964,ES,False,15,130
ENSG00000108840.15,chr17,44087411,44087698,TSS,True,98,124
ENSG00000108840.15,chr17,44123503,44124047,TSS,True,108,124
ENSG00000108840.15,chr17,44092380,44092481,TSS,True,110,124
ENSG00000108840.15,chr17,44092171,44092285,TSS,False,111,124
ENSG00000177469.12,chr17,42422626,42423258,TSS,False,1200,2184
ENSG00000108639.7,chr17,78171054,78171738,3AS,False,111,125
ENSG00000175061.17,chr17,16439414,16439580,3AS,False,95,253
ENSG00000175061.17,chr17,16439414,16439659,3AS,False,33,286
ENSG00000175061.17,chr17,16439414,16440184,ES,False,281,560
ENSG00000175061.17,chr17,16440253,16441367,ES,False,55,549
ENSG00000175061.17,chr17,16438983,16439060,TSS,True,142,590
ENSG00000175061.17,chr17,16438984,16439414,TSS,True,465,590
ENSG00000184060.10,chr17,30923070,30931888,ES,False,25,190
ENSG00000184060.10,chr17,30953350,30954480,3AS,True,20,187
ENSG00000197879.16,chr17,1491599,1491883,TSS,True,361,418
ENSG00000197879.16,chr17,1485693,1486131,TSS,True,310,418
ENSG00000141551.14,chr17,82273305,82273721,TSS,True,46,109
ENSG00000141551.14,chr17,82252433,82252790,TSS,True,98,109
ENSG00000132514.13,chr17,7075885,7075984,5AS,False,118,152
ENSG00000132514.13,chr17,7076071,7076732,3AS,False,105,151
ENSG00000141295.13,chr17,47838002,47838269,IR,False,186,268
ENSG00000141295.13,chr17,47839643,47840190,IR,True,236,266
ENSG00000141295.13,chr17,47837675,47838002,PAS,True,82,277
ENSG00000141295.13,chr17,47837685,47838450,PAS,True,209,277
ENSG00000141295.13,chr17,47841207,47841359,TSS,True,68,277
ENSG00000141295.13,chr17,47840669,47841243,TSS,True,229,277
ENSG00000136436.14,chr17,48830960,48831078,TSS,True,87,632
ENSG00000136436.14,chr17,48841569,48841887,TSS,True,564,632
ENSG00000108592.16,chr17,63819102,63819994,PAS,False,36,174
ENSG00000108592.16,chr17,63826835,63827065,TSS,True,119,174
ENSG00000108592.16,chr17,63827051,63827671,TSS,True,75,174
ENSG00000129226.13,chr17,7579591,7579726,TSS,True,220,2077
ENSG00000006744.18,chr17,13017702,13018044,TSS,True,72,339
ENSG00000161921.14,chr17,4732914,4734479,PAS,False,89,811
ENSG00000161921.14,chr17,4739260,4739927,TSS,True,147,811
ENSG00000161921.14,chr17,4735091,4735424,TSS,True,716,809
ENSG00000177731.15,chr17,18251813,18251998,3AS,False,137,315
ENSG00000177731.15,chr17,18244781,18245272,PAS,True,175,396
ENSG00000177731.15,chr17,18248798,18248883,PAS,True,224,344
ENSG00000177731.15,chr17,18258627,18258774,TSS,True,125,396
ENSG00000261371.5,chr17,64390601,64391244,TSS,True,494,780
ENSG00000261371.5,chr17,64369749,64370026,TSS,True,660,776
ENSG00000261371.5,chr17,64363148,64363400,TSS,True,580,775
ENSG00000141510.17,chr17,7687376,7687550,TSS,True,62,129
ENSG00000141510.17,chr17,7675993,7676318,TSS,True,101,128
ENSG00000141510.17,chr17,7675052,7675643,TSS,True,115,128
ENSG00000185504.16,chr17,81546908,81548162,TSS,True,51,100
ENSG00000185504.16,chr17,81552165,81553133,TSS,True,75,100
ENSG00000108559.11,chr17,5384156,5386269,PAS,True,66,190
ENSG00000108559.11,chr17,5387597,5387670,PAS,True,152,190
ENSG00000179593.15,chr17,8045686,8046906,ES,False,47,292
ENSG00000179593.15,chr17,8039010,8039302,TSS,True,78,310
ENSG00000132471.11,chr17,75855238,75855369,TSS,True,202,384
ENSG00000005882.11,chr17,50095294,50095553,TSS,True,15,145
ENSG00000108823.15,chr17,50165995,50166077,TSS,True,13,125
ENSG00000131467.10,chr17,42833140,42833673,TSS,True,40,185
ENSG00000109079.9,chr17,28335711,28335856,TSS,True,100,184
ENSG00000109079.9,chr17,28340306,28340478,TSS,True,152,184
ENSG00000109079.9,chr17,28341226,28341326,TSS,True,158,184
ENSG00000167183.2,chr17,47953263,47957656,3AS,True,239,279
ENSG00000167183.2,chr17,47951966,47953263,PAS,False,47,291
ENSG00000167183.2,chr17,47951969,47953266,PAS,True,249,291
ENSG00000166482.11,chr17,19387149,19387224,TSS,False,70,357
ENSG00000187838.16,chr17,7394159,7394476,3AS,False,22,127
ENSG00000187838.16,chr17,7394267,7394476,3AS,False,73,105
ENSG00000187838.16,chr17,7394476,7394865,TSS,False,47,174
ENSG00000187838.16,chr17,7394103,7394563,TSS,True,144,174
ENSG00000126581.12,chr17,42823879,42824154,5AS,False,618,911
ENSG00000126581.12,chr17,42824132,42824301,TSS,True,647,940
ENSG00000126581.12,chr17,42824154,42824315,TSS,True,320,940
ENSG00000171298.12,chr17,80101141,80101625,TSS,True,563,657
ENSG00000171298.12,chr17,80112729,80113027,TSS,True,295,642
ENSG00000011028.13,chr17,62688802,62689760,TSS,True,238,315
ENSG00000011028.13,chr17,62689755,62690062,TSS,True,208,315
ENSG00000121067.17,chr17,49622876,49677932,ME,False,109,223
ENSG00000121067.17,chr17,49622876,49668026,ES,False,94,143
ENSG00000121067.17,chr17,49622876,49677932,ME,False,108,223
ENSG00000121067.17,chr17,49622876,49675894,ES,False,52,122
ENSG00000121067.17,chr17,49622876,49677932,ME,False,51,223
ENSG00000121067.17,chr17,49622876,49677932,ES,False,559,889
ENSG00000121067.17,chr17,49636809,49677932,ES,False,118,181
ENSG00000121067.17,chr17,49668078,49677932,ES,False,92,145
ENSG00000166685.11,chr17,73193384,73196506,3AS,False,143,206
ENSG00000166685.11,chr17,73192996,73193384,TSS,True,33,239
ENSG00000166685.11,chr17,73208313,73209428,PAS,True,40,239
ENSG00000271447.5,chr17,35766760,35767751,3AS,True,63,433
ENSG00000271447.5,chr17,35770312,35778887,ES,False,67,426
ENSG00000271447.5,chr17,35765850,35766894,PAS,False,118,485
ENSG00000271447.5,chr17,35765850,35766760,PAS,True,421,485
ENSG00000271447.5,chr17,35795266,35795645,TSS,True,51,485
ENSG00000108433.16,chr17,46923103,46923221,TSS,True,67,183
ENSG00000108433.16,chr17,46938598,46944788,PAS,True,66,136
ENSG00000108433.16,chr17,46935028,46936964,PAS,True,99,134
ENSG00000161649.12,chr17,43847118,43847259,TSS,True,62,125
ENSG00000161649.12,chr17,43848567,43848893,TSS,True,82,125
ENSG00000013306.15,chr17,44322528,44322807,3AS,False,688,882
ENSG00000109099.14,chr17,15262428,15262555,TSS,True,530,1535
ENSG00000109099.14,chr17,15265153,15265326,TSS,True,1251,1535
ENSG00000176974.19,chr17,18333288,18340042,ES,False,84,309
ENSG00000176974.19,chr17,18363371,18363561,TSS,True,53,334
ENSG00000136450.12,chr17,58004001,58004922,IR,False,18,155
ENSG00000136450.12,chr17,58000922,58004001,PAS,True,140,158
ENSG00000136450.12,chr17,58000923,58005600,PAS,True,23,157
ENSG00000006282.20,chr17,50547285,50547719,3AS,False,97,260
ENSG00000006282.20,chr17,50547285,50548282,ES,False,47,308
ENSG00000006282.20,chr17,50547128,50547285,TSS,True,66,376
ENSG00000108588.13,chr17,63745248,63746961,PAS,True,241,788
ENSG00000108588.13,chr17,63751760,63752107,PAS,True,671,787
ENSG00000108588.13,chr17,63752318,63752429,PAS,True,670,785
ENSG00000121057.12,chr17,57085170,57085398,TSS,False,102,124
ENSG00000121057.12,chr17,57105439,57107178,TSS,True,69,123
ENSG00000175866.15,chr17,81034272,81035308,TSS,True,69,149
ENSG00000175866.15,chr17,81115769,81117424,PAS,True,70,147
ENSG00000175866.15,chr17,81108967,81110516,PAS,True,97,140
ENSG00000133026.12,chr17,8623277,8630653,ES,True,391,444
ENSG00000133026.12,chr17,8512463,8512657,PAS,True,83,495
ENSG00000133026.12,chr17,8517171,8518791,PAS,True,429,494
ENSG00000133026.12,chr17,8630653,8630906,TSS,True,74,524
ENSG00000109016.17,chr17,21126927,21126991,TSS,False,36,227
ENSG00000167842.15,chr17,5486384,5486684,TSS,True,11,109
ENSG00000177885.14,chr17,75405488,75405707,TSS,True,104,521
ENSG00000169727.12,chr17,82054049,82054509,3AS,False,723,875
ENSG00000169727.12,chr17,82054975,82055164,3AS,False,133,884
ENSG00000163597.14,chr17,76557857,76561287,ES,False,362,611
ENSG00000167536.13,chr17,28902817,28903004,TSS,True,19,172
ENSG00000128309.16,chr22,37019872,37024191,ES,False,91,109
ENSG00000128309.16,chr22,37019036,37019774,TSS,True,207,462
ENSG00000128309.16,chr22,37019747,37019872,TSS,True,353,462
ENSG00000128309.16,chr22,37024188,37024810,TSS,False,380,462
ENSG00000182541.17,chr22,31212166,31212424,TSS,True,76,133
ENSG00000182541.17,chr22,31248220,31248769,TSS,True,105,133
ENSG00000182541.17,chr22,31262595,31262791,TSS,True,110,124
ENSG00000182541.17,chr22,31278296,31280080,PAS,True,37,124
ENSG00000182541.17,chr22,31276788,31277638,PAS,False,105,124
ENSG00000099956.19,chr22,23791867,23793558,5AS,False,333,590
ENSG00000100412.15,chr22,41468798,41469182,TSS,False,67,322
ENSG00000054611.13,chr22,46762618,46762848,TSS,True,35,203
ENSG00000054611.13,chr22,47173497,47175698,PAS,True,22,199
ENSG00000100031.18,chr22,24610531,24611077,3AS,False,17,101
ENSG00000100031.18,chr22,24603142,24603321,TSS,True,81,118
ENSG00000100031.18,chr22,24603140,24603527,TSS,True,95,118
ENSG00000100031.18,chr22,24607548,24607732,TSS,True,91,118
ENSG00000070010.18,chr22,19479082,19479772,TSS,False,13,104
ENSG00000253352.9,chr22,30969232,30971779,TSS,True,105,141
ENSG00000253352.9,chr22,30969223,30973601,TSS,True,114,141
ENSG00000253352.9,chr22,30972466,30973587,TSS,True,121,141
ENSG00000253352.9,chr22,30975169,30979395,PAS,True,34,133
ENSG00000100109.16,chr22,26512393,26512505,TSS,True,23,143
ENSG00000100325.14,chr22,29825257,29832244,ES,False,30,164
ENSG00000100325.14,chr22,29825780,29832244,ES,False,119,133
ENSG00000100325.14,chr22,29832342,29838177,ES,False,64,151
ENSG00000100325.14,chr22,29838177,29838308,TSS,True,136,324
ENSG00000100325.14,chr22,29825086,29826070,TSS,True,224,321
ENSG00000241878.11,chr22,31621885,31648100,ES,True,101,114
ENSG00000241878.11,chr22,31626016,31630803,5AS,True,112,128
ENSG00000241878.11,chr22,31662143,31662415,TSS,True,213,323
ENSG00000241878.11,chr22,31630803,31630872,TSS,True,191,322
ENSG00000100413.16,chr22,41532157,41532658,5AS,False,195,222
ENSG00000100413.16,chr22,41543990,41544493,TSS,True,41,253
ENSG00000100335.14,chr22,39502250,39502437,TSS,True,72,103
ENSG00000100258.17,chr22,50506034,50506584,TSS,True,252,395
ENSG00000100258.17,chr22,50507581,50507802,TSS,True,230,395
ENSG00000198911.11,chr22,41832415,41833358,TSS,True,153,181
ENSG00000198911.11,chr22,41902995,41903155,TSS,True,127,157
ENSG00000198911.11,chr22,41905439,41907308,PAS,True,27,119
ENSG00000100292.16,chr22,35381091,35381196,TSS,False,65,310
ENSG00000100292.16,chr22,35386808,35387176,TSS,True,253,310
ENSG00000100296.13,chr22,29529239,29531830,ES,False,144,200
ENSG00000100296.13,chr22,29549158,29553670,ES,False,124,180
ENSG00000100296.13,chr22,29553670,29555387,TSS,False,26,207
ENSG00000100280.16,chr22,29356425,29356611,TSS,True,113,152
ENSG00000100280.16,chr22,29388423,29388588,TSS,True,141,162
ENSG00000100280.16,chr22,29334264,29334383,TSS,True,98,151
ENSG00000025708.13,chr22,50528610,50529135,IR,False,171,255
ENSG00000025708.13,chr22,50529338,50529495,IR,False,165,255
ENSG00000025708.13,chr22,50529719,50529903,3AS,False,98,141
ENSG00000025708.13,chr22,50529719,50529903,IR,False,98,138
ENSG00000025708.13,chr22,50523569,50525918,PAS,True,94,264
ENSG00000025708.13,chr22,50529495,50530026,TSS,True,229,264
ENSG00000025708.13,chr22,50529903,50530341,TSS,True,121,264
ENSG00000100266.18,chr22,43015020,43015191,TSS,True,69,260
ENSG00000239900.12,chr22,40364365,40366435,ES,False,47,467
ENSG00000099910.16,chr22,20495759,20495866,TSS,True,31,110
ENSG00000099910.16,chr22,20464857,20465343,TSS,True,95,110
ENSG00000099910.16,chr22,20488984,20491914,TSS,True,97,110
ENSG00000100029.17,chr22,30591809,30591924,TSS,True,87,219
ENSG00000100029.17,chr22,30588020,30588172,TSS,False,162,219
ENSG00000100014.19,chr22,24270983,24302194,ES,False,101,176
ENSG00000100014.19,chr22,24270802,24270983,TSS,True,38,214
ENSG00000100014.19,chr22,24321287,24322697,PAS,True,122,186
ENSG00000100014.19,chr22,24324219,24324427,PAS,False,132,191
ENSG00000100014.19,chr22,24328845,24328884,PAS,True,154,191
ENSG00000183597.15,chr22,20021134,20036759,5AS,False,107,158
ENSG00000183597.15,chr22,20036854,20043354,5AS,False,130,176
ENSG00000183597.15,chr22,20052584,20055942,ES,False,36,148
ENSG00000183597.15,chr22,20052584,20061529,ES,False,29,166
ENSG00000183597.15,chr22,20021064,20021134,TSS,True,88,195
ENSG00000183597.15,chr22,20021099,20021246,TSS,False,144,195
ENSG00000099998.17,chr22,24220116,24224995,ES,False,138,155
ENSG00000099998.17,chr22,24225411,24225545,3AS,False,130,145
ENSG00000099998.17,chr22,24244552,24245748,TSS,True,20,159
ENSG00000184164.14,chr22,49921761,49922611,ES,False,244,274
ENSG00000100055.20,chr22,37282437,37282588,TSS,True,46,122
ENSG00000100083.18,chr22,37608447,37608903,TSS,True,54,116
ENSG00000100083.18,chr22,37632600,37633566,PAS,True,34,116
ENSG00000128284.19,chr22,36160668,36160954,TSS,True,27,125
ENSG00000186716.20,chr22,23180497,23182239,TSS,True,74,113
ENSG00000186716.20,chr22,23261353,23261540,TSS,True,100,113
ENSG00000138867.16,chr22,24554948,24555187,TSS,True,94,138
ENSG00000138867.16,chr22,24555614,24555941,TSS,True,116,138
ENSG00000196576.14,chr22,50282710,50283097,TSS,False,233,311
ENSG00000196576.14,chr22,50281565,50281743,TSS,True,226,311
ENSG00000213923.11,chr22,38290689,38291938,PAS,False,99,141
ENSG00000213923.11,chr22,38296205,38298934,PAS,True,76,117
ENSG00000213923.11,chr22,38299894,38300045,TSS,True,60,143
ENSG00000198951.11,chr22,42070366,42070762,3AS,False,33,103
ENSG00000198951.11,chr22,42070366,42070762,IR,True,33,139
ENSG00000198951.11,chr22,42070373,42070762,IR,True,69,175
ENSG00000198951.11,chr22,42070281,42070901,TSS,True,163,271
ENSG00000198951.11,chr22,42070762,42070847,TSS,False,168,271
ENSG00000242247.10,chr22,42808890,42817141,ES,False,65,383
ENSG00000185651.14,chr22,21567704,21567771,TSS,False,47,218
ENSG00000185651.14,chr22,21610907,21611043,TSS,True,188,216
ENSG00000100342.20,chr22,36266107,36266888,IR,False,24,174
ENSG00000100342.20,chr22,36266834,36267525,PAS,True,151,184
ENSG00000100342.20,chr22,36266847,36267524,PAS,True,151,184
ENSG00000100342.20,chr22,36266888,36267523,PAS,False,160,184
ENSG00000100342.20,chr22,36266840,36267530,PAS,True,99,184
ENSG00000100345.21,chr22,36281276,36282785,PAS,False,95,425
ENSG00000100345.21,chr22,36387806,36388109,TSS,False,413,483
ENSG00000100345.21,chr22,36284092,36284195,TSS,True,278,390
ENSG00000079974.17,chr22,50783500,50783680,TSS,True,28,110
ENSG00000075234.16,chr22,46289899,46292790,ES,True,96,111
ENSG00000075234.16,chr22,46265158,46268072,TSS,True,23,119
ENSG00000100242.15,chr22,38738872,38738990,TSS,True,380,449
ENSG00000100263.13,chr22,29260864,29263834,3AS,False,131,146
ENSG00000100263.13,chr22,29259849,29260237,PAS,True,52,209
ENSG00000100263.13,chr22,29263487,29265668,PAS,True,153,203
ENSG00000100263.13,chr22,29267747,29268224,TSS,True,21,209
ENSG00000170638.9,chr22,50185976,50193026,5AS,False,193,328
ENSG00000170638.9,chr22,50186001,50193026,5AS,True,117,137
ENSG00000170638.9,chr22,50197995,50198074,IR,False,311,392
ENSG00000170638.9,chr22,50185898,50185976,TSS,True,208,402
ENSG00000170638.9,chr22,50185870,50186001,TSS,True,283,402
ENSG00000070413.19,chr22,19036280,19039121,PAS,True,31,130
ENSG00000070413.19,chr22,19036285,19041294,PAS,True,93,110
ENSG00000070413.19,chr22,19122127,19122446,TSS,True,117,194
ENSG00000070413.19,chr22,19041057,19041276,TSS,True,161,181
ENSG00000070413.19,chr22,19056985,19060697,TSS,True,165,187
ENSG00000198355.4,chr22,49960472,49961032,TSS,False,157,186
ENSG00000198355.4,chr22,49960754,49961811,TSS,True,73,186
ENSG00000198355.4,chr22,49960771,49962865,TSS,True,167,186
ENSG00000100288.19,chr22,50580271,50580357,IR,False,175,201
ENSG00000099940.11,chr22,20858964,20859347,TSS,True,54,122
ENSG00000099940.11,chr22,20870450,20870533,TSS,True,93,122
ENSG00000128294.15,chr22,26590052,26590158,TSS,True,52,481
ENSG00000100138.14,chr22,41688793,41688884,TSS,True,87,455
ENSG00000100138.14,chr22,41682355,41682453,TSS,True,389,450
ENSG00000189306.10,chr22,42519713,42519822,TSS,True,49,399
ENSG00000100300.17,chr22,43151524,43151604,TSS,True,18,127
ENSG00000100417.11,chr22,41584058,41584280,IR,False,202,230
ENSG00000184470.20,chr22,19875517,19875807,PAS,True,19,111
ENSG00000184470.20,chr22,19941700,19941926,TSS,True,22,111
ENSG00000177096.8,chr22,42074231,42074341,TSS,False,26,255
ENSG00000099899.14,chr22,20115079,20115265,IR,False,205,242
ENSG00000099899.14,chr22,20115447,20115671,IR,False,212,237
ENSG00000099899.14,chr22,20116972,20117096,IR,False,69,243
ENSG00000099899.14,chr22,20116882,20117355,TSS,True,82,260
ENSG00000099899.14,chr22,20117096,20117336,TSS,True,191,260
ENSG00000100416.13,chr22,46337944,46346421,ES,False,27,154
ENSG00000100416.13,chr22,46346544,46350345,3AS,False,38,130
ENSG00000100416.13,chr22,46346544,46350349,3AS,False,24,154
ENSG00000100416.13,chr22,46355588,46355989,IR,False,127,149
ENSG00000100416.13,chr22,46356841,46357344,PAS,True,25,167
ENSG00000100225.17,chr22,32475124,32479132,3AS,False,240,798
ENSG00000100225.17,chr22,32475398,32479132,3AS,False,70,280
ENSG00000100225.17,chr22,32474703,32475124,TSS,True,306,1131
ENSG00000100225.17,chr22,32475222,32475398,TSS,True,844,1131
ENSG00000100124.14,chr22,37843910,37844447,TSS,True,22,108
ENSG00000100124.14,chr22,37832957,37833062,TSS,True,93,108
ENSG00000186575.17,chr22,29603521,29604112,TSS,True,50,175
ENSG00000186575.17,chr22,29694751,29698598,PAS,True,45,126
ENSG00000186575.17,chr22,29678195,29679892,PAS,True,92,126
ENSG00000100116.16,chr22,37816928,37818142,PAS,False,126,142
ENSG00000100116.16,chr22,37816566,37817324,PAS,True,21,142
ENSG00000184436.11,chr22,21000787,21001255,IR,False,70,142
ENSG00000184436.11,chr22,21000646,21001779,TSS,True,85,145
ENSG00000184436.11,chr22,21002085,21002122,TSS,True,123,145
