gene,chr,start,end,splice_type,novel,progenitor_cell_of_endocrine_pancreas_ENCFF803KIA_in_cov,progenitor_cell_of_endocrine_pancreas_ENCFF803KIA_total_cov
ENSG00000108465.14,chr17,47971152,47971361,IR,False,449,519
ENSG00000108465.14,chr17,47974448,47975158,IR,False,246,531
ENSG00000108465.14,chr17,47975653,47975868,IR,False,257,553
ENSG00000108465.14,chr17,47971015,47971152,TSS,True,123,573
ENSG00000108465.14,chr17,47971020,47971407,TSS,True,491,573
ENSG00000087191.12,chr17,63827380,63827514,TSS,True,53,341
ENSG00000136504.11,chr17,49805445,49811475,ES,False,32,207
ENSG00000109113.19,chr17,28715122,28715218,5AS,False,44,187
ENSG00000109113.19,chr17,28717212,28718419,TSS,True,88,193
ENSG00000109113.19,chr17,28718121,28718530,TSS,True,129,193
ENSG00000161526.14,chr17,75702571,75703310,IR,True,111,124
ENSG00000167721.10,chr17,2336330,2337628,TSS,False,52,382
ENSG00000161547.16,chr17,76734114,76735158,PAS,True,14,101
ENSG00000161547.16,chr17,76736798,76737877,TSS,True,14,111
ENSG00000109046.14,chr17,27306882,27309099,ES,True,1241,1481
ENSG00000109046.14,chr17,27306882,27309099,3AS,False,1241,1733
ENSG00000109046.14,chr17,27307907,27309099,5AS,True,39,235
ENSG00000109046.14,chr17,27307919,27309099,IR,True,174,654
ENSG00000109046.14,chr17,27312209,27313631,PAS,True,284,2269
ENSG00000073969.18,chr17,46590543,46590787,TSS,True,17,108
ENSG00000087157.18,chr17,78392665,78398251,ES,False,13,121
ENSG00000087157.18,chr17,78404089,78414951,3AS,False,33,122
ENSG00000087157.18,chr17,78419675,78424060,5AS,False,83,116
ENSG00000168259.14,chr17,41987910,41988731,IR,True,162,220
ENSG00000168259.14,chr17,41976420,41976770,PAS,True,98,224
ENSG00000168259.14,chr17,41983563,41983636,PAS,True,197,224
ENSG00000168259.14,chr17,41986549,41988896,PAS,True,172,224
ENSG00000168259.14,chr17,42017339,42017940,TSS,True,44,224
ENSG00000168259.14,chr17,42017051,42017170,TSS,True,199,224
ENSG00000161654.9,chr17,44066463,44066677,TSS,True,32,107
ENSG00000159217.9,chr17,49043550,49043969,3AS,True,26,174
ENSG00000159217.9,chr17,48996835,48997920,TSS,True,120,269
ENSG00000175061.17,chr17,16439414,16439580,3AS,False,42,146
ENSG00000175061.17,chr17,16439414,16439659,3AS,False,34,181
ENSG00000175061.17,chr17,16439414,16440184,ES,False,533,707
ENSG00000175061.17,chr17,16438983,16439060,TSS,True,115,741
ENSG00000175061.17,chr17,16438984,16439414,TSS,True,639,741
ENSG00000108406.9,chr17,59607032,59608352,PAS,True,23,195
ENSG00000108406.9,chr17,59605445,59605653,PAS,False,175,195
ENSG00000006125.17,chr17,35657791,35671753,ES,False,102,172
ENSG00000006125.17,chr17,35587263,35587428,TSS,True,45,196
ENSG00000006125.17,chr17,35723624,35726413,PAS,True,29,195
ENSG00000108984.14,chr17,69414696,69415000,TSS,True,74,156
ENSG00000108984.14,chr17,69502176,69502417,TSS,True,130,156
ENSG00000108984.14,chr17,69502154,69502685,TSS,True,114,156
ENSG00000187607.15,chr17,15699714,15699777,TSS,False,54,105
ENSG00000187607.15,chr17,15699760,15700366,TSS,True,71,105
ENSG00000108592.16,chr17,63826835,63827065,TSS,True,231,273
ENSG00000108592.16,chr17,63827051,63827671,TSS,True,52,273
ENSG00000006744.18,chr17,13017702,13018044,TSS,True,81,407
ENSG00000006744.18,chr17,13017566,13017702,TSS,True,357,407
ENSG00000177731.15,chr17,18251813,18251998,3AS,False,85,216
ENSG00000177731.15,chr17,18244781,18245272,PAS,True,45,251
ENSG00000177731.15,chr17,18248798,18248883,PAS,True,197,229
ENSG00000177731.15,chr17,18258627,18258774,TSS,True,44,251
ENSG00000108559.11,chr17,5384156,5386269,PAS,True,131,396
ENSG00000108559.11,chr17,5387597,5387670,PAS,True,335,396
ENSG00000172809.12,chr17,74203710,74203917,5AS,False,28,148
ENSG00000172809.12,chr17,74203674,74203710,TSS,False,127,155
ENSG00000172809.12,chr17,74203671,74203745,TSS,True,39,155
ENSG00000131747.14,chr17,40395445,40395539,PAS,True,309,364
ENSG00000131747.14,chr17,40396282,40396465,PAS,False,292,364
ENSG00000131747.14,chr17,40398771,40398937,PAS,True,303,364
ENSG00000131747.14,chr17,40398785,40400067,PAS,True,298,364
ENSG00000131747.14,chr17,40417770,40417978,TSS,False,39,372
ENSG00000131469.14,chr17,42998395,42998471,TSS,False,50,252
ENSG00000131469.14,chr17,42998448,42998831,TSS,False,213,252
ENSG00000189050.15,chr17,59958444,59962539,ES,False,14,109
ENSG00000189050.15,chr17,59958444,59962826,ES,False,15,126
ENSG00000173812.10,chr17,41688884,41689069,TSS,False,35,139
ENSG00000173812.10,chr17,41688907,41689941,TSS,False,120,139
ENSG00000179409.10,chr17,752132,752275,TSS,True,62,249
ENSG00000259024.6,chr17,15438200,15540432,ES,True,31,152
ENSG00000259024.6,chr17,15440285,15540432,ES,True,62,107
ENSG00000109079.9,chr17,28335711,28335856,TSS,True,29,126
ENSG00000089685.14,chr17,78214789,78216663,ES,False,276,307
ENSG00000167183.2,chr17,47953263,47957656,3AS,True,144,167
ENSG00000167183.2,chr17,47951966,47953263,PAS,False,26,175
ENSG00000167183.2,chr17,47951969,47953266,PAS,True,151,175
ENSG00000108424.9,chr17,47649719,47650284,TSS,True,142,199
ENSG00000108424.9,chr17,47668196,47668410,TSS,False,175,198
ENSG00000126581.12,chr17,42818877,42819547,IR,False,213,276
ENSG00000126581.12,chr17,42823879,42824154,5AS,False,165,282
ENSG00000126581.12,chr17,42824132,42824301,TSS,True,171,288
ENSG00000126581.12,chr17,42824154,42824315,TSS,True,123,288
ENSG00000121067.17,chr17,49622876,49677932,ES,False,305,375
ENSG00000166685.11,chr17,73208313,73209428,PAS,True,69,308
ENSG00000167840.13,chr17,5106506,5108925,3AS,False,32,152
ENSG00000167840.13,chr17,5109052,5109393,IR,False,116,143
ENSG00000167840.13,chr17,5109868,5111799,ES,False,69,132
ENSG00000167840.13,chr17,5105549,5106533,PAS,True,51,171
ENSG00000167840.13,chr17,5105615,5106506,PAS,True,136,171
ENSG00000167840.13,chr17,5111799,5111924,TSS,True,23,172
ENSG00000167840.13,chr17,5122976,5123154,TSS,True,151,172
ENSG00000108433.16,chr17,46938598,46944788,PAS,True,90,307
ENSG00000108433.16,chr17,46935028,46936964,PAS,True,268,305
ENSG00000013306.15,chr17,44322528,44322807,3AS,False,164,201
ENSG00000176974.19,chr17,18333288,18340042,ES,False,32,202
ENSG00000176974.19,chr17,18356000,18363371,ES,False,181,204
ENSG00000136450.12,chr17,58004001,58004922,IR,False,45,400
ENSG00000136450.12,chr17,58000922,58004001,PAS,True,356,401
ENSG00000136450.12,chr17,58000923,58005600,PAS,True,65,401
ENSG00000006282.20,chr17,50547285,50547719,3AS,False,64,163
ENSG00000006282.20,chr17,50547285,50548282,ES,False,25,186
ENSG00000108588.13,chr17,63745248,63746961,PAS,True,46,238
ENSG00000108588.13,chr17,63752318,63752429,PAS,True,209,235
ENSG00000182628.12,chr17,59155130,59155216,TSS,True,15,104
ENSG00000174231.16,chr17,1650624,1650956,PAS,True,35,215
ENSG00000174231.16,chr17,1659356,1659988,TSS,True,144,182
ENSG00000174231.16,chr17,1684779,1684871,TSS,True,192,215
ENSG00000125450.10,chr17,75205390,75205794,TSS,True,20,177
ENSG00000133026.12,chr17,8569812,8577235,ES,False,1121,2228
ENSG00000133026.12,chr17,8576669,8577235,3AS,False,124,1108
ENSG00000133026.12,chr17,8623277,8630653,ES,True,1782,2014
ENSG00000133026.12,chr17,8623277,8630920,ES,True,101,120
ENSG00000133026.12,chr17,8512463,8512657,PAS,True,469,2275
ENSG00000133026.12,chr17,8517171,8518791,PAS,True,1992,2275
ENSG00000133026.12,chr17,8490339,8491058,TSS,True,99,114
ENSG00000133026.12,chr17,8630653,8630906,TSS,True,357,2390
ENSG00000167842.15,chr17,5486684,5488822,ES,False,144,204
ENSG00000167842.15,chr17,5486384,5486684,TSS,True,25,229
ENSG00000177885.14,chr17,75393550,75393855,TSS,True,41,102
ENSG00000177885.14,chr17,75405488,75405707,TSS,True,68,102
ENSG00000169727.12,chr17,82054049,82054509,3AS,False,136,170
ENSG00000169727.12,chr17,82054975,82055164,3AS,False,28,174
ENSG00000169727.12,chr17,82051099,82051524,TSS,True,155,175
ENSG00000169727.12,chr17,82051518,82051964,TSS,False,32,175
ENSG00000163597.14,chr17,76557857,76561287,ES,False,778,1392
ENSG00000133424.20,chr22,33304228,33304348,TSS,True,108,169
ENSG00000100325.14,chr22,29838177,29838308,TSS,True,16,113
ENSG00000183530.13,chr22,31725610,31749992,ES,False,13,111
ENSG00000183530.13,chr22,31749992,31750187,TSS,True,43,155
ENSG00000241878.11,chr22,31662143,31662415,TSS,True,31,125
ENSG00000241878.11,chr22,31630803,31630872,TSS,True,101,123
ENSG00000100335.14,chr22,39504534,39511287,ES,False,113,126
ENSG00000100335.14,chr22,39512026,39512317,3AS,False,49,129
ENSG00000100335.14,chr22,39502250,39502437,TSS,True,16,140
ENSG00000100296.13,chr22,29549158,29553670,ES,False,99,145
ENSG00000100296.13,chr22,29553670,29555387,TSS,False,106,251
ENSG00000100296.13,chr22,29553447,29553675,TSS,True,164,251
ENSG00000239900.12,chr22,40364365,40366435,ES,False,67,494
ENSG00000100014.19,chr22,24270983,24302194,ES,False,156,201
ENSG00000100014.19,chr22,24321287,24322697,PAS,True,149,209
ENSG00000100014.19,chr22,24324219,24324427,PAS,False,117,211
ENSG00000100014.19,chr22,24328845,24328884,PAS,True,180,212
ENSG00000196419.12,chr22,41621410,41621989,5AS,True,94,112
ENSG00000100345.21,chr22,36288750,36288939,PAS,True,94,107
ENSG00000100345.21,chr22,36300849,36301057,PAS,False,55,101
ENSG00000100345.21,chr22,36387806,36388109,TSS,False,18,108
ENSG00000075234.16,chr22,46289899,46292790,ES,True,89,102
ENSG00000100138.14,chr22,41688793,41688884,TSS,True,124,318
ENSG00000100138.14,chr22,41682355,41682453,TSS,True,208,312
ENSG00000100225.17,chr22,32475124,32479132,3AS,False,39,320
ENSG00000100225.17,chr22,32474703,32475124,TSS,True,99,431
ENSG00000100225.17,chr22,32475222,32475398,TSS,True,340,431
ENSG00000100201.20,chr22,38483437,38486440,PAS,True,183,207
ENSG00000100201.20,chr22,38488035,38492115,PAS,True,156,206
ENSG00000100201.20,chr22,38492504,38494131,PAS,True,151,206
ENSG00000100201.20,chr22,38492503,38494802,PAS,True,144,205
ENSG00000100201.20,chr22,38505950,38506341,TSS,True,216,417
ENSG00000100099.20,chr22,26465551,26466225,ES,False,127,143
ENSG00000100099.20,chr22,26470813,26472301,ES,False,129,146
ENSG00000100099.20,chr22,26482240,26483764,5AS,False,55,136
ENSG00000100099.20,chr22,26451474,26453404,PAS,True,21,169
ENSG00000100099.20,chr22,26483764,26483865,TSS,True,112,170
ENSG00000100099.20,chr22,26483673,26483828,TSS,True,94,170
ENSG00000280623.1,chr22,23537113,23538760,5AS,True,18,157
ENSG00000280623.1,chr22,23537136,23538760,3AS,True,139,158
ENSG00000280623.1,chr22,23537136,23538760,IR,True,139,198
ENSG00000280623.1,chr22,23536865,23537136,TSS,True,97,255
ENSG00000280623.1,chr22,23538760,23542614,PAS,True,102,247
ENSG00000100320.22,chr22,35840191,35840472,TSS,True,44,127
ENSG00000100297.15,chr22,35424153,35425430,PAS,False,44,421
ENSG00000100395.14,chr22,41230138,41231621,PAS,True,80,293
ENSG00000100395.14,chr22,41227803,41228254,PAS,False,213,293
ENSG00000093000.18,chr22,45162438,45164296,TSS,True,24,123
ENSG00000241484.9,chr22,44752555,44752627,TSS,True,65,158
ENSG00000241484.9,chr22,44785405,44786606,TSS,True,102,158
ENSG00000241484.9,chr22,44862274,44862787,PAS,True,17,158
ENSG00000025770.18,chr22,50522415,50522500,3AS,False,93,105
ENSG00000099968.17,chr22,17689142,17702242,ES,False,23,119
ENSG00000099968.17,chr22,17638560,17638886,TSS,True,24,161
ENSG00000077942.18,chr22,45502614,45503064,TSS,False,52,325
ENSG00000077942.18,chr22,45562911,45563362,PAS,True,119,325
ENSG00000077942.18,chr22,45600306,45602846,PAS,False,208,325
ENSG00000182944.17,chr22,29288786,29291564,3AS,False,208,397
ENSG00000182944.17,chr22,29268100,29268349,TSS,True,145,568
ENSG00000182944.17,chr22,29300121,29300999,PAS,True,94,567
ENSG00000182944.17,chr22,29288605,29289694,PAS,True,463,535
ENSG00000100227.17,chr22,42614798,42614964,TSS,True,63,572
ENSG00000100359.20,chr22,40400813,40402138,ES,False,36,141
ENSG00000100359.20,chr22,40409018,40409249,IR,False,114,133
ENSG00000100359.20,chr22,40409681,40410292,PAS,True,16,150
ENSG00000136811.16,chr9,128456255,128459566,ES,False,262,292
ENSG00000136811.16,chr9,128459657,128460549,3AS,False,32,285
ENSG00000136811.16,chr9,128461010,128469182,5AS,False,49,250
ENSG00000136811.16,chr9,128461067,128471307,ES,False,35,235
ENSG00000136811.16,chr9,128500066,128501296,PAS,True,48,313
ENSG00000136811.16,chr9,128494509,128497424,PAS,True,274,310
ENSG00000197694.15,chr9,128552523,128552696,TSS,True,124,206
ENSG00000197694.15,chr9,128607876,128608049,TSS,False,106,121
ENSG00000197694.15,chr9,128633208,128633663,PAS,True,92,206
ENSG00000136875.12,chr9,113275770,113276547,3AS,False,278,346
ENSG00000137040.9,chr9,6014356,6015471,IR,False,14,125
ENSG00000137040.9,chr9,6011043,6014356,PAS,True,112,129
ENSG00000137040.9,chr9,6015471,6015622,TSS,False,114,129
ENSG00000172785.18,chr9,175784,178815,ES,False,117,146
ENSG00000198722.14,chr9,35161930,35162305,TSS,True,95,107
ENSG00000165282.13,chr9,35096560,35096634,TSS,True,49,108
ENSG00000165282.13,chr9,35095054,35096567,TSS,True,97,108
ENSG00000165282.13,chr9,35096154,35096587,TSS,True,92,108
ENSG00000196305.17,chr9,92289426,92293610,5AS,False,286,366
ENSG00000196305.17,chr9,92210051,92210889,PAS,True,167,462
ENSG00000196305.17,chr9,92255606,92256800,PAS,True,362,438
ENSG00000196305.17,chr9,92293440,92293716,TSS,True,383,462
ENSG00000196305.17,chr9,92293610,92293745,TSS,True,169,462
ENSG00000136937.12,chr9,97633411,97633915,TSS,True,27,167
ENSG00000136937.12,chr9,97671085,97674770,PAS,True,22,164
ENSG00000148308.17,chr9,133054809,133056011,ES,False,203,253
ENSG00000148308.17,chr9,133030700,133031164,TSS,True,34,272
ENSG00000106723.16,chr9,88387652,88388538,TSS,True,169,196
ENSG00000148180.19,chr9,121267812,121268219,TSS,True,24,200
ENSG00000197579.7,chr9,32552433,32552624,TSS,False,123,375
ENSG00000197579.7,chr9,32550773,32551059,TSS,True,258,375
ENSG00000169155.9,chr9,126805132,126832486,ES,False,22,143
ENSG00000242616.3,chr9,111666946,111669271,3AS,True,45,148
ENSG00000242616.3,chr9,111669271,111670226,PAS,True,104,149
ENSG00000242616.3,chr9,111669268,111670227,PAS,False,46,149
ENSG00000198887.8,chr9,70300045,70303210,PAS,True,87,101
ENSG00000198887.8,chr9,70347612,70347634,PAS,True,83,101
ENSG00000198887.8,chr9,70297965,70298746,PAS,True,87,101
ENSG00000165115.14,chr9,83915678,83921370,ES,True,38,104
ENSG00000165115.14,chr9,83877752,83880494,PAS,True,86,113
ENSG00000165115.14,chr9,83899284,83899804,PAS,True,77,112
ENSG00000165115.14,chr9,83885971,83887196,PAS,True,78,113
ENSG00000106853.19,chr9,111599602,111599841,TSS,True,69,136
ENSG00000106853.19,chr9,111599338,111599523,TSS,False,70,136
ENSG00000099810.19,chr9,21861975,21865977,PAS,True,47,246
ENSG00000107290.13,chr9,132354916,132355028,TSS,False,42,243
ENSG00000155827.11,chr9,101552382,101552708,PAS,True,121,425
ENSG00000155827.11,chr9,101562245,101566317,PAS,False,374,434
ENSG00000155827.11,chr9,101554693,101555787,PAS,True,377,431
ENSG00000148303.16,chr9,133348206,133348246,TSS,False,301,1099
ENSG00000148303.16,chr9,133348240,133349042,TSS,True,806,1099
ENSG00000198876.12,chr9,34126353,34126735,TSS,False,24,178
ENSG00000011454.16,chr9,122940989,122941093,TSS,True,55,114
ENSG00000011454.16,chr9,122941000,122941088,TSS,False,75,114
ENSG00000011454.16,chr9,123076633,123078246,PAS,True,49,114
ENSG00000011454.16,chr9,123098714,123098777,PAS,True,101,114
ENSG00000130714.15,chr9,131503073,131506113,ES,False,57,126
ENSG00000135070.14,chr9,86282377,86282574,TSS,True,32,161
ENSG00000135070.14,chr9,86281968,86282305,TSS,False,131,161
ENSG00000148123.14,chr9,101028182,101029102,TSS,False,96,113
ENSG00000148123.14,chr9,101185034,101185255,TSS,False,28,113
ENSG00000135047.14,chr9,87726253,87727593,5AS,False,75,186
ENSG00000135047.14,chr9,87726308,87727593,5AS,False,45,107
ENSG00000135047.14,chr9,87726062,87726253,TSS,False,126,204
ENSG00000135047.14,chr9,87726068,87726308,TSS,True,158,204
ENSG00000135047.14,chr9,87725582,87726398,TSS,True,142,204
ENSG00000106804.7,chr9,120989567,120989780,PAS,True,117,336
ENSG00000106804.7,chr9,121013308,121015261,PAS,True,282,333
ENSG00000213930.11,chr9,34647258,34647491,IR,False,73,121
ENSG00000213930.11,chr9,34647567,34647656,IR,False,53,134
ENSG00000213930.11,chr9,34647705,34647831,IR,False,46,131
ENSG00000213930.11,chr9,34647961,34648114,IR,False,87,123
ENSG00000213930.11,chr9,34648456,34648761,IR,False,81,141
ENSG00000213930.11,chr9,34648894,34648997,IR,False,63,144
ENSG00000213930.11,chr9,34649081,34649409,IR,False,69,141
ENSG00000213930.11,chr9,34646604,34646786,TSS,True,29,150
ENSG00000213930.11,chr9,34650368,34650963,PAS,True,46,150
ENSG00000213930.11,chr9,34648333,34650583,PAS,True,128,148
ENSG00000083223.17,chr9,86323960,86325333,ES,True,104,118
ENSG00000083223.17,chr9,86325514,86328339,ES,False,102,120
ENSG00000083223.17,chr9,86322499,86323960,PAS,False,25,135
ENSG00000083223.17,chr9,86354270,86354523,TSS,True,17,138
ENSG00000198000.11,chr9,92319356,92321667,ES,False,108,122
ENSG00000198000.11,chr9,92324209,92325317,5AS,False,15,110
ENSG00000198000.11,chr9,92305748,92305830,PAS,True,83,125
ENSG00000198000.11,chr9,92314937,92316138,PAS,True,51,125
ENSG00000198000.11,chr9,92325179,92325363,TSS,True,97,126
ENSG00000198000.11,chr9,92325305,92325398,TSS,True,63,126
ENSG00000198000.11,chr9,92325317,92325580,TSS,True,111,126
ENSG00000198000.11,chr9,92324022,92325638,TSS,True,113,126
ENSG00000122692.8,chr9,33044724,33047391,PAS,False,78,327
ENSG00000122692.8,chr9,33053724,33056239,PAS,True,255,326
ENSG00000119392.14,chr9,128504904,128508875,ES,True,181,209
ENSG00000148218.15,chr9,113390676,113390797,IR,False,116,147
ENSG00000187210.13,chr9,76459305,76500915,ES,False,79,216
ENSG00000119335.16,chr9,128683742,128684007,TSS,True,78,252
ENSG00000165283.15,chr9,35103049,35103184,TSS,True,23,227
ENSG00000148187.17,chr9,122322539,122325179,PAS,True,14,101
ENSG00000165119.20,chr9,83969380,83970161,3AS,False,1003,2590
ENSG00000165119.20,chr9,83970804,83971259,IR,True,41,109
ENSG00000165119.20,chr9,83973399,83974516,ES,False,535,2556
ENSG00000165119.20,chr9,83967990,83969440,PAS,True,1023,2607
ENSG00000165119.20,chr9,83968082,83969380,PAS,True,1604,2607
ENSG00000165119.20,chr9,83980502,83980645,TSS,True,1112,2613
ENSG00000165119.20,chr9,83980152,83980270,TSS,True,1680,2613
ENSG00000147853.16,chr9,4722625,4740936,ES,True,150,169
ENSG00000136874.10,chr9,99906645,99906706,TSS,True,23,104
ENSG00000136874.10,chr9,99968433,99974536,PAS,True,16,104
ENSG00000221829.9,chr9,35077399,35078140,IR,True,126,144
ENSG00000221829.9,chr9,35079535,35079730,IR,False,27,133
ENSG00000221829.9,chr9,35079440,35080262,TSS,True,36,149
ENSG00000221829.9,chr9,35079730,35080055,TSS,False,122,149
ENSG00000119321.8,chr9,113221190,113221418,TSS,True,18,100
ENSG00000126878.12,chr9,131096454,131096660,TSS,True,13,108
ENSG00000107201.9,chr9,32491420,32493760,ES,False,11,106
ENSG00000107201.9,chr9,32455304,32457418,PAS,False,101,115
ENSG00000107201.9,chr9,32466358,32466441,PAS,True,36,115
ENSG00000107201.9,chr9,32457009,32459514,PAS,True,98,115
ENSG00000107201.9,chr9,32526060,32526356,TSS,True,38,115
ENSG00000107201.9,chr9,32552433,32552629,TSS,True,91,115
ENSG00000137055.14,chr9,26913947,26919309,ES,False,58,401
ENSG00000137055.14,chr9,26903372,26906076,PAS,True,67,421
ENSG00000119523.9,chr9,99218836,99221546,ES,True,163,196
ENSG00000137106.17,chr9,37422614,37422833,TSS,True,31,101
ENSG00000137106.17,chr9,37422654,37422805,TSS,True,79,101
ENSG00000182150.15,chr9,95971932,95978059,PAS,True,31,113
ENSG00000182150.15,chr9,95880868,95882653,PAS,True,96,111
ENSG00000165688.11,chr9,136416391,136416950,IR,False,431,501
ENSG00000148229.12,chr9,113410227,113410462,TSS,True,18,104
ENSG00000165304.7,chr9,36573007,36581643,ES,True,99,133
ENSG00000165304.7,chr9,36573007,36581643,5AS,False,99,150
ENSG00000165304.7,chr9,36581739,36589535,ES,False,36,176
ENSG00000165304.7,chr9,36651877,36665349,ES,False,24,193
ENSG00000165304.7,chr9,36572839,36573007,TSS,True,61,200
ENSG00000165304.7,chr9,36572858,36573198,TSS,True,144,200
ENSG00000165304.7,chr9,36677159,36677942,PAS,True,24,200
ENSG00000135052.16,chr9,86099410,86099685,TSS,False,92,105
ENSG00000135052.16,chr9,86100024,86100232,TSS,True,56,105
ENSG00000137074.18,chr9,32987731,32988082,IR,False,43,211
ENSG00000137074.18,chr9,32988124,32989758,3AS,False,86,216
ENSG00000137074.18,chr9,32989895,33001566,ES,True,143,165
ENSG00000137074.18,chr9,32989895,33001566,5AS,False,143,167
ENSG00000137074.18,chr9,32971423,32973652,PAS,True,44,264
ENSG00000137074.18,chr9,33001566,33001645,TSS,False,77,244
ENSG00000086102.18,chr9,33332502,33338509,3AS,True,116,146
ENSG00000086102.18,chr9,33290411,33290597,TSS,True,17,151
ENSG00000086102.18,chr9,33347662,33348991,PAS,False,76,150
ENSG00000086102.18,chr9,33347665,33348731,PAS,True,127,150
ENSG00000086102.18,chr9,33369905,33371159,PAS,False,133,151
ENSG00000165219.21,chr9,125261959,125298889,ES,False,123,240
ENSG00000165219.21,chr9,125321499,125323797,5AS,False,57,238
ENSG00000165219.21,chr9,125341176,125342256,PAS,True,154,263
ENSG00000165219.21,chr9,125342218,125342257,PAS,True,140,263
ENSG00000119402.16,chr9,120793359,120793424,TSS,True,75,104
ENSG00000119402.16,chr9,120793353,120793427,TSS,False,58,104
ENSG00000119402.16,chr9,120793148,120793363,TSS,True,87,104
ENSG00000111142.13,chr12,95474330,95476073,3AS,False,46,240
ENSG00000111731.12,chr12,22448547,22449891,PAS,True,45,129
ENSG00000111731.12,chr12,22477128,22478477,PAS,True,106,119
ENSG00000111731.12,chr12,22544060,22544511,TSS,True,103,129
ENSG00000111731.12,chr12,22544319,22544781,TSS,True,60,129
ENSG00000010292.12,chr12,6493347,6494154,TSS,True,83,236
ENSG00000010292.12,chr12,6531326,6531968,PAS,True,77,236
ENSG00000010292.12,chr12,6530920,6531955,PAS,True,178,236
ENSG00000181852.17,chr12,56221902,56221999,TSS,True,223,261
ENSG00000181852.17,chr12,56221759,56221944,TSS,True,61,261
ENSG00000120798.16,chr12,95028509,95031348,3AS,False,20,119
ENSG00000120798.16,chr12,95057878,95058309,IR,False,108,150
ENSG00000120798.16,chr12,95020229,95022403,PAS,True,29,162
ENSG00000092841.18,chr12,56160320,56161386,ES,False,328,371
ENSG00000135108.14,chr12,117158063,117165484,3AS,False,515,762
ENSG00000174718.11,chr12,31959371,31959491,TSS,True,126,834
ENSG00000075856.11,chr12,108544478,108545138,3AS,False,167,194
ENSG00000075856.11,chr12,108522213,108523634,PAS,True,115,214
ENSG00000075856.11,chr12,108530208,108530310,PAS,True,107,209
ENSG00000075856.11,chr12,108560842,108561406,TSS,True,26,219
ENSG00000151491.13,chr12,15620133,15621430,PAS,True,22,120
ENSG00000110871.14,chr12,120522363,120528939,ES,False,152,177
ENSG00000087470.17,chr12,32737161,32738263,ES,False,113,259
ENSG00000087470.17,chr12,32737161,32740063,ME,False,112,174
ENSG00000087470.17,chr12,32737161,32740063,ES,False,71,392
ENSG00000087470.17,chr12,32737942,32740063,ES,False,62,206
ENSG00000087470.17,chr12,32743353,32745552,PAS,True,58,444
ENSG00000111752.10,chr12,8932562,8933350,TSS,False,65,122
ENSG00000111752.10,chr12,8928520,8930927,TSS,True,105,122
ENSG00000134291.11,chr12,47963633,47964208,5AS,False,175,205
ENSG00000134291.11,chr12,47966172,47966682,5AS,False,70,217
ENSG00000134291.11,chr12,47963562,47963633,TSS,False,62,238
ENSG00000134291.11,chr12,47963586,47963704,TSS,True,208,238
ENSG00000134291.11,chr12,47963587,47964423,TSS,True,211,238
ENSG00000091039.16,chr12,76559396,76559873,TSS,True,24,101
ENSG00000111203.12,chr12,2824089,2828254,PAS,True,38,125
ENSG00000196510.12,chr12,110372899,110374333,PAS,True,44,405
ENSG00000196510.12,chr12,110374662,110376216,PAS,True,362,405
ENSG00000130779.20,chr12,122340753,122341697,PAS,True,40,175
ENSG00000130779.20,chr12,122422520,122423000,TSS,True,70,183
ENSG00000130779.20,chr12,122422917,122423332,TSS,True,162,183
ENSG00000139132.14,chr12,32399309,32399959,TSS,True,146,173
ENSG00000139132.14,chr12,32501872,32502338,TSS,True,47,173
ENSG00000139132.14,chr12,32633548,32633677,PAS,True,64,171
ENSG00000139132.14,chr12,32619697,32619870,PAS,True,143,171
ENSG00000211455.7,chr12,27244230,27244332,TSS,True,46,176
ENSG00000211455.7,chr12,27322327,27325961,PAS,True,26,164
ENSG00000122970.15,chr12,110124443,110127359,5AS,False,36,111
ENSG00000122970.15,chr12,110124306,110124443,TSS,True,78,115
ENSG00000122970.15,chr12,110124322,110124861,TSS,True,40,115
ENSG00000122970.15,chr12,110218043,110218795,PAS,True,74,115
ENSG00000122970.15,chr12,110143381,110143546,PAS,True,97,115
ENSG00000122970.15,chr12,110205594,110205671,PAS,True,99,115
ENSG00000122970.15,chr12,110180421,110181725,PAS,True,99,115
ENSG00000057294.14,chr12,32896508,32896832,TSS,True,44,323
ENSG00000063046.17,chr12,53006278,53006496,TSS,True,237,2062
ENSG00000089009.15,chr12,112409586,112409634,TSS,True,296,1250
ENSG00000089009.15,chr12,112408419,112409605,TSS,True,985,1249
ENSG00000111642.15,chr12,6570080,6570693,PAS,True,258,377
ENSG00000111642.15,chr12,6578842,6578917,PAS,True,188,368
ENSG00000111642.15,chr12,6593415,6593614,TSS,True,251,375
ENSG00000089157.15,chr12,120201082,120201113,TSS,True,218,1282
ENSG00000111300.9,chr12,112048443,112053557,ES,False,254,283
ENSG00000196531.10,chr12,56725262,56725531,TSS,True,66,529
ENSG00000134294.13,chr12,46372508,46373583,TSS,True,62,124
ENSG00000198431.15,chr12,104287109,104288930,5AS,False,133,157
ENSG00000198431.15,chr12,104287109,104311289,ES,False,30,160
ENSG00000198431.15,chr12,104286893,104287109,TSS,True,107,270
ENSG00000198431.15,chr12,104286935,104287346,TSS,True,241,270
ENSG00000198431.15,chr12,104286761,104289040,TSS,True,240,270
ENSG00000089053.12,chr12,121328458,121330582,3AS,False,316,943
ENSG00000089693.10,chr12,6747985,6748547,PAS,True,14,134
ENSG00000139636.15,chr12,49101549,49102119,IR,True,108,131
ENSG00000139636.15,chr12,49102196,49102292,IR,False,112,130
