gene,chr,start,end,splice_type,novel,lower_lobe_of_left_lung_ENCFF924HBV_in_cov,lower_lobe_of_left_lung_ENCFF924HBV_total_cov
ENSG00000198355.4,chr22,49960472,49961032,TSS,False,86,463
ENSG00000100300.17,chr22,43151524,43151604,TSS,True,86,218
ENSG00000100300.17,chr22,43159208,43159420,TSS,True,193,218
ENSG00000100300.17,chr22,43161057,43161190,TSS,True,170,218
ENSG00000099977.14,chr22,23974306,23974491,TSS,True,96,114
ENSG00000100225.17,chr22,32474703,32475124,TSS,True,38,100
ENSG00000100225.17,chr22,32475222,32475398,TSS,True,72,100
ENSG00000128272.14,chr22,39520278,39520751,TSS,False,79,115
ENSG00000100129.17,chr22,37849373,37849482,TSS,False,28,252
ENSG00000100097.11,chr22,37675634,37675711,TSS,True,17,116
ENSG00000093010.13,chr22,19941759,19941897,TSS,True,56,183
ENSG00000093010.13,chr22,19962443,19962815,TSS,False,163,183
ENSG00000100106.20,chr22,37751828,37754915,3AS,True,36,204
ENSG00000100106.20,chr22,37746200,37746420,TSS,True,34,239
ENSG00000100284.20,chr22,35346969,35347054,5AS,False,113,131
ENSG00000100284.20,chr22,35299826,35299980,TSS,True,15,144
ENSG00000077942.18,chr22,45502614,45503064,TSS,False,42,179
ENSG00000077942.18,chr22,45562911,45563362,PAS,True,97,172
ENSG00000077942.18,chr22,45600306,45602846,PAS,False,84,179
ENSG00000182944.17,chr22,29288786,29291564,3AS,False,64,123
ENSG00000182944.17,chr22,29268100,29268349,TSS,True,43,151
ENSG00000100227.17,chr22,42614798,42614964,TSS,True,45,103
ENSG00000100359.20,chr22,40400813,40402138,ES,False,20,109
ENSG00000100359.20,chr22,40409018,40409249,IR,False,89,125
ENSG00000100359.20,chr22,40409525,40409681,IR,False,115,128
ENSG00000100359.20,chr22,40370560,40370688,TSS,True,35,139
ENSG00000100359.20,chr22,40409681,40410292,PAS,True,22,137
ENSG00000172889.15,chr9,136662168,136663108,TSS,True,76,140
ENSG00000172889.15,chr9,136671185,136672088,TSS,True,117,139
ENSG00000169692.12,chr9,136687175,136687466,TSS,True,24,222
ENSG00000165092.12,chr9,72952934,72953072,TSS,True,35,206
ENSG00000165272.15,chr9,33447422,33447615,TSS,True,86,225
ENSG00000238227.7,chr9,136118484,136118853,TSS,True,49,103
ENSG00000160408.14,chr9,127887591,127890655,5AS,False,16,144
ENSG00000160408.14,chr9,127896332,127899502,ES,False,51,130
ENSG00000160408.14,chr9,127899502,127899659,TSS,True,25,156
ENSG00000107223.12,chr9,136862345,136862905,IR,True,90,101
ENSG00000107223.12,chr9,136862117,136862345,PAS,False,23,113
ENSG00000107223.12,chr9,136866180,136866312,TSS,True,38,113
ENSG00000107223.12,chr9,136863287,136863449,TSS,True,96,113
ENSG00000107223.12,chr9,136863819,136863873,TSS,True,101,113
ENSG00000148180.19,chr9,121267812,121268219,TSS,True,824,1337
ENSG00000148180.19,chr9,121299800,121300005,TSS,False,718,1335
ENSG00000136830.11,chr9,127568819,127569150,TSS,True,93,330
ENSG00000107281.9,chr9,137039455,137039864,PAS,True,13,113
ENSG00000107281.9,chr9,137045877,137046229,TSS,True,59,120
ENSG00000107281.9,chr9,137042926,137046685,TSS,True,91,120
ENSG00000085265.10,chr9,134917768,134917954,TSS,True,38,132
ENSG00000148248.13,chr9,133375921,133376131,TSS,True,33,182
ENSG00000148303.16,chr9,133348206,133348246,TSS,False,50,189
ENSG00000148303.16,chr9,133348240,133349042,TSS,True,154,189
ENSG00000159069.13,chr9,136943890,136944795,TSS,True,254,286
ENSG00000159069.13,chr9,136944593,136944762,TSS,True,69,286
ENSG00000188229.5,chr9,137241286,137241417,TSS,True,204,343
ENSG00000106991.13,chr9,127854288,127854749,TSS,True,95,247
ENSG00000148110.15,chr9,94374411,94374927,TSS,False,54,223
ENSG00000165280.15,chr9,35072336,35072782,TSS,True,59,544
ENSG00000119335.16,chr9,128683742,128684007,TSS,True,115,131
ENSG00000119335.16,chr9,128689190,128689655,TSS,False,23,127
ENSG00000119335.16,chr9,128694640,128696393,PAS,True,28,126
ENSG00000119335.16,chr9,128693895,128695525,PAS,False,109,126
ENSG00000165119.20,chr9,83969380,83970161,3AS,False,62,122
ENSG00000165119.20,chr9,83973399,83974516,ES,False,13,108
ENSG00000165119.20,chr9,83967990,83969440,PAS,True,62,122
ENSG00000165119.20,chr9,83968082,83969380,PAS,True,60,122
ENSG00000165119.20,chr9,83980502,83980645,TSS,True,91,151
ENSG00000165119.20,chr9,83980152,83980270,TSS,True,111,151
ENSG00000176978.13,chr9,137112230,137112744,IR,True,102,139
ENSG00000176978.13,chr9,137114576,137114646,IR,False,98,123
ENSG00000176978.13,chr9,137114646,137114909,TSS,True,59,157
ENSG00000176978.13,chr9,137114462,137115159,TSS,True,132,157
ENSG00000119408.16,chr9,124257916,124258085,TSS,True,63,106
ENSG00000119408.16,chr9,124261465,124261583,TSS,True,70,105
ENSG00000148341.17,chr9,129010209,129010669,IR,False,100,133
ENSG00000148341.17,chr9,129010693,129012235,IR,False,70,117
ENSG00000148341.17,chr9,129007039,129008791,PAS,True,15,137
ENSG00000148341.17,chr9,129028091,129028360,TSS,True,23,142
ENSG00000197958.12,chr9,127451280,127451405,TSS,True,31,248
ENSG00000119396.10,chr9,121201638,121201919,TSS,False,11,105
ENSG00000135052.16,chr9,86099410,86099685,TSS,False,21,107
ENSG00000135052.16,chr9,86100024,86100232,TSS,True,92,107
ENSG00000106799.12,chr9,99129100,99132508,3AS,False,118,135
ENSG00000106771.12,chr9,109119334,109120067,TSS,False,24,116
ENSG00000092841.18,chr12,56160320,56160625,IR,False,237,288
ENSG00000092841.18,chr12,56160320,56161386,ES,False,336,572
ENSG00000092841.18,chr12,56160320,56161386,IR,True,336,384
ENSG00000092841.18,chr12,56160670,56161386,IR,True,240,288
ENSG00000092841.18,chr12,56158337,56158404,TSS,True,310,848
ENSG00000060138.12,chr12,10704148,10713210,ES,False,166,416
ENSG00000139644.12,chr12,49741548,49741611,TSS,False,100,258
ENSG00000139644.12,chr12,49752461,49752549,TSS,True,208,258
ENSG00000135677.10,chr12,64759084,64759446,TSS,True,61,154
ENSG00000167552.13,chr12,49188976,49189080,TSS,True,47,217
ENSG00000063046.17,chr12,53034709,53037408,5AS,False,207,231
ENSG00000063046.17,chr12,53006278,53006496,TSS,True,41,250
ENSG00000011465.16,chr12,91179361,91179559,TSS,True,55,295
ENSG00000011465.16,chr12,91182654,91182916,TSS,True,262,295
ENSG00000089009.15,chr12,112409586,112409634,TSS,True,45,240
ENSG00000089009.15,chr12,112408419,112409605,TSS,True,208,240
ENSG00000089157.15,chr12,120201082,120201113,TSS,True,391,1189
ENSG00000182196.13,chr12,122981809,122982030,IR,False,16,111
ENSG00000182196.13,chr12,122982538,122982619,IR,False,95,113
ENSG00000182196.13,chr12,122980468,122980745,TSS,True,70,117
ENSG00000182196.13,chr12,122980680,122980812,TSS,True,82,117
ENSG00000182196.13,chr12,122982619,122982914,PAS,True,18,113
ENSG00000182196.13,chr12,122982468,122983476,PAS,True,98,113
ENSG00000110955.8,chr12,56645836,56646068,TSS,True,23,143
ENSG00000196531.10,chr12,56725262,56725531,TSS,True,26,196
ENSG00000198431.15,chr12,104286893,104287109,TSS,True,58,108
ENSG00000198431.15,chr12,104286935,104287346,TSS,True,81,108
ENSG00000198431.15,chr12,104286761,104289040,TSS,True,93,108
ENSG00000135506.15,chr12,57715970,57716091,3AS,False,224,306
ENSG00000135506.15,chr12,57718376,57718992,5AS,False,35,328
ENSG00000135506.15,chr12,57719182,57720405,ES,False,129,327
ENSG00000135506.15,chr12,57693960,57694323,TSS,True,53,346
ENSG00000196498.13,chr12,124567307,124567647,TSS,True,88,103
ENSG00000090382.6,chr12,69348383,69348544,TSS,True,39,191
ENSG00000173598.13,chr12,93395533,93398770,3AS,False,83,129
ENSG00000173598.13,chr12,93377868,93378421,TSS,True,15,145
ENSG00000008394.12,chr12,16347596,16347710,TSS,True,50,158
ENSG00000127314.17,chr12,68611043,68648698,5AS,False,83,121
ENSG00000127314.17,chr12,68610571,68611043,TSS,True,41,126
ENSG00000127314.17,chr12,68610868,68611052,TSS,True,88,126
ENSG00000111229.15,chr12,110450254,110450359,TSS,True,15,112
ENSG00000170421.12,chr12,52904657,52905208,TSS,True,40,374
ENSG00000183283.15,chr12,51238812,51238920,TSS,False,19,143
ENSG00000175899.14,chr12,9115763,9116193,TSS,True,328,1389
ENSG00000188906.15,chr12,40224488,40225282,TSS,True,20,168
ENSG00000188906.15,chr12,40294844,40298493,PAS,True,90,152
ENSG00000188906.15,chr12,40367643,40369315,PAS,True,130,165
ENSG00000188906.15,chr12,40240482,40243839,PAS,True,131,149
ENSG00000150991.14,chr12,124914586,124914848,TSS,False,141,528
ENSG00000003056.7,chr12,8949487,8949968,TSS,True,24,226
ENSG00000022840.15,chr12,120563070,120563346,3AS,False,186,208
ENSG00000022840.15,chr12,120534343,120534968,TSS,True,29,219
ENSG00000123416.15,chr12,49131297,49131398,TSS,False,95,221
ENSG00000013588.8,chr12,12891377,12891664,TSS,True,63,155
ENSG00000135480.15,chr12,52232613,52233620,TSS,True,51,415
ENSG00000074527.11,chr12,95790254,95791334,TSS,True,25,183
ENSG00000123349.13,chr12,53295941,53296243,IR,False,95,110
ENSG00000159403.16,chr12,7092386,7092570,TSS,True,77,183
ENSG00000159403.16,chr12,7091451,7092447,TSS,True,162,183
ENSG00000166598.14,chr12,103930362,103930564,TSS,True,51,342
ENSG00000166598.14,chr12,103947632,103948555,PAS,True,92,341
ENSG00000166598.14,chr12,103938339,103938459,PAS,True,247,319
ENSG00000135678.11,chr12,68871956,68932677,ES,False,15,149
ENSG00000135678.11,chr12,68853913,68856679,PAS,True,23,159
ENSG00000135678.11,chr12,68933141,68933214,TSS,True,23,169
ENSG00000135404.11,chr12,55728952,55729106,TSS,False,48,277
ENSG00000136048.13,chr12,101877257,101877920,TSS,True,86,299
ENSG00000166888.11,chr12,57111128,57112263,TSS,True,82,123
ENSG00000110799.13,chr12,6018364,6019697,TSS,True,113,140
ENSG00000110799.13,chr12,5993861,5994182,TSS,True,118,139
ENSG00000110799.13,chr12,5976110,5976217,TSS,True,118,139
ENSG00000111640.14,chr12,6534455,6534569,TSS,True,93,547
ENSG00000197111.15,chr12,53452104,53452376,TSS,True,64,128
ENSG00000197111.15,chr12,53459404,53461143,TSS,True,96,127
ENSG00000197111.15,chr12,53462479,53462567,TSS,False,113,127
ENSG00000175203.15,chr12,57535845,57546027,5AS,True,88,104
ENSG00000175203.15,chr12,57547027,57547280,TSS,True,18,122
ENSG00000075415.12,chr12,98593740,98593974,IR,False,108,126
ENSG00000075415.12,chr12,98593626,98593740,TSS,True,27,139
ENSG00000075415.12,chr12,98593685,98594135,TSS,True,122,139
ENSG00000111679.16,chr12,6951283,6951520,TSS,True,60,207
ENSG00000089248.6,chr12,112013385,112013609,TSS,True,12,111
ENSG00000111275.12,chr12,111766912,111767096,TSS,True,73,719
ENSG00000177575.12,chr12,7479913,7481160,3AS,False,146,191
ENSG00000177575.12,chr12,7503644,7503843,TSS,True,51,220
ENSG00000166986.14,chr12,57512103,57512235,IR,False,92,108
ENSG00000166986.14,chr12,57515991,57516244,IR,False,94,109
ENSG00000166986.14,chr12,57487988,57488199,TSS,True,15,114
ENSG00000111144.9,chr12,96003064,96006313,ES,False,56,311
ENSG00000182326.14,chr12,7060877,7061838,3AS,False,49,202
ENSG00000214063.10,chr11,850367,864436,ES,False,20,194
ENSG00000214063.10,chr11,842831,842915,TSS,True,109,216
ENSG00000214063.10,chr11,843185,844186,TSS,True,173,216
ENSG00000149115.13,chr11,57312533,57313610,TSS,True,115,144
ENSG00000149115.13,chr11,57308394,57310321,TSS,True,121,144
ENSG00000149115.13,chr11,57324839,57325158,TSS,True,95,144
ENSG00000186635.14,chr11,72688537,72693324,ES,False,248,290
ENSG00000186635.14,chr11,72703079,72705804,ES,False,45,221
ENSG00000186635.14,chr11,72714151,72714323,TSS,True,240,318
ENSG00000186635.14,chr11,72721849,72722565,TSS,True,261,318
ENSG00000186635.14,chr11,72726619,72727136,TSS,True,285,318
ENSG00000014216.15,chr11,65181270,65182013,TSS,True,89,215
ENSG00000162191.13,chr11,62678864,62679102,TSS,True,21,121
ENSG00000149131.15,chr11,57597765,57598321,TSS,True,115,142
ENSG00000149131.15,chr11,57597658,57597722,TSS,True,84,142
ENSG00000149131.15,chr11,57611718,57611936,TSS,True,124,141
ENSG00000214530.9,chr11,72781663,72781915,TSS,True,24,104
ENSG00000214530.9,chr11,72757766,72757812,TSS,True,93,104
ENSG00000177600.8,chr11,809902,810039,TSS,True,79,232
ENSG00000177600.8,chr11,810003,810357,TSS,True,172,232
ENSG00000149564.11,chr11,124754340,124754640,5AS,False,94,109
ENSG00000149564.11,chr11,124762084,124762332,TSS,True,34,124
ENSG00000165915.13,chr11,47408441,47408662,TSS,True,27,102
ENSG00000150687.11,chr11,86800450,86800651,TSS,True,26,179
ENSG00000109971.13,chr11,123062063,123062238,TSS,True,122,959
ENSG00000109906.13,chr11,114059570,114059882,TSS,True,26,110
ENSG00000109906.13,chr11,114250325,114254413,PAS,True,23,110
ENSG00000109906.13,chr11,114186951,114189780,PAS,True,90,107
ENSG00000149182.14,chr11,47172333,47173425,ES,False,61,107
ENSG00000149182.14,chr11,47173840,47175014,3AS,False,92,109
ENSG00000149182.14,chr11,47176781,47177624,TSS,True,13,121
ENSG00000124942.13,chr11,62546659,62546870,TSS,True,14,107
ENSG00000177106.15,chr11,722165,722400,IR,False,82,110
ENSG00000177106.15,chr11,705952,706288,TSS,True,68,162
ENSG00000177963.14,chr11,207496,208938,TSS,True,15,108
ENSG00000134824.13,chr11,61827817,61828597,TSS,True,80,120
ENSG00000168010.10,chr11,72814022,72814563,TSS,True,40,110
ENSG00000168010.10,chr11,72829302,72829649,PAS,True,13,109
ENSG00000166900.16,chr11,59800854,59805013,PAS,True,17,140
ENSG00000026508.18,chr11,35190065,35214851,ES,False,85,129
ENSG00000026508.18,chr11,35139014,35139370,TSS,True,132,258
ENSG00000026508.18,chr11,35229128,35232402,PAS,True,17,154
ENSG00000099849.14,chr11,563317,563395,IR,False,38,155
ENSG00000099849.14,chr11,563317,563557,IR,False,26,137
ENSG00000099849.14,chr11,563478,563557,IR,False,43,156
ENSG00000099849.14,chr11,560963,561033,TSS,True,84,200
ENSG00000099849.14,chr11,560997,561892,TSS,True,176,200
ENSG00000099849.14,chr11,563557,564055,PAS,True,113,184
ENSG00000099849.14,chr11,563188,564025,PAS,True,72,180
ENSG00000085063.15,chr11,33722463,33736381,ES,False,89,121
ENSG00000085063.15,chr11,33736381,33736477,TSS,True,113,234
ENSG00000085063.15,chr11,33722378,33722467,TSS,True,199,234
ENSG00000213445.9,chr11,65638079,65638182,TSS,False,84,139
ENSG00000213445.9,chr11,65638128,65641600,TSS,True,99,139
ENSG00000167283.7,chr11,118401583,118401717,TSS,True,13,105
ENSG00000167792.12,chr11,67606833,67607076,TSS,True,41,101
ENSG00000084234.17,chr11,130122513,130126699,ES,False,83,305
ENSG00000084234.17,chr11,130135715,130140397,ES,False,272,326
ENSG00000084234.17,chr11,130069835,130070082,TSS,True,72,378
ENSG00000110719.9,chr11,68039119,68041267,ES,False,172,205
ENSG00000110719.9,chr11,68043031,68043370,IR,False,154,233
ENSG00000110719.9,chr11,68049294,68049662,5AS,True,209,233
ENSG00000110719.9,chr11,68049294,68049662,IR,False,209,276
ENSG00000110719.9,chr11,68050254,68050486,IR,True,311,354
ENSG00000110719.9,chr11,68038474,68039119,TSS,True,163,368
ENSG00000110719.9,chr11,68049090,68049788,TSS,True,323,366
ENSG00000149485.18,chr11,61816554,61817199,TSS,True,30,117
ENSG00000185507.20,chr11,613865,613950,IR,False,112,143
ENSG00000185507.20,chr11,614399,614475,IR,False,72,103
ENSG00000185507.20,chr11,614531,614796,3AS,False,15,143
ENSG00000185507.20,chr11,615259,615344,IR,False,94,136
ENSG00000185507.20,chr11,615912,616000,TSS,True,61,169
ENSG00000185507.20,chr11,615344,615741,TSS,True,150,169
ENSG00000185201.16,chr11,308116,308438,TSS,True,36,113
ENSG00000254470.2,chr11,65780441,65780984,TSS,False,76,103
ENSG00000117984.13,chr11,1763791,1763988,TSS,True,588,1743
ENSG00000166181.12,chr11,43342427,43344530,PAS,True,60,106
ENSG00000166181.12,chr11,43342432,43344530,PAS,True,58,106
ENSG00000184363.9,chr11,394141,394524,TSS,True,23,116
ENSG00000087365.15,chr11,66052324,66052517,TSS,True,16,123
ENSG00000087365.15,chr11,66068673,66069025,PAS,False,20,122
ENSG00000149591.16,chr11,117199176,117199432,TSS,False,61,304
ENSG00000149591.16,chr11,117199372,117203193,TSS,True,269,304
ENSG00000166333.13,chr11,6603822,6604225,3AS,False,92,138
ENSG00000166333.13,chr11,6603724,6603822,TSS,False,16,154
ENSG00000110195.12,chr11,72192098,72192341,TSS,True,19,100
ENSG00000165916.8,chr11,47426204,47426475,TSS,False,13,103
ENSG00000134333.13,chr11,18394559,18394636,TSS,False,13,118
ENSG00000110092.3,chr11,69641087,69641511,TSS,True,81,136
ENSG00000110092.3,chr11,69643025,69643246,TSS,True,110,135
ENSG00000135387.20,chr11,34051660,34051871,TSS,True,50,145
ENSG00000135387.20,chr11,34052073,34052636,TSS,True,107,145
ENSG00000084207.16,chr11,67583513,67583844,TSS,True,44,374
ENSG00000172725.13,chr11,67443403,67443518,TSS,True,45,220
ENSG00000167986.13,chr11,61332907,61333791,TSS,True,29,158
ENSG00000172893.15,chr11,71448289,71448424,TSS,True,44,102
ENSG00000172893.15,chr11,71437811,71437854,TSS,True,85,102
ENSG00000172893.15,chr11,71441226,71441446,TSS,False,90,102
ENSG00000149823.8,chr11,65096140,65096478,TSS,False,27,131
ENSG00000168003.16,chr11,62879988,62881447,TSS,True,27,194
ENSG00000182985.17,chr11,115178775,115209573,ES,False,98,111
ENSG00000182985.17,chr11,115504269,115504419,TSS,True,37,130
ENSG00000121691.5,chr11,34438670,34439079,TSS,True,26,145
ENSG00000110651.11,chr11,2377308,2377615,TSS,False,96,410
ENSG00000023191.16,chr11,502181,504426,3AS,True,17,129
ENSG00000023191.16,chr11,502181,504823,3AS,False,38,134
ENSG00000023191.16,chr11,502181,507112,ES,False,91,105
ENSG00000023191.16,chr11,502181,507112,3AS,False,91,275
ENSG00000023191.16,chr11,502249,507112,ES,False,156,184
ENSG00000023191.16,chr11,507112,507279,TSS,True,273,562
ENSG00000023191.16,chr11,504823,506849,TSS,True,485,555
ENSG00000023191.16,chr11,504426,504709,TSS,False,426,555
ENSG00000142102.15,chr11,290600,290677,IR,False,78,105
ENSG00000142102.15,chr11,291113,291975,IR,False,70,110
ENSG00000142102.15,chr11,293502,293593,IR,False,87,102
ENSG00000142102.15,chr11,293502,293669,3AS,True,15,108
ENSG00000142102.15,chr11,289109,290075,TSS,True,89,176
ENSG00000078902.15,chr11,1309465,1309673,TSS,True,54,151
ENSG00000205531.12,chr11,2945646,2951258,ES,False,65,108
ENSG00000205531.12,chr11,2992253,2992431,TSS,True,39,116
ENSG00000205531.12,chr11,2991793,2992260,TSS,False,88,116
ENSG00000177697.18,chr11,833022,834529,5AS,False,16,115
ENSG00000177697.18,chr11,833026,836062,ES,False,82,182
ENSG00000177697.18,chr11,832731,833026,TSS,True,120,302
ENSG00000050165.17,chr11,12009171,12009385,TSS,False,195,284
ENSG00000050165.17,chr11,12008369,12008649,TSS,True,131,284
ENSG00000162144.9,chr11,61349643,61350990,3AS,False,21,101
ENSG00000162144.9,chr11,61348744,61349643,PAS,True,88,109
ENSG00000162144.9,chr11,61348747,61350422,PAS,True,24,104
ENSG00000162144.9,chr11,61361732,61362351,TSS,True,12,109
ENSG00000076706.16,chr11,119317034,119317444,TSS,True,49,109
ENSG00000110321.16,chr11,10801087,10802048,ES,False,55,338
ENSG00000110321.16,chr11,10808704,10808980,TSS,True,71,368
ENSG00000172757.12,chr11,65858096,65858215,TSS,True,96,394
ENSG00000149806.10,chr11,65122089,65122217,TSS,False,36,202
ENSG00000137491.14,chr11,75151066,75151397,TSS,True,91,126
ENSG00000137491.14,chr11,75188135,75188238,TSS,True,109,125
ENSG00000137491.14,chr11,75193231,75193575,TSS,True,112,125
ENSG00000166441.12,chr11,8682731,8682816,TSS,False,92,194
ENSG00000166441.12,chr11,8684827,8684892,TSS,True,120,194
ENSG00000118181.10,chr11,119018281,119018345,TSS,True,163,354
ENSG00000118181.10,chr11,119017361,119018342,TSS,True,205,353
ENSG00000110057.7,chr11,68003947,68004141,TSS,True,58,248
ENSG00000170242.17,chr11,11842224,11884466,ES,False,12,104
ENSG00000170242.17,chr11,11956000,11959323,PAS,True,28,110
ENSG00000170242.17,chr11,11942334,11943323,PAS,True,92,110
ENSG00000173153.13,chr11,64314367,64314743,3AS,False,16,120
ENSG00000173153.13,chr11,64305280,64305736,TSS,True,18,129
ENSG00000085117.11,chr11,44565570,44565736,TSS,False,20,132
ENSG00000149418.10,chr11,130159682,130160060,TSS,False,76,209
ENSG00000182087.13,chr19,1011195,1011366,IR,False,172,239
ENSG00000182087.13,chr19,1011612,1011740,3AS,False,42,231
ENSG00000182087.13,chr19,1011663,1011740,IR,False,189,212
ENSG00000182087.13,chr19,1012188,1012462,IR,False,139,237
ENSG00000182087.13,chr19,1020771,1021251,TSS,True,104,323
ENSG00000129353.14,chr19,10602416,10602561,TSS,True,137,240
ENSG00000129353.14,chr19,10625460,10625670,TSS,True,183,240
ENSG00000129353.14,chr19,10627917,10628004,TSS,True,215,240
ENSG00000063177.12,chr19,48619140,48619191,TSS,True,50,115
ENSG00000063177.12,chr19,48616078,48616158,TSS,True,83,115
ENSG00000160113.5,chr19,17244942,17245938,TSS,False,18,135
ENSG00000065000.17,chr19,2100986,2102268,PAS,True,128,171
ENSG00000065000.17,chr19,2151238,2151618,TSS,True,78,183
ENSG00000132002.7,chr19,14518138,14518397,TSS,True,28,181
ENSG00000186994.11,chr19,8322581,8322922,PAS,False,27,235
ENSG00000186994.11,chr19,8334499,8335882,TSS,False,209,235
ENSG00000186994.11,chr19,8343224,8343268,TSS,False,61,236
ENSG00000104964.14,chr19,3062173,3062531,TSS,True,138,207
ENSG00000105223.19,chr19,40365930,40366418,3AS,False,90,103
ENSG00000105223.19,chr19,40348542,40348768,TSS,True,134,174
ENSG00000105223.19,chr19,40364079,40365930,TSS,False,104,174
ENSG00000104852.14,chr19,49107712,49107821,3AS,False,58,199
ENSG00000104852.14,chr19,49085154,49085636,TSS,True,133,222
ENSG00000104852.14,chr19,49102417,49104735,TSS,True,138,222
ENSG00000104852.14,chr19,49107794,49108613,PAS,True,59,200
ENSG00000104852.14,chr19,49107821,49108613,PAS,True,142,200
ENSG00000179262.9,chr19,12945837,12946020,TSS,True,34,104
ENSG00000179262.9,chr19,12948689,12948813,TSS,False,83,104
ENSG00000180448.10,chr19,1067149,1067495,TSS,True,69,123
ENSG00000180448.10,chr19,1067246,1068744,TSS,True,108,123
ENSG00000123136.14,chr19,14409447,14409535,IR,False,87,100
ENSG00000160633.12,chr19,5648043,5648988,IR,True,146,165
ENSG00000160633.12,chr19,5657347,5661520,3AS,False,83,178
ENSG00000160633.12,chr19,5667164,5667352,3AS,False,38,180
ENSG00000099622.13,chr19,1272051,1272426,IR,False,58,118
ENSG00000099622.13,chr19,1269327,1269410,TSS,True,44,173
ENSG00000099622.13,chr19,1272426,1274810,PAS,True,86,144
ENSG00000099622.13,chr19,1274648,1274810,PAS,True,79,152
ENSG00000105372.7,chr19,41860210,41860289,TSS,True,62,601
ENSG00000125730.16,chr19,6720515,6720661,TSS,True,264,296
ENSG00000130255.12,chr19,5690266,5690327,TSS,False,51,200
ENSG00000130255.12,chr19,5691427,5691453,TSS,True,174,200
ENSG00000178980.14,chr19,47778284,47778814,TSS,True,55,111
ENSG00000130726.11,chr19,58544064,58545097,TSS,True,50,187
ENSG00000130726.11,chr19,58544065,58545537,TSS,True,166,187
ENSG00000126247.10,chr19,36140035,36140157,TSS,False,60,128
ENSG00000126247.10,chr19,36140093,36141220,TSS,True,79,128
ENSG00000131400.7,chr19,50365538,50365843,TSS,True,198,437
ENSG00000125753.13,chr19,45522581,45522720,3AS,True,16,106
ENSG00000125753.13,chr19,45506953,45507776,TSS,True,89,137
ENSG00000125753.13,chr19,45521322,45521406,TSS,True,104,137
ENSG00000125753.13,chr19,45522056,45522581,TSS,False,118,136
ENSG00000011422.11,chr19,43648334,43649143,PAS,True,28,100
ENSG00000011422.11,chr19,43645681,43646548,PAS,False,79,105
ENSG00000123159.15,chr19,14480778,14491655,ES,False,19,135
ENSG00000123159.15,chr19,14491743,14496036,ES,False,45,129
ENSG00000123159.15,chr19,14496036,14496297,TSS,True,23,166
ENSG00000170889.13,chr19,54200830,54200888,TSS,True,117,311
ENSG00000170889.13,chr19,54201157,54201281,TSS,True,268,311
ENSG00000183019.7,chr19,7676584,7677175,TSS,True,69,365
ENSG00000105701.15,chr19,18538433,18539370,3AS,False,85,216
ENSG00000105701.15,chr19,18543485,18543620,TSS,True,41,235
ENSG00000124299.13,chr19,33521743,33521839,TSS,True,23,132
ENSG00000167658.15,chr19,3985377,3985472,TSS,True,259,974
ENSG00000179218.13,chr19,12938606,12938770,TSS,True,65,341
ENSG00000104774.12,chr19,12666542,12666762,TSS,True,51,115
ENSG00000127528.5,chr19,16325328,16326032,TSS,True,49,130
ENSG00000127528.5,chr19,16324821,16324998,TSS,True,88,130
ENSG00000105640.12,chr19,17859869,17859974,TSS,True,42,363
ENSG00000178951.8,chr19,4066681,4067058,TSS,False,55,114
ENSG00000178951.8,chr19,4065429,4065726,TSS,False,93,114
ENSG00000178951.8,chr19,4053970,4054824,TSS,True,102,114
ENSG00000172270.19,chr19,572512,572701,TSS,True,35,209
ENSG00000090339.8,chr19,10271077,10271226,TSS,True,85,203
ENSG00000090339.8,chr19,10283562,10283786,TSS,True,168,203
ENSG00000105357.16,chr19,50205438,50205554,TSS,False,100,135
ENSG00000105357.16,chr19,50309639,50310549,PAS,True,19,125
ENSG00000105193.8,chr19,39435847,39435986,TSS,True,135,328
ENSG00000105193.8,chr19,39435606,39435710,TSS,True,203,328
ENSG00000076928.17,chr19,41883116,41883289,TSS,True,66,114
ENSG00000076928.17,chr19,41897195,41898587,TSS,True,97,112
ENSG00000130309.10,chr19,17555590,17555973,TSS,False,55,110
ENSG00000130309.10,chr19,17580169,17580905,TSS,True,96,110
ENSG00000167657.13,chr19,3971021,3971121,TSS,False,17,105
ENSG00000105373.18,chr19,47745517,47745783,TSS,True,101,298
ENSG00000105373.18,chr19,47756707,47756744,TSS,True,259,292
ENSG00000104824.17,chr19,38836369,38836780,PAS,True,38,177
ENSG00000104824.17,chr19,38842082,38843914,PAS,True,123,157
ENSG00000104824.17,chr19,38849699,38849991,TSS,True,48,192
ENSG00000105568.17,chr19,52189990,52190174,TSS,True,45,197
ENSG00000105568.17,chr19,52211258,52211492,TSS,True,169,196
ENSG00000129351.17,chr19,10653912,10654487,TSS,True,101,129
ENSG00000115268.9,chr19,1438368,1438428,TSS,True,41,313
ENSG00000105643.9,chr19,18001054,18001573,TSS,False,56,104
ENSG00000105643.9,chr19,18007222,18008584,TSS,True,81,104
ENSG00000079999.13,chr19,10503240,10503596,TSS,True,106,140
ENSG00000079999.13,chr19,10502696,10502838,TSS,False,52,140
ENSG00000105355.8,chr19,4867608,4867698,TSS,True,13,104
ENSG00000074842.7,chr19,4670160,4670409,TSS,True,75,160
ENSG00000123144.10,chr19,12734312,12734725,TSS,True,25,135
ENSG00000099624.7,chr19,1241726,1241991,TSS,True,20,101
ENSG00000099624.7,chr19,1244736,1244829,PAS,False,28,101
ENSG00000196365.11,chr19,5719703,5720479,TSS,True,25,158
