gene,chr,start,end,splice_type,novel,left_ventricle_myocardium_superior_ENCFF850YMO_in_cov,left_ventricle_myocardium_superior_ENCFF850YMO_total_cov
ENSG00000100359.20,chr22,40370560,40370688,TSS,True,22,164
ENSG00000100239.15,chr22,50436452,50437505,ES,False,54,106
ENSG00000100239.15,chr22,50343297,50343550,TSS,True,31,115
ENSG00000241978.9,chr9,110138539,110168398,ES,False,34,136
ENSG00000241978.9,chr9,110156497,110168398,ES,False,87,103
ENSG00000241978.9,chr9,110136124,110138539,TSS,True,63,171
ENSG00000172889.15,chr9,136662168,136663108,TSS,True,51,111
ENSG00000172889.15,chr9,136671185,136672088,TSS,True,97,111
ENSG00000130723.19,chr9,131483635,131484027,TSS,True,78,125
ENSG00000159884.11,chr9,35660858,35660939,IR,False,41,100
ENSG00000159884.11,chr9,35658257,35658485,TSS,True,19,116
ENSG00000159884.11,chr9,35660745,35661686,PAS,True,62,100
ENSG00000159884.11,chr9,35660939,35661190,PAS,True,59,100
ENSG00000196642.18,chr9,136807582,136808326,TSS,True,43,108
ENSG00000160408.14,chr9,127896332,127899502,ES,False,71,117
ENSG00000160408.14,chr9,127899502,127899659,TSS,True,26,143
ENSG00000130222.10,chr9,89605011,89605174,TSS,True,16,157
ENSG00000107317.12,chr9,136979401,136979945,IR,True,93,126
ENSG00000107317.12,chr9,136980291,136981578,3AS,True,25,100
ENSG00000107372.12,chr9,72360787,72364695,ES,False,84,125
ENSG00000107372.12,chr9,72364695,72365265,TSS,True,27,155
PB_novel_95978,chr9,38967971,38968377,PAS,True,84,122
PB_novel_95978,chr9,38997942,38998502,PAS,True,48,122
ENSG00000107223.12,chr9,136866180,136866312,TSS,True,101,310
ENSG00000107223.12,chr9,136863287,136863449,TSS,True,255,309
ENSG00000137076.20,chr9,35696955,35697916,PAS,False,55,137
ENSG00000137076.20,chr9,35732074,35732407,TSS,True,95,144
ENSG00000148180.19,chr9,121299800,121300005,TSS,False,1163,4421
ENSG00000107281.9,chr9,137043073,137045877,IR,True,131,146
ENSG00000107281.9,chr9,137045877,137046229,TSS,True,64,198
ENSG00000107281.9,chr9,137042926,137046685,TSS,True,161,198
ENSG00000119333.11,chr9,128656540,128656756,TSS,True,69,125
ENSG00000119333.11,chr9,128635091,128636063,TSS,True,105,125
ENSG00000119333.11,chr9,128635657,128636189,TSS,True,110,125
ENSG00000119333.11,chr9,128636135,128636209,TSS,True,108,125
ENSG00000137038.7,chr9,7798637,7799460,5AS,True,170,191
ENSG00000137038.7,chr9,7799460,7799787,TSS,True,36,206
ENSG00000137038.7,chr9,7799448,7799776,TSS,True,185,206
ENSG00000148248.13,chr9,133375921,133376131,TSS,True,37,167
ENSG00000119487.16,chr9,125484583,125543058,ES,False,30,166
ENSG00000119487.16,chr9,125669907,125706970,ES,False,16,159
ENSG00000119487.16,chr9,125706970,125707262,TSS,True,27,197
ENSG00000137070.17,chr9,34652128,34652233,TSS,True,25,111
ENSG00000155827.11,chr9,101533827,101533914,TSS,False,14,103
ENSG00000155827.11,chr9,101552382,101552708,PAS,True,65,100
ENSG00000155827.11,chr9,101562245,101566317,PAS,False,44,103
ENSG00000148303.16,chr9,133348206,133348246,TSS,False,78,318
ENSG00000148303.16,chr9,133348240,133349042,TSS,True,253,318
ENSG00000138835.22,chr9,113583504,113584427,TSS,True,93,113
ENSG00000138835.22,chr9,113565001,113565730,TSS,True,90,113
ENSG00000138835.22,chr9,113592756,113594338,TSS,False,67,110
ENSG00000138835.22,chr9,113596767,113597738,PAS,True,13,110
ENSG00000148335.14,chr9,129634221,129635207,5AS,False,16,135
ENSG00000148335.14,chr9,129626144,129626295,TSS,True,27,143
ENSG00000159069.13,chr9,136941684,136942099,5AS,False,170,974
ENSG00000159069.13,chr9,136941684,136942099,IR,True,170,194
ENSG00000159069.13,chr9,136943890,136944795,TSS,True,920,1049
ENSG00000159069.13,chr9,136944593,136944762,TSS,True,258,1049
ENSG00000148120.16,chr9,95080780,95086681,ES,False,125,203
ENSG00000148120.16,chr9,95004931,95005065,TSS,True,58,231
ENSG00000148120.16,chr9,95086681,95087481,PAS,True,29,235
ENSG00000135047.14,chr9,87726253,87727593,5AS,False,48,180
ENSG00000135047.14,chr9,87726308,87727593,5AS,False,18,132
ENSG00000135047.14,chr9,87726062,87726253,TSS,False,149,199
ENSG00000135047.14,chr9,87725582,87726398,TSS,True,85,199
ENSG00000185963.13,chr9,92764504,92764871,TSS,False,34,119
ENSG00000188229.5,chr9,137241286,137241417,TSS,True,398,789
ENSG00000106991.13,chr9,127854288,127854749,TSS,True,115,251
ENSG00000106991.13,chr9,127819899,127820283,TSS,True,224,250
ENSG00000148290.9,chr9,133356399,133356489,TSS,True,38,144
ENSG00000148290.9,chr9,133353748,133353788,TSS,True,112,143
ENSG00000165716.10,chr9,136712389,136712728,TSS,False,13,105
ENSG00000148110.15,chr9,94374411,94374927,TSS,False,24,110
ENSG00000122729.18,chr9,32384584,32384735,TSS,True,20,191
ENSG00000148343.18,chr9,129036612,129036681,TSS,True,53,132
ENSG00000148343.18,chr9,129040450,129040690,TSS,True,109,132
ENSG00000136950.13,chr9,124869138,124869439,TSS,False,22,114
ENSG00000148218.15,chr9,113401211,113401357,TSS,True,53,432
ENSG00000165280.15,chr9,35072336,35072782,TSS,True,151,1181
ENSG00000119335.16,chr9,128694640,128696393,PAS,True,62,287
ENSG00000119335.16,chr9,128693895,128695525,PAS,False,241,286
ENSG00000148356.13,chr9,127451669,127451928,IR,False,104,132
ENSG00000148356.13,chr9,127451475,127451669,TSS,True,55,159
ENSG00000148356.13,chr9,127451467,127452084,TSS,True,130,159
ENSG00000070610.14,chr9,35735871,35737447,PAS,False,15,143
ENSG00000070610.14,chr9,35748345,35749264,TSS,True,42,145
ENSG00000165119.20,chr9,83969380,83970161,3AS,False,69,168
ENSG00000165119.20,chr9,83973399,83974516,ES,False,28,149
ENSG00000165119.20,chr9,83967990,83969440,PAS,True,70,169
ENSG00000165119.20,chr9,83968082,83969380,PAS,True,100,169
ENSG00000165119.20,chr9,83980502,83980645,TSS,True,95,187
ENSG00000165119.20,chr9,83980152,83980270,TSS,True,137,187
ENSG00000070159.13,chr9,109420423,109420665,TSS,True,103,115
ENSG00000070159.13,chr9,109428620,109429062,TSS,True,71,115
ENSG00000070159.13,chr9,109421233,109421486,TSS,True,94,115
ENSG00000176978.13,chr9,137114576,137114646,IR,False,205,240
ENSG00000176978.13,chr9,137114646,137114909,TSS,True,80,285
ENSG00000176978.13,chr9,137114462,137115159,TSS,True,250,285
ENSG00000165238.16,chr9,93298067,93306776,ES,True,14,102
ENSG00000165238.16,chr9,93292543,93293173,TSS,True,150,182
ENSG00000165238.16,chr9,93288780,93289620,TSS,False,136,182
ENSG00000165238.16,chr9,93320366,93320572,PAS,True,87,193
ENSG00000136842.13,chr9,97501645,97501803,TSS,False,130,581
ENSG00000136842.13,chr9,97564037,97564168,TSS,True,515,581
ENSG00000186350.10,chr9,134326190,134326659,TSS,False,128,164
ENSG00000198467.14,chr9,35684550,35685268,ME,False,188,541
ENSG00000198467.14,chr9,35684550,35685063,ES,True,190,221
ENSG00000198467.14,chr9,35681992,35682163,PAS,True,609,714
ENSG00000198467.14,chr9,35681992,35683241,PAS,True,96,630
ENSG00000198467.14,chr9,35689703,35691118,TSS,True,153,714
ENSG00000198467.14,chr9,35682523,35683157,TSS,True,117,136
ENSG00000148341.17,chr9,129007039,129008791,PAS,True,12,101
ENSG00000148341.17,chr9,129028091,129028360,TSS,True,14,105
ENSG00000107104.18,chr9,730194,731157,5AS,True,14,132
ENSG00000107104.18,chr9,731266,734747,ES,True,49,126
ENSG00000107104.18,chr9,710797,713464,TSS,True,174,197
ENSG00000107104.18,chr9,738206,738504,TSS,True,148,186
ENSG00000107104.18,chr9,593985,594080,TSS,True,160,200
ENSG00000107104.18,chr9,693679,693786,TSS,True,164,198
ENSG00000107104.18,chr9,745172,746105,PAS,True,30,200
ENSG00000054148.17,chr9,136848283,136849227,3AS,True,63,135
ENSG00000054148.17,chr9,136850137,136850754,ES,False,321,405
ENSG00000054148.17,chr9,136848968,136849590,TSS,True,241,453
ENSG00000054148.17,chr9,136847904,136848283,TSS,True,315,453
ENSG00000054148.17,chr9,136849755,136850137,TSS,True,380,453
ENSG00000176101.11,chr9,137188778,137189065,IR,False,60,157
ENSG00000176101.11,chr9,137188650,137188778,TSS,True,110,170
ENSG00000176101.11,chr9,137188688,137189265,TSS,True,75,170
ENSG00000095209.11,chr9,105722621,105748072,ES,True,159,181
ENSG00000095209.11,chr9,105694346,105694772,TSS,False,20,192
ENSG00000095321.16,chr9,129108077,129110482,ES,False,90,107
ENSG00000095321.16,chr9,129092807,129095612,PAS,True,18,159
ENSG00000095321.16,chr9,129107332,129108077,PAS,True,94,108
ENSG00000095321.16,chr9,129110482,129110797,TSS,True,64,171
ENSG00000095321.16,chr9,129099865,129099924,TSS,True,138,155
ENSG00000137106.17,chr9,37422614,37422833,TSS,True,82,183
ENSG00000119396.10,chr9,121192224,121201638,ES,True,12,104
ENSG00000119396.10,chr9,121201638,121201919,TSS,False,15,119
ENSG00000147872.9,chr9,19115300,19116649,PAS,True,24,104
ENSG00000147872.9,chr9,19117798,19121165,PAS,False,89,100
ENSG00000147872.9,chr9,19108324,19108747,PAS,False,93,105
ENSG00000188986.6,chr9,137255224,137255611,TSS,True,22,186
ENSG00000160539.5,chr9,131289699,131290448,TSS,True,85,271
ENSG00000136942.14,chr9,124861909,124861987,TSS,True,41,401
ENSG00000119326.14,chr9,108942568,108942834,PAS,True,40,149
ENSG00000119326.14,chr9,108990724,108990845,PAS,True,117,139
ENSG00000119383.19,chr9,129111320,129111631,TSS,True,172,197
ENSG00000119383.19,chr9,129140074,129140151,TSS,True,119,196
ENSG00000165269.12,chr9,33385231,33385648,IR,False,18,107
ENSG00000165269.12,chr9,33385290,33385648,IR,False,62,151
ENSG00000165269.12,chr9,33385866,33386076,IR,True,121,170
ENSG00000165269.12,chr9,33386541,33395077,ES,False,25,149
ENSG00000165269.12,chr9,33387092,33395077,ES,True,102,115
ENSG00000165269.12,chr9,33401287,33402372,ES,False,86,104
ENSG00000165269.12,chr9,33383133,33386195,PAS,False,125,170
ENSG00000165269.12,chr9,33383194,33385290,PAS,True,109,171
ENSG00000165269.12,chr9,33383194,33385866,PAS,True,129,171
ENSG00000165269.12,chr9,33383132,33385231,PAS,True,153,171
ENSG00000165269.12,chr9,33402372,33402606,TSS,True,123,228
ENSG00000165269.12,chr9,33395077,33396093,TSS,True,199,228
ENSG00000106771.12,chr9,109073438,109087172,ME,True,34,132
ENSG00000106771.12,chr9,109073438,109085996,ES,True,34,207
ENSG00000106771.12,chr9,109073438,109087172,ME,True,34,132
ENSG00000106771.12,chr9,109080943,109087172,ES,False,98,271
ENSG00000106771.12,chr9,109091152,109093474,3AS,True,13,113
ENSG00000106771.12,chr9,109091152,109106507,3AS,True,54,297
ENSG00000106771.12,chr9,109091155,109106507,ES,True,146,243
ENSG00000106771.12,chr9,109119334,109120067,TSS,False,57,371
ENSG00000111237.18,chr12,110496203,110502048,5AS,True,91,149
ENSG00000111237.18,chr12,110502036,110502127,TSS,True,95,153
ENSG00000111237.18,chr12,110502048,110502127,TSS,True,59,153
ENSG00000139112.10,chr12,10212840,10213219,TSS,True,33,186
ENSG00000092841.18,chr12,56158711,56159586,IR,False,174,207
ENSG00000092841.18,chr12,56160320,56160625,IR,False,134,193
ENSG00000092841.18,chr12,56160320,56161386,ES,False,72,206
ENSG00000092841.18,chr12,56160320,56161386,IR,True,72,125
ENSG00000092841.18,chr12,56160670,56161386,IR,True,141,194
ENSG00000092841.18,chr12,56158337,56158404,TSS,True,226,446
ENSG00000092841.18,chr12,56161386,56161581,PAS,True,53,266
ENSG00000092841.18,chr12,56160242,56161580,PAS,True,212,265
ENSG00000135108.14,chr12,117158063,117165484,3AS,False,71,115
ENSG00000060138.12,chr12,10704148,10713210,ES,False,1211,2431
ENSG00000139644.12,chr12,49741548,49741611,TSS,False,74,165
ENSG00000139644.12,chr12,49752461,49752549,TSS,True,129,165
ENSG00000135677.10,chr12,64720021,64720055,TSS,True,102,114
ENSG00000135677.10,chr12,64759084,64759446,TSS,True,64,116
ENSG00000120837.7,chr12,104138140,104138313,TSS,True,98,132
ENSG00000120837.7,chr12,104137375,104138101,TSS,False,63,132
ENSG00000120837.7,chr12,104137344,104138060,TSS,True,104,132
ENSG00000130779.20,chr12,122328262,122328426,PAS,True,52,105
ENSG00000130779.20,chr12,122340753,122341697,PAS,True,77,104
ENSG00000130779.20,chr12,122422520,122423000,TSS,True,24,111
ENSG00000135469.13,chr12,56266845,56267252,TSS,True,137,186
ENSG00000135469.13,chr12,56267254,56267433,TSS,True,81,186
ENSG00000111667.13,chr12,6863308,6863829,5AS,False,18,117
ENSG00000111667.13,chr12,6852017,6852290,TSS,True,29,122
ENSG00000167552.13,chr12,49188976,49189080,TSS,True,32,160
ENSG00000057294.14,chr12,32896508,32896832,TSS,True,202,821
ENSG00000057294.14,chr12,32821355,32821902,TSS,True,711,795
ENSG00000063046.17,chr12,53006278,53006496,TSS,True,92,710
ENSG00000011465.16,chr12,91179361,91179559,TSS,True,166,764
ENSG00000011465.16,chr12,91182654,91182916,TSS,True,658,764
ENSG00000089009.15,chr12,112409586,112409634,TSS,True,91,393
ENSG00000089009.15,chr12,112408419,112409605,TSS,True,319,393
ENSG00000089157.15,chr12,120200831,120201082,3AS,False,715,810
ENSG00000089157.15,chr12,120201082,120201113,TSS,True,348,1158
ENSG00000182196.13,chr12,122980745,122981128,5AS,False,106,232
ENSG00000182196.13,chr12,122980812,122981128,5AS,False,108,126
ENSG00000182196.13,chr12,122981266,122981594,3AS,False,95,109
ENSG00000182196.13,chr12,122981266,122981594,5AS,False,95,189
ENSG00000182196.13,chr12,122981266,122981594,IR,False,95,154
ENSG00000182196.13,chr12,122981299,122981594,3AS,False,94,140
ENSG00000182196.13,chr12,122981299,122981594,IR,False,94,107
ENSG00000182196.13,chr12,122981809,122982030,IR,False,39,272
ENSG00000182196.13,chr12,122980468,122980745,TSS,True,187,293
ENSG00000182196.13,chr12,122980680,122980812,TSS,True,185,293
ENSG00000110955.8,chr12,56645836,56646068,TSS,True,412,3072
ENSG00000135390.18,chr12,53676052,53676736,TSS,True,100,417
ENSG00000135390.18,chr12,53672575,53674181,TSS,True,349,417
ENSG00000196531.10,chr12,56724523,56725262,5AS,False,163,183
ENSG00000196531.10,chr12,56725262,56725531,TSS,True,152,324
ENSG00000196531.10,chr12,56715870,56716546,TSS,True,209,322
ENSG00000175215.10,chr12,57846371,57846962,TSS,True,106,119
ENSG00000198431.15,chr12,104286893,104287109,TSS,True,35,111
ENSG00000198431.15,chr12,104286935,104287346,TSS,True,91,111
ENSG00000089053.12,chr12,121328458,121330582,3AS,False,31,131
ENSG00000089053.12,chr12,121352133,121352462,TSS,True,17,136
ENSG00000080371.5,chr12,71754847,71755288,TSS,False,23,209
ENSG00000089693.10,chr12,6752938,6753141,TSS,True,25,159
ENSG00000135506.15,chr12,57715970,57716091,3AS,False,150,205
ENSG00000135506.15,chr12,57719182,57720405,ES,False,110,218
ENSG00000135506.15,chr12,57693960,57694323,TSS,True,39,229
ENSG00000062485.18,chr12,56300159,56300392,TSS,True,152,766
ENSG00000177981.10,chr12,48149998,48151200,ES,False,61,100
ENSG00000177981.10,chr12,48157458,48157569,TSS,False,16,112
ENSG00000173598.13,chr12,93395533,93398770,3AS,False,1242,1795
ENSG00000173598.13,chr12,93377868,93378421,TSS,True,207,2008
ENSG00000152556.16,chr12,48122677,48122766,IR,False,111,363
ENSG00000152556.16,chr12,48119237,48119406,TSS,True,632,1007
ENSG00000152556.16,chr12,48122637,48122859,TSS,True,747,1007
ENSG00000152556.16,chr12,48122606,48122677,TSS,True,895,1007
ENSG00000135424.16,chr12,55694777,55695496,TSS,True,495,572
ENSG00000135424.16,chr12,55697215,55697441,TSS,True,497,573
ENSG00000135424.16,chr12,55694442,55694740,TSS,True,501,572
ENSG00000110841.13,chr12,27524127,27524365,TSS,True,43,184
ENSG00000110841.13,chr12,27656615,27658138,PAS,True,101,151
ENSG00000110841.13,chr12,27692795,27695809,PAS,True,88,166
ENSG00000110841.13,chr12,27658815,27659024,PAS,False,135,151
ENSG00000183283.15,chr12,51238812,51238920,TSS,False,17,148
ENSG00000179295.17,chr12,112482205,112486474,3AS,False,87,100
ENSG00000179295.17,chr12,112418882,112419125,TSS,True,33,144
ENSG00000179295.17,chr12,112505824,112509915,PAS,False,21,125
ENSG00000176871.8,chr12,118061035,118061192,TSS,True,56,216
ENSG00000175899.14,chr12,9115763,9116193,TSS,True,251,551
ENSG00000175899.14,chr12,9077700,9077858,TSS,True,476,531
ENSG00000150991.14,chr12,124914586,124914848,TSS,False,337,1133
ENSG00000111678.10,chr12,6944005,6944173,TSS,True,75,162
ENSG00000111678.10,chr12,6945770,6946002,PAS,True,71,162
ENSG00000111371.15,chr12,46268864,46269414,TSS,True,91,143
ENSG00000022840.15,chr12,120534343,120534968,TSS,True,84,716
ENSG00000110917.7,chr12,120687124,120687531,TSS,True,97,202
ENSG00000123416.15,chr12,49131297,49131398,TSS,False,103,320
ENSG00000188026.12,chr12,123472682,123484179,ME,True,348,392
ENSG00000188026.12,chr12,123472682,123484179,ME,True,348,392
ENSG00000188026.12,chr12,123472682,123484179,ES,False,77,470
ENSG00000074527.11,chr12,95790254,95791334,TSS,True,32,252
ENSG00000187109.13,chr12,76060279,76074202,ES,False,37,119
ENSG00000187109.13,chr12,76044892,76048464,PAS,True,94,134
ENSG00000187109.13,chr12,76044744,76047718,PAS,True,81,137
ENSG00000187109.13,chr12,76046179,76049785,PAS,True,110,132
ENSG00000187109.13,chr12,76084566,76084782,TSS,True,16,139
ENSG00000088992.17,chr12,117046666,117046776,5AS,False,90,111
ENSG00000088992.17,chr12,117099224,117099453,TSS,True,28,140
ENSG00000088992.17,chr12,117041946,117041971,TSS,True,119,134
ENSG00000170515.13,chr12,56111475,56111529,PAS,False,87,127
ENSG00000170515.13,chr12,56112822,56114677,PAS,True,47,127
ENSG00000159403.16,chr12,7092386,7092570,TSS,True,77,176
ENSG00000159403.16,chr12,7091451,7092447,TSS,True,150,176
ENSG00000166598.14,chr12,103930362,103930564,TSS,True,73,371
ENSG00000166598.14,chr12,103937032,103937806,TSS,True,321,366
ENSG00000166598.14,chr12,103947632,103948555,PAS,True,119,370
ENSG00000166598.14,chr12,103938339,103938459,PAS,True,252,351
ENSG00000135404.11,chr12,55728952,55729106,TSS,False,36,337
ENSG00000111666.10,chr12,101726404,101728900,5AS,True,305,347
ENSG00000159335.15,chr12,6766149,6766750,TSS,True,65,109
ENSG00000159335.15,chr12,6769693,6769999,TSS,True,89,106
ENSG00000004478.7,chr12,2794937,2795244,TSS,True,12,104
ENSG00000118971.7,chr12,4273756,4274235,TSS,False,99,190
ENSG00000086598.10,chr12,123586939,123590341,ES,True,57,256
ENSG00000174437.16,chr12,110281911,110282712,5AS,True,24,182
ENSG00000174437.16,chr12,110281203,110281918,TSS,True,946,1103
ENSG00000174437.16,chr12,110342226,110342448,TSS,True,896,1098
ENSG00000110799.13,chr12,5993861,5994182,TSS,True,128,148
ENSG00000110799.13,chr12,5976110,5976217,TSS,True,121,148
ENSG00000197111.15,chr12,53461143,53462492,3AS,False,123,182
ENSG00000197111.15,chr12,53462567,53465931,ES,False,71,153
ENSG00000197111.15,chr12,53462567,53467220,ES,False,52,206
ENSG00000197111.15,chr12,53467293,53468776,ES,False,57,173
ENSG00000197111.15,chr12,53467843,53468779,3AS,False,28,147
ENSG00000197111.15,chr12,53452104,53452376,TSS,True,100,224
ENSG00000197111.15,chr12,53459404,53461143,TSS,True,166,223
ENSG00000197111.15,chr12,53462479,53462567,TSS,False,199,223
ENSG00000175203.15,chr12,57535845,57546027,5AS,True,209,253
ENSG00000175203.15,chr12,57547027,57547280,TSS,True,33,286
ENSG00000111652.9,chr12,6724152,6724613,5AS,False,31,208
ENSG00000111652.9,chr12,6724179,6724613,5AS,False,125,177
ENSG00000111652.9,chr12,6724014,6724179,TSS,True,104,229
ENSG00000111652.9,chr12,6723952,6724152,TSS,True,197,229
ENSG00000111652.9,chr12,6724099,6724250,TSS,True,178,229
ENSG00000060237.16,chr12,752536,754324,TSS,True,69,174
ENSG00000060237.16,chr12,859244,859389,PAS,False,64,105
ENSG00000060237.16,chr12,861012,861140,PAS,False,47,113
ENSG00000075415.12,chr12,98593626,98593740,TSS,True,260,1886
ENSG00000135486.17,chr12,54282874,54283811,ES,False,609,854
ENSG00000119242.8,chr12,123972528,123972956,TSS,True,52,116
ENSG00000187778.13,chr12,49568047,49568150,TSS,True,84,185
ENSG00000182326.14,chr12,7060877,7061838,3AS,False,45,211
ENSG00000176485.11,chr11,63614068,63614384,IR,True,40,145
ENSG00000176485.11,chr11,63613999,63614447,TSS,True,52,159
ENSG00000176485.11,chr11,63614384,63614559,TSS,False,120,160
ENSG00000166444.18,chr11,8717740,8718049,TSS,True,81,112
ENSG00000166444.18,chr11,8810516,8810940,TSS,True,101,115
ENSG00000166444.18,chr11,8712550,8713527,TSS,True,96,108
ENSG00000149575.5,chr11,118176361,118176587,TSS,False,53,105
ENSG00000214063.10,chr11,865614,865693,IR,False,92,103
ENSG00000214063.10,chr11,842831,842915,TSS,True,53,115
ENSG00000214063.10,chr11,843185,844186,TSS,True,100,115
ENSG00000214026.10,chr11,1947287,1947379,TSS,True,17,114
ENSG00000110048.11,chr11,59574396,59576719,PAS,False,13,105
ENSG00000110048.11,chr11,59615302,59615802,TSS,False,22,112
ENSG00000109846.7,chr11,111910449,111910670,IR,False,40,112
ENSG00000109846.7,chr11,111911523,111911816,TSS,True,215,1487
ENSG00000168056.15,chr11,65539881,65540244,ES,False,66,110
ENSG00000168056.15,chr11,65551401,65552157,TSS,True,99,120
ENSG00000168056.15,chr11,65547689,65547811,TSS,True,105,120
ENSG00000168056.15,chr11,65547919,65549708,TSS,True,104,120
ENSG00000168056.15,chr11,65547438,65547568,TSS,False,106,120
ENSG00000110717.12,chr11,68030605,68030733,TSS,True,156,566
ENSG00000186635.14,chr11,72714151,72714323,TSS,True,80,103
ENSG00000186635.14,chr11,72721849,72722565,TSS,True,65,103
ENSG00000014216.15,chr11,65181270,65182013,TSS,True,68,152
ENSG00000129170.9,chr11,19201953,19201989,TSS,True,437,1429
ENSG00000129170.9,chr11,19188135,19188295,TSS,True,1053,1429
ENSG00000149761.8,chr11,64226427,64226634,IR,False,61,102
ENSG00000149761.8,chr11,64227132,64229246,ES,False,21,113
ENSG00000149761.8,chr11,64226247,64226297,TSS,False,110,125
ENSG00000149761.8,chr11,64226258,64226427,TSS,True,63,125
ENSG00000149761.8,chr11,64226273,64227132,TSS,True,83,125
ENSG00000162191.13,chr11,62678864,62679102,TSS,True,29,214
ENSG00000214530.9,chr11,72755753,72758529,ES,False,28,212
ENSG00000214530.9,chr11,72781663,72781915,TSS,True,54,252
ENSG00000214530.9,chr11,72757766,72757812,TSS,True,213,252
ENSG00000177600.8,chr11,809902,810039,TSS,True,50,299
ENSG00000177600.8,chr11,810003,810357,TSS,True,257,299
ENSG00000213619.9,chr11,47579018,47579158,TSS,True,29,271
ENSG00000165915.13,chr11,47408441,47408662,TSS,True,39,177
ENSG00000134571.10,chr11,47346384,47347425,3AS,True,185,1806
ENSG00000134571.10,chr11,47346384,47347425,IR,True,185,222
ENSG00000134571.10,chr11,47352622,47352764,TSS,False,3026,4425
ENSG00000134571.10,chr11,47335041,47335626,TSS,True,3789,4232
ENSG00000109971.13,chr11,123062063,123062238,TSS,True,384,2745
ENSG00000149357.9,chr11,72103182,72103310,TSS,True,21,137
ENSG00000149182.14,chr11,47176781,47177624,TSS,True,19,105
ENSG00000150779.11,chr11,112086639,112086756,TSS,True,15,107
ENSG00000124942.13,chr11,62433540,62433891,PAS,True,76,116
ENSG00000124942.13,chr11,62529948,62534074,PAS,True,40,104
ENSG00000124942.13,chr11,62546659,62546870,TSS,True,14,117
ENSG00000110429.13,chr11,33774393,33774530,TSS,True,20,158
ENSG00000052841.14,chr11,43397491,43398024,3AS,True,11,107
ENSG00000052841.14,chr11,43493772,43494931,PAS,True,22,113
ENSG00000129084.17,chr11,14520296,14520407,TSS,False,20,152
ENSG00000197580.11,chr11,112175474,112175689,TSS,True,50,159
ENSG00000197580.11,chr11,112176321,112176458,TSS,True,120,159
ENSG00000197580.11,chr11,112217760,112218750,PAS,True,30,153
ENSG00000197580.11,chr11,112223932,112225901,PAS,False,138,159
ENSG00000177685.16,chr11,827031,827459,TSS,True,55,106
ENSG00000177685.16,chr11,827001,828772,TSS,True,85,106
ENSG00000166483.10,chr11,9573214,9574509,TSS,False,36,109
ENSG00000166483.10,chr11,9573689,9576093,TSS,True,77,109
ENSG00000197345.12,chr11,68903722,68903837,TSS,True,11,106
ENSG00000085063.15,chr11,33722463,33736381,ES,False,146,221
ENSG00000085063.15,chr11,33736381,33736477,TSS,True,158,379
ENSG00000085063.15,chr11,33722378,33722467,TSS,True,341,379
ENSG00000172638.12,chr11,65866712,65866844,IR,False,31,160
ENSG00000172638.12,chr11,65866299,65867079,PAS,True,52,181
ENSG00000172638.12,chr11,65866305,65866712,PAS,True,135,182
ENSG00000172638.12,chr11,65872682,65873622,TSS,True,68,182
ENSG00000172638.12,chr11,65871156,65872019,TSS,False,141,182
ENSG00000167792.12,chr11,67606833,67607076,TSS,True,527,1570
ENSG00000167792.12,chr11,67606938,67609635,TSS,True,1270,1561
ENSG00000084234.17,chr11,130122513,130126699,ES,False,80,266
ENSG00000084234.17,chr11,130069835,130070082,TSS,True,68,346
ENSG00000084234.17,chr11,130143346,130144811,PAS,True,36,330
ENSG00000084234.17,chr11,130121613,130121759,PAS,True,257,290
ENSG00000110665.11,chr11,2297916,2299427,3AS,True,22,143
ENSG00000110665.11,chr11,2295630,2297921,PAS,True,22,143
ENSG00000110665.11,chr11,2295627,2297916,PAS,True,121,143
ENSG00000110665.11,chr11,2301755,2302077,TSS,False,100,154
ENSG00000110665.11,chr11,2302881,2302975,TSS,False,102,154
ENSG00000110665.11,chr11,2300519,2300615,TSS,True,128,154
ENSG00000168439.16,chr11,64186053,64186270,TSS,True,23,191
ENSG00000167797.7,chr11,67507689,67508000,IR,False,100,115
ENSG00000167797.7,chr11,67508000,67508664,TSS,True,20,120
ENSG00000167797.7,chr11,67507591,67508636,TSS,True,105,120
ENSG00000165912.15,chr11,47183065,47186348,3AS,False,25,239
ENSG00000165912.15,chr11,47186348,47187001,TSS,True,117,356
ENSG00000165912.15,chr11,47183003,47186435,TSS,True,287,355
ENSG00000167770.11,chr11,63985993,63986514,TSS,True,18,111
ENSG00000109919.9,chr11,47642378,47642697,TSS,True,13,105
ENSG00000174080.10,chr11,66568273,66568610,TSS,False,45,288
ENSG00000149743.13,chr11,64225580,64226049,ES,False,38,115
ENSG00000149743.13,chr11,64226049,64226256,TSS,True,40,157
ENSG00000117984.13,chr11,1763791,1763988,TSS,True,516,1452
ENSG00000170276.5,chr11,111912736,111912923,TSS,False,28,102
ENSG00000087365.15,chr11,66055315,66055537,3AS,False,14,114
ENSG00000087365.15,chr11,66052324,66052517,TSS,True,13,125
ENSG00000087365.15,chr11,66068673,66069025,PAS,False,23,124
ENSG00000087365.15,chr11,66058313,66058852,PAS,True,102,116
ENSG00000151376.16,chr11,86438752,86441440,PAS,True,19,107
ENSG00000151376.16,chr11,86671761,86672189,TSS,True,41,107
ENSG00000151376.16,chr11,86672273,86672662,TSS,True,96,107
ENSG00000151376.16,chr11,86672323,86672622,TSS,True,87,107
ENSG00000166333.13,chr11,6603822,6604225,3AS,False,430,527
ENSG00000166333.13,chr11,6603724,6603822,TSS,False,59,586
